,1099
FG ID,5361
Team,LAD
G_mySGP,146.2258
PA_mySGP,631.1154
AB_mySGP,552.8804
H_mySGP,152.62920000000005
1B_mySGP,95.06138
2B_mySGP,33.15564
3B_mySGP,1.46908
HR_mySGP,22.9431
R_mySGP,85.1592
RBI_mySGP,86.4921
BB_mySGP,65.21976000000001
HBP_mySGP,7.920212
SF_mySGP,4.949161999999999
WAR_mySGP,3.102328
ADP_mySGP,66.9000015258789
POS_mySGP,['1B']
Ottoneu ID,5680
Ottoneu Positions,1B
Name,Freddie Freeman
OBP_mySGP,0.3578131111477722
TB_mySGP,257.5523
SLG_mySGP,0.4658372769228209
Pos Place_mySGP,52.0
R_SGP_raw_mySGP,3.3683038114731496
HR_SGP_raw_mySGP,1.993595399780946
OBP_SGP_raw_mySGP,0.7632242561604703
SLG_SGP_raw_mySGP,0.4568538636786214
TOTAL_SGP_raw_mySGP,6.581977331093188
R_SGP_repl_mySGP,2.477054907340825
Repl_Pos_mySGP,1B
R_SGP_norm_mySGP,0.8912489041323246
HR_SGP_repl_mySGP,1.5855521767068306
HR_SGP_norm_mySGP,0.4080432230741155
OBP_SGP_repl_mySGP,-0.0267582073726636
OBP_SGP_norm_mySGP,0.789982463533134
SLG_SGP_repl_mySGP,-0.0575314412125027
SLG_SGP_norm_mySGP,0.5143853048911242
TOTAL_SGP_mySGP,2.6036598956306984
TOTAL_SGP_Rank_mySGP,58.0
TOTAL_SGP_Val_mySGP,16.070198503584376
R_SGP_Val_mySGP,18.24695218913524
HR_SGP_Val_mySGP,8.011587810482714
OBP_SGP_Val_mySGP,28.19137661110771
SLG_SGP_Val_mySGP,14.987252382845272
W_mySGP,
L_mySGP,
QS_mySGP,
GS_mySGP,
SV_mySGP,
HLD_mySGP,
IP_mySGP,
TBF_mySGP,
ER_mySGP,
SO_mySGP,
HR9_mySGP,
ERA_mySGP,
WHIP_mySGP,
SO_SGP_raw_mySGP,
HR9_SGP_raw_mySGP,
ERA_SGP_raw_mySGP,
WHIP_SGP_raw_mySGP,
SO_SGP_repl_mySGP,
SO_SGP_norm_mySGP,
HR9_SGP_repl_mySGP,
HR9_SGP_norm_mySGP,
ERA_SGP_repl_mySGP,
ERA_SGP_norm_mySGP,
WHIP_SGP_repl_mySGP,
WHIP_SGP_norm_mySGP,
SO_SGP_Val_mySGP,
HR9_SGP_Val_mySGP,
ERA_SGP_Val_mySGP,
WHIP_SGP_Val_mySGP,
POS_FGAV,1B
ADP_FGAV,66.9000015258789
PA_FGAV,651.0
mR_FGAV,3.30750241406446
mHR_FGAV,1.30731349469785
mOBP_FGAV,6.02976183625169
mSLG_FGAV,4.05024343334149
PTS_FGAV,14.6948211783555
aPOS_FGAV,8.135422368250191
Dollars_FGAV,23.83024354660568
NameASCII_FGAV,Freddie Freeman
MLBAMID_FGAV,518692.0
IP_FGAV,
mERA_FGAV,
mWHIP_FGAV,
mSO_FGAV,
Dollars_Vibbot,26.4
Ottoneu_Avg,34.19
Ottoneu_Med,33.0
Ottoneu_Min,18.0
Ottoneu_Max,48.0
Ottoneu_L10,29.4
Roster%,87.5
TeamID,
Team Name,
Salary,
