Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"José Ramírez","CLE",153.73,658.94,584.276,159.935,94.9646,33.8804,3.00457,28.0858,93.174,90.7512,64.3251,10.08,75.6621,4.59247,5.20644,0.53974,7.58152,34.5064,8.47746,0.273732,0.0976191,0.114824,0.850163,0.347589,0.486212,0.353255,0.833801,0.21248,6.03393,0.271443,-0.319261,2.41425,99.3656,21.5067,129.072,2.09499,-0.232073,24.67367911338806,-0.0119561105966568,4.84362,5.289999961853027,2.05047,0.024552,0.605499,2.05047,-0.024552,4.19267,942,6.116883116,942,6.116883116,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Junior Caminero","TBR",148.8,633.795,581.679,158.486,93.6109,26.3252,1.12879,37.4212,84.8979,103.353,42.7873,1.92596,122.473,4.17496,4.66059,0.492611,16.7813,5.90109,1.68655,0.272463,0.0675096,0.193238,0.349361,0.324408,0.514601,0.356144,0.839009,0.242138,3.55531,0.283893,-0.184961,-0.425758,97.0605,22.1728,129.36,-0.610718,-2.43721,21.38277941942215,-0.33428454399108887,4.34816,14.609999656677246,4.32444,0.11896,1.2211,4.32444,-0.11896,3.37187,878.5,5.895973154,878.5,5.895973154,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Alex Bregman","CHC",148.794,642.414,564.873,143.984,92.3883,27.8624,1.17938,22.5537,80.7316,79.2564,64.4347,1.72059,89.0015,7.61495,4.52193,0.969877,13.1583,2.34214,0.893904,0.254896,0.100301,0.138542,0.723974,0.336792,0.428177,0.333099,0.764969,0.173282,2.93232,0.265224,-0.658152,-0.971848,86.3606,10.4543,113.529,-1.63,0.68798,8.642628788948059,2.984185039997101,3.41405,123.97000122070312,1.78108,0.746719,0.739085,1.78108,-0.746719,4.01455,761.5,5.110738255,761.5,5.110738255,,,,,,,,,,,,,,,,,,,"Alex Bregman","17678",608324
"Maikel Garcia","KCR",150.832,638.576,576.162,155.28,107.399,31.7112,3.80595,12.3638,82.7357,64.6238,52.7071,0.411985,94.1962,1.91366,4.73395,3.05856,12.3526,26.5796,6.76179,0.269508,0.0825386,0.14751,0.559547,0.330284,0.402134,0.32,0.732418,0.132627,6.15246,0.301298,0.501432,1.47997,79.0533,3.6007,104.531,1.98141,2.57005,5.401476621627808,4.995718240737915,3.27496,80.55000305175781,2.49963,-1.00786,1.10644,2.49963,1.00786,3.52474,717.1,4.749006622,717.1,4.749006622,,,,,,,,,,,,,,,,,,,"Maikel Garcia","22715",672580
"Matt Chapman","SFG",146.818,616.71,535.227,126.981,73.8595,27.6941,2.15752,23.27,79.423,74.3689,70.2763,1.14158,152.349,6.42025,4.31719,0.469175,8.98989,8.9235,2.8252,0.237247,0.113954,0.247036,0.461284,0.330516,0.427483,0.330218,0.757999,0.190235,4.58094,0.284979,-0.204193,-0.358654,81.4627,8.59367,111.551,-0.562847,0.595814,7.856385231018066,2.8615249395370483,3.23206,172.25999450683594,2.14753,-0.378134,0.71241,2.14753,0.378134,4.05012,721.7,4.909523809,721.7,4.909523809,,,,,,,,,,,,,,,,,,,"Matt Chapman","16505",656305
"Jordan Westburg","BAL",136.316,575.532,526.512,137.651,84.7572,26.8946,3.13343,22.8656,77.2478,72.9493,36.9883,0.132834,128.599,7.51261,3.44729,1.0722,9.04437,5.81239,2.11497,0.261439,0.0642681,0.223444,0.287625,0.317084,0.454708,0.332429,0.771792,0.193269,4.74331,0.303268,0.232814,-0.556081,77.0563,9.05277,114.986,-0.323267,-1.69962,9.842050552368164,-0.16969871520996094,3.0163,128.10000610351562,3.6948,-1.09734,0.481186,3.6948,1.09734,4.35842,698.2,5.133823529,698.2,5.133823529,,,,,,,,,,,,,,,,,,,"Jordan Westburg","27815",676059
"Austin Riley","ATL",145.963,627.275,568.897,146.667,88.7826,28.2406,2.15504,27.4891,81.186,87.2054,46.7673,0.980489,164.227,6.68656,4.41063,0.51343,10.5749,2.48602,0.842117,0.25781,0.0745564,0.261811,0.284772,0.319294,0.459988,0.334956,0.779282,0.202177,3.34753,0.312319,-0.0896051,-0.780183,85.271,11.1536,114.57,-0.869788,-3.39857,9.961939215660095,-1.5214732885360718,2.99879,80.44999694824219,3.84222,-1.15955,0.910809,3.84222,1.15955,3.78559,763.6,5.230136986,763.6,5.230136986,,,,,,,,,,,,,,,,,,,"Austin Riley","18360",663586
"Rafael Devers","SFG",153.609,658.401,563.915,142.261,82.107,28.2233,1.11093,30.8196,87.2411,91.4851,83.3537,9.76645,162.908,6.05807,4.55098,0.523508,12.6988,2.06753,0.835577,0.252273,0.1266,0.24743,0.511661,0.352151,0.470221,0.35117,0.822372,0.217947,2.69015,0.297384,-0.595082,-0.996514,98.17,20.3748,125.944,-1.5916,0.66647,18.597012162208557,-12.250361919403076,2.92919,64.6500015258789,1.74141,0.619611,1.15376,1.74141,-0.619611,3.46166,877.5,5.698051948,877.5,5.698051948,,,,,,,,,,,,,,,,,,,"Rafael Devers","17350",646240
"Manny Machado","SDP",144.737,632.33,573.388,150.9,96.0624,27.1427,0.906409,26.7886,79.0121,88.6107,50.9591,3.79023,122.158,2.50887,4.96604,0.508157,13.6882,9.47183,2.76881,0.263173,0.0805894,0.193187,0.417158,0.323458,0.453831,0.333089,0.777289,0.190658,3.73978,0.28903,-0.617956,-0.201637,84.9999,10.2853,113.523,-0.819593,-2.10847,9.286803543567657,-2.564794182777405,2.87731,41.52000045776367,2.15398,0.266041,0.583036,2.15398,-0.266041,4.22262,781.1,5.386896551,781.1,5.386896551,,,,,,,,,,,,,,,,,,,"Manny Machado","11493",592518
"Yandy Díaz","TBR",144.538,621.561,553.129,159.464,110.889,27.3087,0.921192,20.3448,75.2954,75.2992,57.5769,1.94247,92.9957,5.67592,3.93738,1.24211,16.5719,1.85632,0.866042,0.288294,0.0926327,0.149616,0.619134,0.359035,0.45134,0.351756,0.810375,0.163046,2.31361,0.313524,-0.657802,-1.1202,92.9725,19.5303,126.346,-1.778,-0.215742,17.576479196548462,-14.774080514907837,2.439,132.83999633789062,2.88632,-0.433823,1.22699,2.88632,0.433823,3.36401,802.4,5.533793103,802.4,5.533793103,,,,,,,,,,,,,,,,,,,"Yandy Diaz","16578",650490
