Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Cal Raleigh","SEA",153.411,629.12,542.156,123.978,61.6982,22.6047,0.36861,39.3061,85.9157,99.7435,75.9898,8.7008,169.726,6.02195,4.10927,0.842592,6.41652,7.97866,2.39646,0.228675,0.120787,0.269783,0.44772,0.327864,0.489228,0.345861,0.817091,0.260553,3.55838,0.251077,-1.52154,-0.276946,91.0924,16.757,129.326,-1.79848,1.80144,19.946686625480652,8.710523247718811,5.14739,19.520000457763672,2.96438,1.12389,1.75772,2.96438,-1.12389,2.65638,841.3,5.49869281,841.3,5.49869281,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Will Smith","LAD",125.867,507.967,435.916,113.89,70.7651,21.4683,1.30865,20.3478,69.5929,69.062,58.2097,2.61942,98.9864,8.32881,5.01497,0.497091,7.93839,2.71947,1.07275,0.261266,0.114593,0.194868,0.588057,0.355545,0.456553,0.351206,0.812098,0.195288,3.47142,0.290868,-0.843668,-0.784559,75.7542,15.734,125.968,-1.62823,2.40271,13.962135434150696,11.51700210571289,4.36577,113.12999725341797,3.00834,-0.194337,0.522552,3.00834,0.194337,4.30326,657.9,5.221428571,657.9,5.221428571,,,,,,,,,,,,,,,,,,,"Will Smith","19197",669257
"William Contreras","MIL",147.983,610.878,531.957,141.238,93.0202,27.6586,0.873688,19.6854,76.7339,78.0028,70.1063,3.25361,117.479,3.9384,4.18942,0.686233,15.6641,5.95343,2.04101,0.265506,0.114763,0.192312,0.596754,0.352812,0.431802,0.341504,0.784613,0.166296,3.2545,0.304657,-0.549974,-0.726571,86.29,14.1101,120.281,-1.27655,0.963132,13.40742313861847,8.300073981285095,4.30035,53.22999954223633,2.15095,-0.156674,0.574866,2.15095,0.156674,4.23351,760.3,5.137162162,760.3,5.137162162,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Shea Langeliers","ATH",131.574,530.788,482.551,121.71,66.4724,24.5822,1.3129,29.3424,70.4287,75.5427,39.3286,1.13884,120.868,3.75777,4.1893,0.961545,8.71372,5.59511,1.65449,0.252222,0.0740946,0.227714,0.325385,0.311038,0.491026,0.34125,0.802064,0.238804,4.0781,0.27447,-0.138065,-0.274275,74.8674,12.1506,119.129,-0.41234,-2.01705,11.588166981935501,5.427992343902588,3.57892,57.31999969482422,1.3086,0.647116,0.71104,1.3086,-0.647116,4.05195,685.8,5.195454545,685.8,5.195454545,,,,,,,,,,,,,,,,,,,"Shea Langeliers","25816",669127
"Alejandro Kirk","TOR",123.138,482.603,426.858,114.354,78.3638,19.865,0.604896,15.5201,54.4321,62.5392,46.9931,1.72759,60.4892,3.53848,4.69156,0.521199,13.5011,0.842845,0.164668,0.267896,0.0973743,0.12534,0.776884,0.342028,0.426345,0.334032,0.768373,0.158449,2.0654,0.277982,-1.58397,-0.738386,65.2426,8.21937,115.25,-2.32236,-0.765657,6.351720094680786,8.135623157024384,3.18169,159.19000244140625,1.94917,-0.130947,0.774511,1.94917,0.130947,3.96732,580.4,4.718699186,580.4,4.718699186,,,,,,,,,,,,,,,,,,,"Alejandro Kirk","22581",672386
"Gabriel Moreno","ARI",112.002,436.971,388.57,106.514,74.1127,20.315,1.57659,10.5093,52.2969,53.4511,41.3451,2.04184,75.6173,3.27933,3.24237,0.534117,10.5685,4.38747,1.63643,0.274117,0.0946176,0.173049,0.546768,0.3463,0.415652,0.332155,0.761953,0.141535,3.79697,0.314063,0.332254,-0.563037,58.4078,6.77633,112.138,-0.230783,2.66527,6.055468574166298,10.418506622314453,3.17293,173.4199981689453,1.5264,0.902769,0.924582,1.5264,-0.902769,3.76722,517,4.616071428,517,4.616071428,,,,,,,,,,,,,,,,,,,"Gabriel Moreno","22664",672515
"Adley Rutschman","BAL",137.068,554.763,487.512,121.786,79.3925,24.5073,1.50126,16.3849,64.1739,63.5077,59.5744,1.79547,87.8748,2.85601,4.25986,0.560458,10.7705,0.864607,0.316967,0.249811,0.107387,0.158401,0.677946,0.332399,0.407068,0.323159,0.739467,0.157257,2.64165,0.271994,-0.412778,-0.881297,70.1004,4.55094,108.6,-1.29408,0.0916041,4.32926332950592,5.764308840036392,2.98626,161.5800018310547,3.13181,-0.973669,0.390073,3.13181,0.973669,4.4799,620.4,4.528467153,620.4,4.528467153,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"Yainer Diaz","HOU",134.337,531.092,500.197,134.425,88.4761,24.5419,1.03172,20.3758,59.3842,69.4413,22.7491,1.10173,91.6757,3.26289,4.27341,0.609527,13.0672,1.30668,0.583201,0.268745,0.0428346,0.172617,0.248148,0.302437,0.444141,0.319751,0.746578,0.175396,2.57276,0.290632,0.103756,-0.726035,65.6398,2.88723,105.384,-0.622279,-0.543669,2.747606933116913,7.932444274425507,2.96291,115.16000366210938,2.29794,0.409045,0.80633,2.29794,-0.409045,3.92489,593.7,4.430597014,593.7,4.430597014,,,,,,,,,,,,,,,,,,,"Yainer Diaz","23003",673237
"J.T. Realmuto","PHI",120.178,470.964,429.327,107.695,71.2841,20.7589,2.07503,13.5775,54.594,53.8047,30.6548,0.903654,113.397,6.72596,3.43826,0.818026,9.06672,6.45829,2.11157,0.250847,0.0650895,0.240776,0.270332,0.308577,0.403742,0.309587,0.712319,0.152894,4.5982,0.307786,-0.254719,-0.284469,54.3218,-1.32618,96.0516,-0.539188,2.59249,-2.743138909339905,11.865484714508057,2.53647,215,2.09729,0.097142,0.375093,2.09729,-0.097142,4.49988,499.5,4.1625,499.5,4.1625,,,,,,,,,,,,,,,,,,,"J.T. Realmuto","11739",592663
"Drake Baldwin","ATL",127.406,506.591,453.658,117.626,76.7398,20.5774,1.34249,18.9666,60.6159,71.9105,45.0426,0.432435,87.7132,3.94686,3.3932,0.550984,11.7221,0.782254,0.197183,0.259284,0.0889131,0.173144,0.513521,0.329254,0.435986,0.332164,0.76524,0.176702,2.41266,0.281586,-0.284972,-0.751468,67.7173,7.85962,112.657,-1.03644,-2.83623,6.563221216201782,-1.0691909790039062,2.28653,90.19000244140625,2.99586,0.425854,0.648487,2.99586,-0.425854,4.13535,600.9,4.731496062,600.9,4.731496062,,,,,,,,,,,,,,,,,,,"Drake Baldwin","31539",686948
