Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Shohei Ohtani","LAD",150.912,670.9,567.515,159.906,80.5891,27.214,5.6896,46.4129,122,107.486,93.4968,10.0296,162.243,4.55457,3.71761,1.61616,8.2438,23.7405,7.33805,0.281765,0.13936,0.241828,0.576278,0.385423,0.595117,0.409198,0.98054,0.313352,6.64847,0.313017,0.330853,0.629928,131.641,52.3695,165.805,0.96078,0,53.1404869556427,-14.246100425720215,6.30251,1.100000023841858,3.92353,-0.0891545,0.96926,3.92353,0.0891545,3.70765,1192.9,7.9,1192.9,7.9,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Yordan Alvarez","HOU",130.12,559.115,475.28,138.972,79.844,27.5253,1.45972,30.1429,81.1649,85.8951,70.0755,9.828,94.0794,7.26385,5.64494,0.850619,8.74336,3.60637,1.20717,0.2924,0.125333,0.168265,0.744855,0.387471,0.546721,0.393022,0.934192,0.254321,3.37098,0.305097,-0.814124,-0.745876,102.364,36.3007,155.857,-1.56,-2.06925,35.248849391937256,-13.745498895645142,4.16895,46.189998626708984,3.32942,-0.273618,1.14532,3.32942,0.273618,3.47291,908.1,6.985384615,908.1,6.985384615,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Adley Rutschman","BAL",137.068,554.763,487.512,121.786,79.3925,24.5073,1.50126,16.3849,64.1739,63.5077,59.5744,1.79547,87.8748,2.85601,4.25986,0.560458,10.7705,0.864607,0.316967,0.249811,0.107387,0.158401,0.677946,0.332399,0.407068,0.323159,0.739467,0.157257,2.64165,0.271994,-0.412778,-0.881297,70.1004,4.55094,108.6,-1.29408,0.0916041,4.32926332950592,5.764308840036392,2.98626,161.5800018310547,3.13181,-0.973669,0.390073,3.13181,0.973669,4.4799,620.4,4.528467153,620.4,4.528467153,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"Yainer Diaz","HOU",134.337,531.092,500.197,134.425,88.4761,24.5419,1.03172,20.3758,59.3842,69.4413,22.7491,1.10173,91.6757,3.26289,4.27341,0.609527,13.0672,1.30668,0.583201,0.268745,0.0428346,0.172617,0.248148,0.302437,0.444141,0.319751,0.746578,0.175396,2.57276,0.290632,0.103756,-0.726035,65.6398,2.88723,105.384,-0.622279,-0.543669,2.747606933116913,7.932444274425507,2.96291,115.16000366210938,2.29794,0.409045,0.80633,2.29794,-0.409045,3.92489,593.7,4.430597014,593.7,4.430597014,,,,,,,,,,,,,,,,,,,"Yainer Diaz","23003",673237
"Kyle Schwarber","PHI",153.387,668.151,555.837,128.126,64.9763,20.1958,0.977766,41.9757,100.196,103.473,99.382,4.31515,185.905,7.55388,4.19286,1.18587,8.02892,6.27955,1.97218,0.230509,0.148742,0.278238,0.534584,0.352434,0.496916,0.363515,0.84935,0.266406,3.63406,0.259372,-1.51537,-0.658154,106.321,27.3734,132.994,-2.17352,-1.26205,23.954604625701904,-17.63841140270233,2.92059,25.190000534057617,1.7906,0.409873,1.99519,1.7906,-0.409873,2.33974,946.1,6.18366013,946.1,6.18366013,,,,,,,,,,,,,,,,,,,"Kyle Schwarber","16478",656941
"Brent Rooker","ATH",150.522,640.133,568.584,149.128,84.9131,30.1536,1.72204,32.3389,87.0505,93.9763,60.0366,2.80949,163.036,6.7102,4.2871,0.514699,9.53439,6.30982,1.83096,0.262279,0.0937878,0.254691,0.368241,0.337505,0.491998,0.354443,0.829503,0.229719,3.95167,0.309377,-0.523188,-0.470507,97.1467,21.5102,128.191,-0.993695,-1.60434,20.335391342639923,-16.78857123851776,2.57947,55.15999984741211,1.31116,-0.297806,0.954325,1.31116,0.297806,3.72757,871.4,5.770860927,871.4,5.770860927,,,,,,,,,,,,,,,,,,,"Brent Rooker","19627",667670
"Seiya Suzuki","CHC",143.746,616.202,541.95,137.802,82.2495,26.6497,2.92417,25.9788,78.0972,85.2926,65.3365,1.8597,155.342,3.59589,4.75611,0.5636,9.15682,7.90507,3.05223,0.254271,0.106031,0.252095,0.420599,0.335805,0.458043,0.342133,0.793848,0.203772,4.46389,0.306042,-0.43814,-0.654705,87.3566,14.5476,119.735,-1.09284,-3.45186,13.280447959899902,-10.895491361618042,2.37773,103.3499984741211,1.86498,0.349429,0.619322,1.86498,-0.349429,4.17424,784.4,5.447222222,784.4,5.447222222,,,,,,,,,,,,,,,,,,,"Seiya Suzuki","30116",673548
"Ben Rice","NYY",136.2,557.169,489.554,121.555,68.3215,23.559,2.0359,27.6387,75.4754,77.1718,54.8444,0.252813,117.446,7.63169,4.61207,0.527308,11.0058,4.24585,1.74211,0.248298,0.098434,0.21079,0.466976,0.33061,0.474109,0.346125,0.804719,0.225812,3.98759,0.269039,-0.10576,-0.726069,80.7934,14.9596,122.477,-0.831829,-1.65519,13.970147728919983,-10.850765466690063,2.24846,48.900001525878906,3.25286,1.31996,0.737071,3.25286,-1.31996,4.01724,728.4,5.355882352,728.4,5.355882352,,,,,,,,,,,,,,,,,,,"Ben Rice","29576",700250
"Iván Herrera","STL",127.005,526.024,458.925,122.742,83.6802,21.4789,0.867199,16.7159,66.7577,62.1793,52.2399,0.698002,105.531,10.3712,3.64031,0.847528,13.7142,8.22454,2.4344,0.267456,0.0993108,0.20062,0.49502,0.352935,0.42731,0.341849,0.780245,0.159854,4.08265,0.31155,0.202841,-0.313181,74.4511,12.2973,119.54,-0.110339,-0.696736,12.03821825236082,-10.040671110153198,2.02584,174.8699951171875,3.86236,-1.84069,0.501893,3.86236,1.84069,4.33081,651.8,5.132283464,651.8,5.132283464,,,,,,,,,,,,,,,,,,,"Ivan Herrera","20599",671056
"Vinnie Pasquantino","KCR",145.268,618.729,555.463,144.644,87.2929,30.4268,1.76091,25.1637,74.5644,89.3517,51.3265,3.52382,91.0381,5.77193,5.74107,0.426419,12.1555,1.31152,0.343263,0.260403,0.0829547,0.147137,0.563791,0.326285,0.457428,0.335734,0.783712,0.197024,2.80509,0.268494,-1.19414,-0.808229,84.5004,11.3928,115.34,-2.00237,0.0589449,9.215422630310059,-11.783517684787512,1.87972,90.19000244140625,2.94584,-0.74557,0.947786,2.94584,0.74557,3.73629,763.3,5.264137931,763.3,5.264137931,,,,,,,,,,,,,,,,,,,"Vinnie Pasquantino","27676",686469
