Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",14.3742,7.04161,18.1585,2.77457,29.8766,29.8766,0,0,0,189.747,743.41,145.925,63.5827,58.4961,18.7818,38.932,0.656794,6.39001,229.19,10.8709,1.84661,5.88692,0.890854,0.308295,0.0523695,0.2559257000684738,0.209035,0.974231,0.282467,0.764836,,,2.72275,5.84816,5.68173,5.840000152587891,2.97063,-2.96926,1.95397,2.97063,2.96926,2.39471,1115.6999999999998,5.872105263157894,1026,5.4,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",12.3671,8.20263,17.6124,2.75928,30.2106,30.2106,0,0,0,186.614,740.346,145.052,62.1886,57.2135,15.5018,45.5249,0.847378,6.72205,224.303,10.8176,2.19557,4.92704,0.74762,0.30297,0.0614913,0.24147877469658852,0.210801,1.02123,0.288984,0.760259,,,2.65103,5.78243,6.05223,9.609999656677246,2.17468,-0.525625,1.79884,2.17468,0.525625,2.60154,1099,5.877005347593583,1016,5.433155080213904,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",13.2469,8.14561,15.54,3.07141,29.3089,29.3089,0,0,0.701837,180.506,722.344,145.484,66.9576,61.601,19.3156,46.3108,1.78526,5.27536,221.171,11.0275,2.30905,4.7758,0.963069,0.306186,0.0641119,0.24207375943660736,0.216895,1.06254,0.29323,0.757723,,,2.93303,5.01687,4.98953,10.100000381469727,4.87855,-1.42587,1.4103,4.87855,1.42587,3.1196,1017.7,5.622651933701658,947,5.232044198895028,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Logan Webb","SFG",12.9634,10.1459,17.1698,3.343,30.3029,30.3029,0,0.187813,0,195.268,804.783,185.817,78.8383,72.5313,15.7501,44.879,0.903431,5.8556,183.708,8.46716,2.06849,4.0934,0.72593,0.22827,0.0557653,0.17250443994998932,0.246426,1.18143,0.306654,0.727826,,,3.08157,4.80906,4.38957,56.41999816894531,3.21594,-2.61233,1.11869,3.21594,2.61233,3.50841,977.6,5.013333333333334,982,5.035897435897436,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Cristopher Sánchez","PHI",12.3766,7.77394,16.5268,3.18616,29.3337,29.3337,0,0,0,185.717,760.32,167.858,71.4641,65.747,16.044,46.2015,2.15721,5.82465,179.174,8.68293,2.23897,3.8781,0.777506,0.235656,0.0607658,0.1748902127146721,0.236989,1.15261,0.29589,0.744243,,,3.16907,4.46801,4.91573,27.579999923706055,3.64766,-1.36286,1.13686,3.64766,1.36286,3.48418,944.8000000000002,5.07956989247312,924,4.967741935483871,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Chris Sale","ATL",11.2989,6.5491,14.2611,3.2017,25.8135,25.8135,0,0,0,158.855,643.196,130.766,61.4257,56.5117,16.9179,40.8897,0.669851,8.70805,195.461,11.0739,2.31663,4.78019,0.958493,0.30389,0.0635728,0.2403169572353363,0.220294,1.08058,0.298643,0.744946,,,2.99542,3.98451,4.08139,34.709999084472656,3.26354,-1.56705,1.12577,3.26354,1.56705,3.49897,866.9000000000002,5.452201257861637,814,5.119496855345912,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Cole Ragans","KCR",10.1674,7.9376,12.8658,3.2983,25.8411,25.8411,0,0,0,151.766,620.621,120.005,60.4554,55.619,15.9253,53.9833,1.72857,4.9927,187.195,11.101,3.2013,3.46764,0.944394,0.301625,0.0869827,0.21464234590530396,0.213667,1.14642,0.290301,0.748439,,,3.19817,3.73122,3.59106,49.029998779296875,4.65867,-0.491335,0.941684,4.65867,0.491335,3.74442,813,5.348684210526316,749,4.927631578947368,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Yoshinobu Yamamoto","LAD",12.2628,6.72562,13.7618,3.2699,27.107,27.107,0,0,0,160.535,652.99,131.794,63.3979,58.3261,15.7932,47.8554,0.727321,4.95027,172.47,9.66911,2.68289,3.60399,0.885405,0.264124,0.0732867,0.19083764404058456,0.21959,1.11907,0.28161,0.737923,,,3.25217,3.71038,3.86817,24.84000015258789,4.56365,0.167195,1.002,4.56365,-0.167195,3.664,836.4000000000001,5.195031055900622,782,4.857142857142857,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Max Fried","NYY",14.2447,8.14154,15.832,3.30198,29.0059,29.0059,0,0.210646,0,181.284,747.425,160.271,72.2941,66.5106,16.897,52.5524,0.861826,7.06678,171.302,8.50447,2.60901,3.25965,0.838866,0.22919,0.0703112,0.15887857973575592,0.233018,1.17398,0.286973,0.742882,,,3.44357,3.61743,4.2206,58.349998474121094,3.06604,-1.36023,1.18763,3.06604,1.36023,3.41649,876.3000000000002,4.841436464088399,846,4.6740331491712706,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Dylan Cease","TOR",11.219,9.62231,12.7892,3.74929,29.4765,29.4765,0,0,0,172.976,718.467,144.338,78.3258,72.0598,21.4446,65.26,1.50226,5.50876,204.241,10.6267,3.3955,3.12965,1.11577,0.284273,0.0908322,0.19344092160463333,0.222847,1.21172,0.291207,0.731014,,,3.61269,3.60255,2.84651,72.87000274658203,5.73037,-1.50352,1.13628,5.73037,1.50352,3.48496,842.5000000000001,4.869942196531793,787,4.5491329479768785,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
