Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Vladimir Guerrero Jr.","TOR",157,679,592,180,111,35,1,33,96,102,75,5,91,6,5,0,,6,3,0.303501,0.111092,0.134213,0.82773,0.385353,0.530698,0.390694,0.916051,0.227197,2.93597,0.310747,-0.507971,-1.19878,123.03,42.8008,154.282,-1.70675,-1.27322,41.733792424201965,-13.598219752311707,5.26967,18.579999923706055,,,,,,,1079.4,6.875159235,1079.4,6.875159235,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Nick Kurtz","ATH",143,616,538,143,78,28,2,35,87,96,71,3,175,3,4,0,,3,1,0.266587,0.114579,0.284544,0.402674,0.352903,0.523124,0.372196,0.876027,0.256537,3.52054,0.326434,0.132328,-0.816291,102.364,29.5785,138.116,-0.683963,-0.811833,26.989666759967804,-12.061832964420319,3.69651,19.610000610351562,,,,,,,909.3,6.358741258,909.3,6.358741258,,,,,,,,,,,,,,,,,,,"Nick Kurtz","35110",701762
"Matt Olson","ATL",159,686,596,152,87,32,1,33,89,97,80,3,165,6,5,0,,1,1,0.255031,0.11619,0.240111,0.4839,0.346178,0.475785,0.353347,0.821963,0.220754,2.38092,0.295957,-1.08008,-1.14399,103.498,22.4413,127.168,-2.22407,1.742,19.865252017974854,-10.507999062538147,3.29248,55.38999938964844,,,,,,,921,5.79245283,921,5.79245283,,,,,,,,,,,,,,,,,,,"Matt Olson","14344",621566
"Pete Alonso","BAL",157,679,601,154,85,30,1,38,88,104,60,3,156,14,5,0,,3,1,0.256882,0.088708,0.229827,0.385977,0.335793,0.500007,0.356595,0.8358,0.243125,2.62902,0.28269,-1.61069,-0.866556,104.232,24.0029,131.633,-2.47725,-2.68904,22.838239669799805,-15.414044857025146,3.15064,25.709999084472656,,,,,,,936.2,5.963057324,936.2,5.963057324,,,,,,,,,,,,,,,,,,,"Pete Alonso","19251",624413
"Freddie Freeman","LAD",151,651,572,156,98,33,1,24,83,85,66,3,123,8,5,1,,9,2,0.273363,0.101099,0.188428,0.536539,0.354063,0.459171,0.351586,0.813234,0.185808,3.66988,0.308529,-0.923576,-0.241744,97.2861,20.3654,126.942,-1.16532,-0.674063,19.622239351272583,-12.349062979221344,2.96012,73.2300033569336,,,,,,,862.1,5.709271523,862.1,5.709271523,,,,,,,,,,,,,,,,,,,"Freddie Freeman","5361",518692
"Ben Rice","NYY",130,556,485,120,69,23,1,27,72,77,58,2,116,9,4,0,,5,2,0.248243,0.104479,0.208405,0.501328,0.336773,0.468646,0.346629,0.805419,0.220403,3.55572,0.269378,-0.320619,-0.534418,80.8224,15.1503,124.452,-0.855038,0.252591,15.162591993808746,-8.497408777475357,2.63788,48.900001525878906,,,,,,,718.1,5.523846153,718.1,5.523846153,,,,,,,,,,,,,,,,,,,"Ben Rice","29576",700250
"Tyler Soderstrom","ATH",136,588,529,136,80,29,2,25,74,81,48,2,139,6,4,0,,4,3,0.256736,0.0823919,0.23691,0.347777,0.323581,0.460109,0.336746,0.78369,0.203373,3.31506,0.299942,-0.182712,-1.4994,80.7868,11.3101,113.696,-1.68211,0.577763,7.809718370437622,-6.222236752510071,2.23302,98.80999755859375,,,,,,,724.3,5.325735294,724.3,5.325735294,,,,,,,,,,,,,,,,,,,"Tyler Soderstrom","27467",691016
"Michael Busch","CHC",138,595,524,130,76,26,1,26,74,80,59,2,150,8,4,0,,3,1,0.247313,0.098869,0.251401,0.393273,0.330478,0.453009,0.338118,0.783487,0.205696,2.97234,0.293076,-0.885047,-0.894943,82.4114,12.1076,118.999,-1.77999,0.713486,11.61826479434967,-10.011514544487,2.18975,111.44999694824219,,,,,,,733.4,5.314492753,733.4,5.314492753,,,,,,,,,,,,,,,,,,,"Michael Busch","26319",683737
"Josh Naylor","SEA",144,623,561,144,95,29,0,20,70,75,52,2,99,6,4,0,,18,4,0.25724,0.0832243,0.158141,0.526267,0.323925,0.417086,0.322053,0.741011,0.159846,4.17421,0.278038,-0.757316,1.02597,78.1635,4.55121,112.925,0.268657,1.35507,9.759506613016129,-10.069929361343384,2.16209,70.58000183105469,,,,,,,714.5,4.961805555,714.5,4.961805555,,,,,,,,,,,,,,,,,,,"Josh Naylor","18839",647304
"Max Muncy","LAD",107,462,390,87,50,16,1,21,58,58,63,1,113,6,3,0,,3,1,0.224318,0.136704,0.245499,0.55684,0.33817,0.429684,0.335313,0.767855,0.205366,3.13883,0.257558,-1.01984,-0.5787,62.938,8.3491,115.795,-1.59854,-2.84972,7.050140976905823,-1.4997152090072632,2.14051,267.94000244140625,,,,,,,556.6,5.201869158,556.6,5.201869158,,,,,,,,,,,,,,,,,,,"Max Muncy","13301",571970
