Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Vladimir Guerrero Jr.","TOR",155.415,671.565,583.611,172.219,110.044,32.3083,0.855553,29.0113,95.6871,96.529,75.976,8.22228,91.8433,6.80014,4.63835,0.538937,16.9984,4.74158,2.06166,0.295093,0.113133,0.13676,0.827235,0.380009,0.502514,0.376849,0.882523,0.207421,2.97578,0.306396,-0.271942,-1.11463,114.134,34.7835,144.745,-1.38657,-0.939005,34.02968645095825,-13.128702223300934,4.5033,18.579999923706055,3.57853,-0.11688,1.3686,3.57853,0.11688,3.1752,1003.2,6.472258064,1003.2,6.472258064,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Nick Kurtz","ATH",140.448,573.032,510.109,133.76,68.435,25.2965,2.09963,37.9291,93.6775,92.467,54.039,3.62811,176.463,3.76946,3.81886,1.29598,7.98951,3.52694,1.02984,0.262219,0.0943035,0.307946,0.306234,0.335065,0.543106,0.370072,0.87817,0.280887,4.23167,0.319932,0.0735564,-0.525814,94.2353,26.5272,138.928,-0.452258,-2.33971,25.91280487179756,-13.423061847686768,3.26209,19.610000610351562,3.2963,0.460985,1.28094,3.2963,-0.460985,3.29208,860.3,6.145,860.3,6.145,,,,,,,,,,,,,,,,,,,"Nick Kurtz","35110",701762
"Freddie Freeman","LAD",144.1,624.078,546.354,151.392,95.0937,32.2366,1.81653,22.2451,84.5063,84.6369,64.8106,7.60881,115.964,7.60784,5.04181,0.26324,11.5809,7.54644,2.16459,0.277095,0.10385,0.185817,0.558883,0.358777,0.464894,0.352997,0.823671,0.187799,4.1502,0.312563,-0.840837,-0.432778,93.9777,20.2381,127.198,-1.27362,0.0901965,18.787972807884216,-11.076474338769913,2.94997,73.2300033569336,2.52812,0.304762,0.781988,2.52812,-0.304762,3.95735,839.2,5.827777777,839.2,5.827777777,,,,,,,,,,,,,,,,,,,"Freddie Freeman","5361",518692
"Matt Olson","ATL",155.671,676.354,583.848,144.743,83.6452,29.7864,1.41629,29.8951,91.2072,93.3225,81.2488,3.59134,161.831,5.51787,4.85385,0.885412,12.4533,0.995772,0.279947,0.247912,0.120128,0.23927,0.502058,0.342739,0.457392,0.345206,0.800131,0.20948,2.53107,0.289307,-0.986937,-1.01678,97.5718,17.6554,121.592,-2.00372,2.43372,15.304614305496216,-9.577968835830688,2.88819,55.38999938964844,3.06631,-0.917188,1.30294,3.06631,0.917188,3.26275,865.6,5.548717948,865.6,5.548717948,,,,,,,,,,,,,,,,,,,"Matt Olson","14344",621566
"Pete Alonso","BAL",154.837,663.624,583.468,145.976,81.8402,26.6095,1.0964,36.4297,87.1657,103.144,61.7957,4.42455,153.258,12.6786,5.17563,0.506508,13.5997,2.19527,0.864073,0.250187,0.0931185,0.230942,0.403212,0.332445,0.48686,0.349658,0.819305,0.236674,2.79902,0.274582,-1.34516,-0.917526,98.134,19.7217,126.855,-2.26268,-1.74232,18.741842031478882,-14.280845522880554,2.79332,25.709999084472656,2.16256,-1.12742,1.50329,2.16256,1.12742,2.99561,883,5.696774193,883,5.696774193,,,,,,,,,,,,,,,,,,,"Pete Alonso","19251",624413
"Tyler Soderstrom","ATH",138.578,578.578,518.633,133.462,80.5343,27.1871,1.454,24.2865,72.7844,77.7391,49.7323,2.16018,134.132,5.8889,3.8386,0.485327,13.6697,5.28915,1.8499,0.257334,0.0859562,0.23183,0.370772,0.327081,0.455846,0.336904,0.782927,0.198512,3.81403,0.299889,-0.0775529,-0.584332,79.5666,11.2032,116.144,-0.661885,1.29601,10.377644121646881,-5.6288076639175415,2.48931,98.80999755859375,3.17228,0.0120988,0.535881,3.17228,-0.0120988,4.28549,707.3,5.088489208,707.3,5.088489208,,,,,,,,,,,,,,,,,,,"Tyler Soderstrom","27467",691016
"Yandy Díaz","TBR",144.538,621.561,553.129,159.464,110.889,27.3087,0.921192,20.3448,75.2954,75.2992,57.5769,1.94247,92.9957,5.67592,3.93738,1.24211,16.5719,1.85632,0.866042,0.288294,0.0926327,0.149616,0.619134,0.359035,0.45134,0.351756,0.810375,0.163046,2.31361,0.313524,-0.657802,-1.1202,92.9725,19.5303,126.346,-1.778,-0.215742,17.576479196548462,-14.774080514907837,2.439,132.83999633789062,2.88632,-0.433823,1.22699,2.88632,0.433823,3.36401,802.4,5.533793103,802.4,5.533793103,,,,,,,,,,,,,,,,,,,"Yandy Diaz","16578",650490
"Michael Busch","CHC",138.453,579.301,508.942,126.79,71.3438,24.8173,2.48167,28.147,76.642,77.0403,58,1.44832,143.484,7.32169,3.78879,1.24856,7.72832,3.53418,0.901923,0.249124,0.100121,0.247684,0.404228,0.332342,0.473553,0.34633,0.805896,0.224429,3.84357,0.28919,-0.825062,-0.555177,84.0994,15.6505,122.619,-1.38024,0.213204,14.106366515159607,-10.570461571216583,2.36771,111.44999694824219,2.29015,0.937776,0.783056,2.29015,-0.937776,3.95593,749.1,5.428260869,749.1,5.428260869,,,,,,,,,,,,,,,,,,,"Michael Busch","26319",683737
"Max Muncy","LAD",110.999,458.06,381.875,85.1757,46.6226,15.7422,1.18042,21.6304,60.8379,62.9422,65.7049,2.40038,111.756,5.96577,4.01347,0.500396,5.46552,3.08874,0.731422,0.223046,0.143442,0.243977,0.587932,0.342789,0.440379,0.340259,0.783168,0.217333,3.61435,0.251662,-1.023,-0.446869,64.2403,10.117,118.448,-1.46987,-2.29041,8.51755154132843,-0.8889145851135254,2.36663,267.94000244140625,3.93674,0.715801,0.622564,3.93674,-0.715801,4.16991,571.8,5.151351351,571.8,5.151351351,,,,,,,,,,,,,,,,,,,"Max Muncy","13301",571970
"Ben Rice","NYY",136.2,557.169,489.554,121.555,68.3215,23.559,2.0359,27.6387,75.4754,77.1718,54.8444,0.252813,117.446,7.63169,4.61207,0.527308,11.0058,4.24585,1.74211,0.248298,0.098434,0.21079,0.466976,0.33061,0.474109,0.346125,0.804719,0.225812,3.98759,0.269039,-0.10576,-0.726069,80.7934,14.9596,122.477,-0.831829,-1.65519,13.970147728919983,-10.850765466690063,2.24846,48.900001525878906,3.25286,1.31996,0.737071,3.25286,-1.31996,4.01724,728.4,5.355882352,728.4,5.355882352,,,,,,,,,,,,,,,,,,,"Ben Rice","29576",700250
"Cody Bellinger","NYY",136.243,584.559,527.073,138.041,88.3376,25.3894,3.33833,20.9757,74.271,77.7763,48.0555,3.07848,88.2306,3.52822,5.46925,0.432999,8.19612,10.9827,2.67454,0.261901,0.0822082,0.150935,0.544658,0.32463,0.442129,0.329422,0.766759,0.180228,4.91779,0.276531,-0.0871155,0.19788,76.8381,7.76791,111.004,0.110764,-0.192767,7.7133278995752335,-6.36169607937336,2.16244,92.31999969482422,1.49795,-0.943413,0.281557,1.49795,0.943413,4.62459,701.3,5.156617647,701.3,5.156617647,,,,,,,,,,,,,,,,,,,"Cody Bellinger","15998",641355
"Josh Naylor","SEA",143.013,601.586,541.681,141.176,92.5275,26.4008,0.619404,21.6285,72.8798,83.7101,49.8873,5.22431,90.2392,5.02559,4.4771,0.514282,13.8445,16.5091,4.32798,0.260626,0.0829264,0.150002,0.552834,0.326233,0.431437,0.326023,0.757669,0.170811,4.38488,0.275271,-0.996093,0.590583,77.4157,6.33369,115.66,-0.40551,0.0782354,10.698024541139603,-11.254272639751434,2.06153,70.58000183105469,3.86789,-0.454896,0.353032,3.86789,0.454896,4.52929,721.6,5.046153846,721.6,5.046153846,,,,,,,,,,,,,,,,,,,"Josh Naylor","18839",647304
"Vinnie Pasquantino","KCR",145.268,618.729,555.463,144.644,87.2929,30.4268,1.76091,25.1637,74.5644,89.3517,51.3265,3.52382,91.0381,5.77193,5.74107,0.426419,12.1555,1.31152,0.343263,0.260403,0.0829547,0.147137,0.563791,0.326285,0.457428,0.335734,0.783712,0.197024,2.80509,0.268494,-1.19414,-0.808229,84.5004,11.3928,115.34,-2.00237,0.0589449,9.215422630310059,-11.783517684787512,1.87972,90.19000244140625,2.94584,-0.74557,0.947786,2.94584,0.74557,3.73629,763.3,5.264137931,763.3,5.264137931,,,,,,,,,,,,,,,,,,,"Vinnie Pasquantino","27676",686469
