Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",148.563,647.156,519.874,151.045,78.0928,24.6783,0.97677,47.2973,108.275,112.462,115.29,10.08,158.905,6.48877,4.67189,0.831472,11.1057,8.75014,2.65508,0.290542,0.178149,0.245543,0.725528,0.422116,0.614705,0.432467,1.03682,0.324163,3.64387,0.325899,-1.05319,-0.590216,139.209,62.7423,181.789,-1.6434,-0.550019,60.91580533981323,-7.810041189193726,7.67429,2.0299999713897705,2.79957,2.06866,1.50739,2.79957,-2.06866,2.99015,1217.3,8.169798657,1217.3,8.169798657,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Juan Soto","NYM",156.438,681.719,546.264,149.44,84.2975,25.1506,1.39455,38.5977,109.397,98.6043,125.669,8.86149,122.511,3.74519,4.72064,1.32015,13.9851,21.1514,5.90294,0.273568,0.184341,0.179709,1.02578,0.409839,0.536687,0.402355,0.946527,0.263119,4.53571,0.284302,-1.10246,0.460573,129.977,49.4265,161.104,-0.641886,-6.95606,48.59174561500549,-14.395622730255127,5.85928,4.480000019073486,2.16275,0.377834,0.715102,2.16275,-0.377834,4.04653,1146.3,7.348076923,1146.3,7.348076923,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Julio Rodríguez","SEA",153.41,663.31,601.921,163.57,101.867,28.1986,3.51941,29.9853,93.0078,91.8009,47.8276,3.74782,146.069,8.94782,4.08847,0.52544,11.7493,27.8926,6.55146,0.271747,0.0721045,0.220212,0.327432,0.332455,0.479737,0.347177,0.812192,0.20799,6.20868,0.310696,-0.218198,1.87301,96.7514,18.3762,130.233,1.65482,4.70381,25.290239810943604,6.877989053726196,5.62701,10.8100004196167,3.39721,-1.24458,0.251565,3.39721,1.24458,4.66458,907,5.928104575,907,5.928104575,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Corbin Carroll","ARI",150.647,651.231,567.008,146.676,78.4009,28.5761,10.4097,29.2893,103.695,84.1647,68.735,2.58405,137.914,8.37663,4.84012,2.27135,7.25878,34.7756,7.30319,0.258684,0.105546,0.211775,0.498389,0.344841,0.500768,0.360343,0.845608,0.242084,8.11141,0.290098,2.19202,2.95476,101.951,25.003,131.448,5.14678,2.44615,29.419429302215576,-4.234578609466553,4.79349,8.289999961853027,0.928017,-0.429578,0.97889,0.928017,0.429578,3.69481,947.8,6.276821192,947.8,6.276821192,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Fernando Tatis Jr.","SDP",145.21,645.985,564.696,152.482,92.9855,28.0681,2.52596,28.9028,98.0541,79.7735,69.9289,3.40602,127.996,6.38587,3.576,1.39784,11.6039,25.8352,6.00726,0.270026,0.108252,0.198141,0.546338,0.354952,0.482226,0.359791,0.837177,0.2122,5.87785,0.300407,0.485449,1.61178,100.84,24.5121,131.866,2.09723,4.41074,26.42656707763672,-2.498666763305664,4.68497,14.100000381469727,4.32066,-0.806239,0.476617,4.32066,0.806239,4.36451,917.7,6.328965517,917.7,6.328965517,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ronald Acuña Jr.","ATL",143.965,628.935,533.238,148.531,93.9469,24.9092,2.24336,27.4312,102.676,77.7385,84.1717,3.59808,134.713,7.10512,3.20183,1.21908,11.4307,24.1945,6.91397,0.278545,0.133832,0.214192,0.624823,0.382032,0.488,0.375529,0.870032,0.209455,5.71409,0.32354,1.31255,0.808477,106.215,31.9013,142.363,2.12102,-2.94761,33.69955372810364,-10.472686529159546,4.51727,7.550000190734863,3.44742,0.626882,0.635168,3.44742,-0.626882,4.15311,938.1,6.514583333,938.1,6.514583333,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Kyle Tucker","LAD",143.745,622.372,528.722,141.947,83.0718,27.7819,2.26664,28.8264,94.2071,88.0527,84.7121,6.19633,93.8512,3.86581,4.22573,0.846452,8.95614,22.7416,4.88406,0.268471,0.136112,0.150796,0.902622,0.370901,0.493154,0.369706,0.864055,0.224682,5.34506,0.275721,-0.632973,1.45593,102.164,28.6263,138.677,0.82296,-0.564206,29.273229241371155,-7.219082057476044,4.4115,18.15999984741211,2.10433,-0.520467,0.283615,2.10433,0.520467,4.62185,928.1,6.445138888,928.1,6.445138888,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Mookie Betts","LAD",143.461,629.935,553.261,148.655,94.0616,30.1493,2.57103,21.8735,90.3324,79.1648,65.7479,1.86694,72.8496,4.56193,5.13433,1.23016,10.0731,9.36986,2.53502,0.268689,0.104372,0.115646,0.902515,0.34828,0.451084,0.345945,0.799364,0.182395,4.57325,0.27343,-0.421236,-0.236965,91.2534,16.8216,122.354,-0.658202,-1.62654,15.985251903533936,5.015192866325378,4.32988,63.130001068115234,2.10658,-1.15093,0.647576,2.10658,1.15093,4.13657,814,5.692307692,814,5.692307692,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Yordan Alvarez","HOU",130.12,559.115,475.28,138.972,79.844,27.5253,1.45972,30.1429,81.1649,85.8951,70.0755,9.828,94.0794,7.26385,5.64494,0.850619,8.74336,3.60637,1.20717,0.2924,0.125333,0.168265,0.744855,0.387471,0.546721,0.393022,0.934192,0.254321,3.37098,0.305097,-0.814124,-0.745876,102.364,36.3007,155.857,-1.56,-2.06925,35.248849391937256,-13.745498895645142,4.16895,46.189998626708984,3.32942,-0.273618,1.14532,3.32942,0.273618,3.47291,908.1,6.985384615,908.1,6.985384615,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Jackson Merrill","SDP",141.345,611.404,560.961,151.225,93.3056,31.4345,4.05242,22.4322,77.8615,81.2535,39.9292,1.57266,119.237,3.60956,4.61746,2.28679,8.12896,8.66314,2.41229,0.269581,0.0653073,0.195021,0.334873,0.319747,0.460033,0.334035,0.77978,0.190452,4.92631,0.30382,0.935397,-0.148268,82.6565,10.4144,114.173,0.787129,4.11882,11.028578162193298,6.10617196559906,3.87021,77.38999938964844,1.84852,0.354791,0.541022,1.84852,-0.354791,4.27864,747.6,5.302127659,747.6,5.302127659,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"Bryce Harper","PHI",142.517,613.618,528.077,143.648,84.2635,31.7276,0.943713,26.7133,84.088,85.4929,75.9114,7.66634,130.251,4.74755,4.20557,0.676422,11.0645,9.27765,3.39951,0.272021,0.123711,0.212267,0.58281,0.365952,0.487434,0.364488,0.853386,0.215413,3.85116,0.311561,0.34203,-0.574781,98.1277,25.6239,133.661,-0.232751,0.790628,24.2475193887949,-10.298625528812408,3.51588,54.7400016784668,2.11285,-2.24894,0.591438,2.11285,2.24894,4.21142,882.4,6.17062937,882.4,6.17062937,,,,,,,,,,,,,,,,,,,"Bryce Harper","11579",547180
"Pete Crow-Armstrong","CHC",145.497,606.713,551.797,135.659,80.6352,27.9503,4.62652,22.4472,80.8316,75.6392,34.1818,1.77028,146.494,7.87297,5.32528,7.5359,4.5028,33.2556,7.694,0.24585,0.0563394,0.241455,0.233333,0.296597,0.435312,0.313534,0.731909,0.189463,7.26149,0.291647,0.207013,2.70202,71.9238,0.236048,100.09,2.90903,8.5984,2.973468139767647,10.843722820281982,3.51453,34.290000915527344,2.32542,-0.50811,1.12447,2.32542,0.50811,3.50071,692.4,4.775172413,692.4,4.775172413,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Wyatt Langford","TEX",143.473,609.347,527.924,131.705,78.2529,27.4087,2.13796,23.9055,82.6103,73.0616,70.9265,2.80674,142.721,5.599,4.01554,0.882698,8.1429,22.4257,5.42237,0.249477,0.116397,0.234219,0.49696,0.342223,0.445341,0.341125,0.787564,0.195864,5.61434,0.295088,-0.0573222,1.26132,85.8861,13.8871,120.937,1.20399,0.247619,16.24097752571106,-4.180553957819939,3.37971,49.939998626708984,2.56403,-0.674476,0.58771,2.56403,0.674476,4.21639,785.3,5.491608391,785.3,5.491608391,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
"Byron Buxton","MIN",124.384,529.579,476.514,118.649,62.1884,25.0536,3.86813,27.5392,79.5882,72.6277,40.08,2.51994,143.751,7.98879,3.83651,1.15955,4.43477,16.3914,2.75043,0.248994,0.0756828,0.271444,0.278816,0.315503,0.491185,0.342689,0.806689,0.242191,6.65947,0.294797,0.483105,1.44068,75.3156,12.7418,119.852,1.92379,-2.05322,14.314651489257812,-2.4371193647384644,3.0801,85.61000061035156,4.40684,1.91049,0.479753,4.40684,-1.91049,4.36033,713.9,5.757258064,713.9,5.757258064,,,,,,,,,,,,,,,,,,,"Byron Buxton","14161",621439
"Jazz Chisholm Jr.","NYY",139.668,584.964,519.271,123.993,74.4136,19.4503,2.30737,27.8218,79.5573,75.6113,55.3249,1.95449,154.891,5.02383,4.29086,1.05386,6.9357,31.9788,8.04169,0.238783,0.0945783,0.264786,0.357187,0.315702,0.445863,0.328009,0.761565,0.207079,6.21836,0.282152,0.0249225,2.22579,76.2203,7.1023,110.033,2.25072,-1.20899,9.187553405761719,0.35855066776275635,3.00224,21.809999465942383,1.78015,-0.0848127,1.19368,1.78015,0.0848127,3.40842,723.5,5.167857142,723.5,5.167857142,,,,,,,,,,,,,,,,,,,"Jazz Chisholm Jr.","20454",665862
"Kyle Schwarber","PHI",153.387,668.151,555.837,128.126,64.9763,20.1958,0.977766,41.9757,100.196,103.473,99.382,4.31515,185.905,7.55388,4.19286,1.18587,8.02892,6.27955,1.97218,0.230509,0.148742,0.278238,0.534584,0.352434,0.496916,0.363515,0.84935,0.266406,3.63406,0.259372,-1.51537,-0.658154,106.321,27.3734,132.994,-2.17352,-1.26205,23.954604625701904,-17.63841140270233,2.92059,25.190000534057617,1.7906,0.409873,1.99519,1.7906,-0.409873,2.33974,946.1,6.18366013,946.1,6.18366013,,,,,,,,,,,,,,,,,,,"Kyle Schwarber","16478",656941
"Riley Greene","DET",147.461,621.403,557.659,143.067,86.097,26.8555,3.08951,27.0252,80.5632,86.1432,54.7149,1.84028,174.099,4.5996,3.95627,0.472826,10.3715,3.77951,1.00774,0.25655,0.0880505,0.280171,0.314274,0.325933,0.461173,0.338294,0.787106,0.204623,4.10368,0.3219,-0.140289,-0.604594,86.1569,12.7334,117.331,-0.744883,1.31412,11.948188424110413,-6.100018620491028,2.78657,79.05999755859375,2.58191,0.857649,0.826725,2.58191,-0.857649,3.8977,776.8,5.284353741,776.8,5.284353741,,,,,,,,,,,,,,,,,,,"Riley Greene","25976",682985
"Jackson Chourio","MIL",144.75,625.153,575.74,155.029,95.8391,32.4751,3.34755,23.3672,86.1756,81.6448,39.4718,2.31097,125.917,3.85824,4.27693,1.8057,9.9213,23.4621,6.46693,0.269269,0.0631394,0.201419,0.313474,0.318216,0.459063,0.332703,0.777279,0.189794,5.91998,0.30567,1.04908,1.14061,83.8391,9.9725,114.252,2.1897,-0.0473124,12.74943232536316,-6.652643319219351,2.75177,20.260000228881836,1.29739,0.614009,0.35372,1.29739,-0.614009,4.52837,774,5.337931034,774,5.337931034,,,,,,,,,,,,,,,,,,,"Jackson Chourio","28806",694192
"Andy Pages","LAD",136.241,565.097,517.883,132.046,81.259,27.4275,1.24131,22.1177,72.3741,74.1066,34.2113,0.628873,124.662,7.78235,4.34857,0.872594,7.79159,10.2531,3.44435,0.254972,0.0605405,0.220603,0.274431,0.308457,0.44085,0.322771,0.749307,0.185878,4.5071,0.292789,0.462448,-0.169419,71.2285,4.45788,106.435,0.293029,1.06844,4.591064423322678,2.681981086730957,2.70088,141.52000427246094,2.75639,-1.98103,0.203153,2.75639,1.98103,4.72913,648.6,4.769117647,648.6,4.769117647,,,,,,,,,,,,,,,,,,,"Andy Pages","24816",681624
"Roman Anthony","BOS",139.072,595.577,514.141,135.061,83.9384,30.3068,2.43247,18.3833,81.803,63.8777,71.3602,1.1633,151.676,5.17135,3.51137,1.39284,10.6683,9.85961,2.98255,0.262692,0.119817,0.25467,0.470479,0.356106,0.438367,0.346688,0.794473,0.175675,4.7533,0.335672,0.406194,-0.301175,86.6353,16.2633,119.168,0.105019,0.0524328,13.560289770364761,-7.912259329110384,2.67515,63,2.87623,0.0200943,0.511158,2.87623,-0.0200943,4.31846,748.2,5.382733812,748.2,5.382733812,,,,,,,,,,,,,,,,,,,"Roman Anthony","31812",701350
