Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Mason Miller","SDP",3.19234,2.45417,0.0527774,2.51709,61.5977,0.0721742,31.5977,3.68443,3.88148,65.5823,257.727,39.6047,19.9368,18.3418,5.74479,24.9624,1.56287,2.31541,101.111,13.8757,3.42564,4.05053,0.788369,0.392318,0.0968559,0.29546157270669937,0.171859,0.984521,0.273962,0.789577,,,2.43821,1.43816,1.50421,27.31999969482422,3.28143,-0.955946,2.14408,3.28143,0.955946,2.14123,607.6000000000001,9.206060606060609,549,8.318181818181818,,,,,,,,,,,,,,,,,,,"Mason Miller","31757",695243
"Cade Smith","CLE",4.54422,3.59378,0,2.97468,69.7454,0,29.9627,4.20246,5.11913,69.9366,280.564,53.7829,25.1255,23.1154,5.82248,19.9002,1.54895,3.36501,90.2264,11.611,2.56092,4.53394,0.749282,0.32159,0.0709294,0.25066037476062775,0.209029,1.05357,0.29743,0.74098,,,2.63518,1.34529,1.12265,33.970001220703125,1.3418,0.593658,1.93815,1.3418,-0.593658,2.41579,580.8000000000001,8.297142857142859,549,7.8428571428571425,,,,,,,,,,,,,,,,,,,"Cade Smith","27867",671922
"Jhoan Duran","PHI",4.51003,4.14788,0,2.92374,68.1267,0,31.6428,3.17574,4.2059,67.6347,276.36,55.7576,23.8824,21.9718,5.15658,20.3942,2.41455,3.39157,77.9068,10.3669,2.71381,3.82005,0.686175,0.281903,0.0737956,0.20810752362012863,0.220757,1.12593,0.298512,0.758268,,,2.87756,1.14696,1.26389,34.15999984741211,1.62633,-0.35753,2.10788,1.62633,0.35753,2.18949,555.1,8.163235294117648,534,7.852941176470588,,,,,,,,,,,,,,,,,,,"Jhoan Duran","21029",661395
"Grant Taylor","CHW",3.17201,3.27086,0.180506,3.45064,66.6157,1.67895,12.1124,9.02553,1.51465,74.1435,309.577,61.6364,30.8989,28.427,6.32815,29.428,1.4778,2.70541,88.9864,10.8017,3.57215,3.02387,0.76815,0.287445,0.0950588,0.1923866644501686,0.222158,1.22822,0.303676,0.731896,,,3.14449,1.07692,0.887415,295.7699890136719,5.21096,-1.09729,1.03447,5.21096,1.09729,3.62071,490.6000000000001,6.629729729729731,470,6.351351351351352,,,,,,,,,,,,,,,,,,,"Grant Taylor","33927",691799
"Griffin Jax","TBR",3.51695,4.44051,0,3.26701,66.7681,0.210743,13.9574,14.5904,5.88605,66.2097,268.839,54.4051,26.1241,24.0342,6.7567,18.5645,1.80638,2.44823,82.9484,11.2753,2.52351,4.46811,0.91845,0.308543,0.0690544,0.23948830366134644,0.219529,1.1021,0.301341,0.737606,,,2.90826,1.06839,0.874181,172.80999755859375,1.13602,-1.53709,1.19965,1.13602,1.53709,3.40047,494.9000000000001,7.49848484848485,472,7.151515151515151,,,,,,,,,,,,,,,,,,,"Griffin Jax","20253",643377
"Edwin Díaz","LAD",4.64173,3.16661,0,3.05797,65.3655,0,35.936,2.46386,5.26673,66.1758,266.679,47.8507,24.4401,22.4848,6.57694,22.6144,0.741767,3.84755,90.366,12.2899,3.07559,3.99594,0.894473,0.338857,0.0848002,0.25405675172805786,0.199198,1.06482,0.288076,0.751339,,,2.89569,1.06204,1.08297,27.739999771118164,2.07345,0.364277,2.27865,2.07345,-0.364277,1.9618,564.5000000000001,8.553030303030305,526,7.96969696969697,,,,,,,,,,,,,,,,,,,"Edwin Diaz","14710",621242
"Bryan Abreu","HOU",3.09125,2.74827,0,3.19747,66.2315,0,7.37507,22.3508,4.47436,68.1652,281.666,51.9047,26.3232,24.2174,6.79697,27.7427,0.72897,3.65727,90.42,11.9383,3.66293,3.25923,0.897419,0.321019,0.0984953,0.2225235402584076,0.207398,1.16845,0.294728,0.760344,,,3.16038,1.00291,0.925066,252.97000122070312,1.28344,0.503,0.971169,1.28344,-0.503,3.70511,488.90000000000003,7.189705882352942,456,6.705882352941177,,,,,,,,,,,,,,,,,,,"Bryan Abreu","16609",650556
"Aroldis Chapman","BOS",3.88903,3.4991,0,3.04281,60.0908,0,29.4625,2.88384,3.54343,58.3911,238.18,41.1188,21.4581,19.7414,5.29459,25.1534,0.760311,1.99019,80.4648,12.4023,3.87697,3.19896,0.816072,0.337831,0.105606,0.23222479224205017,0.194842,1.13497,0.285959,0.761371,,,2.95242,0.97482,1.01485,46.84000015258789,1.31279,0.45312,1.99561,1.31279,-0.45312,2.33919,497.1,8.570689655172414,461,7.948275862068965,,,,,,,,,,,,,,,,,,,"Aroldis Chapman","10233",547973
"Jeremiah Estrada","SDP",3.68132,3.10432,0,3.36866,68.6951,0,3.30372,24.9414,2.09665,68.1819,279.984,52.4256,27.7394,25.5202,8.54692,26.6895,1.77063,2.45959,89.5867,11.8254,3.52301,3.35662,1.12819,0.319971,0.0953251,0.2246454730629921,0.209004,1.16035,0.287349,0.765096,,,3.41943,0.917958,0.774784,364.260009765625,2.55006,-1.0717,0.801672,2.55006,1.0717,3.9311,465.3,6.8426470588235295,431,6.338235294117647,,,,,,,,,,,,,,,,,,,"Jeremiah Estrada","22210",669093
"Abner Uribe","MIL",3.64199,2.92079,0,3.16931,67.562,0,17.4376,16.1574,3.38262,67.607,281.994,53.0669,25.8778,23.8075,5.06873,29.0142,1.97976,3.45932,79.2027,10.5436,3.86244,2.72979,0.674761,0.280866,0.102889,0.17797691375017166,0.212675,1.21409,0.290459,0.749529,,,3.20774,0.912253,0.995737,116.83999633789062,3.25457,-1.01709,1.35382,3.25457,1.01709,3.1949,514.9000000000001,7.572058823529413,486,7.147058823529412,,,,,,,,,,,,,,,,,,,"Abner Uribe","25327",682842
