Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",154.509,667.283,604.868,176.534,105.283,37.5563,5.56816,28.1265,101.315,92.0024,49.1421,5.94085,113.307,6.73256,5.50076,1.03939,6.87779,34.4876,9.3719,0.291855,0.0736451,0.169804,0.433707,0.348834,0.511857,0.364655,0.860691,0.220002,6.75581,0.316477,1.43531,2.03488,106.8,27.9555,135.207,3.47018,4.773,31.236949682235718,11.926186084747314,6.72673,3.259999990463257,2.78603,-0.0597904,0.725988,2.78603,0.0597904,4.03202,1001.2,6.459354838,1001.2,6.459354838,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Gunnar Henderson","BAL",153.132,658.783,580.135,156.996,94.3412,32.621,3.91709,26.1165,95.1205,84.2728,67.3324,3.5229,138.8,5.89248,4.90071,0.52238,10.2142,23.9328,5.33751,0.27062,0.102207,0.210691,0.485105,0.349741,0.475407,0.35416,0.825149,0.204788,6.00411,0.311529,0.739464,1.5178,99.826,21.9858,129.956,2.25727,-0.308414,25.51655626296997,6.7810476422309875,5.62431,14.680000305175781,2.07235,0.748709,0.367897,2.07235,-0.748709,4.50947,912.7,5.965359477,912.7,5.965359477,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Francisco Lindor","NYM",154.635,674.105,597.776,154.608,95.4196,30.155,1.40561,27.628,98.8768,81.6014,59.4181,1.13658,124.397,11.0962,4.49083,1.32401,9.44132,25.4903,6.09189,0.258639,0.0881436,0.184536,0.477648,0.334614,0.452441,0.34063,0.787055,0.193802,5.53517,0.282026,-0.720547,1.51539,94.7427,15.092,118.703,0.794842,2.39033,15.696154057979584,9.062363862991333,4.86733,16.770000457763672,3.0873,1.12592,0.658554,3.0873,-1.12592,4.12193,866.6,5.590967741,866.6,5.590967741,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Fernando Tatis Jr.","SDP",145.21,645.985,564.696,152.482,92.9855,28.0681,2.52596,28.9028,98.0541,79.7735,69.9289,3.40602,127.996,6.38587,3.576,1.39784,11.6039,25.8352,6.00726,0.270026,0.108252,0.198141,0.546338,0.354952,0.482226,0.359791,0.837177,0.2122,5.87785,0.300407,0.485449,1.61178,100.84,24.5121,131.866,2.09723,4.41074,26.42656707763672,-2.498666763305664,4.68497,14.100000381469727,4.32066,-0.806239,0.476617,4.32066,0.806239,4.36451,917.7,6.328965517,917.7,6.328965517,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Corey Seager","TEX",126.421,536.721,468.274,128.357,76.7379,24.0397,0.780877,26.7985,71.7507,78.0633,59.7695,9.67488,99.5695,4.43632,3.74983,0.491121,11.1377,2.53124,0.702436,0.274107,0.11136,0.185514,0.600279,0.359105,0.500463,0.363667,0.859569,0.226357,2.66215,0.293814,-0.991064,-0.648006,85.4726,22.0548,136.466,-1.63907,-0.542016,21.42864739894867,2.8721179366111755,4.3763,108.9000015258789,2.57214,-0.449186,0.861046,2.57214,0.449186,3.85194,772.8,6.133333333,772.8,6.133333333,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Trea Turner","PHI",143.9,625.489,575.501,162.539,111.447,29.1684,4.20007,17.7234,89.3978,69.8767,39.751,0.519002,112.681,5.39639,3.53827,1.30192,11.4955,27.6367,5.23099,0.282431,0.0635519,0.180149,0.352774,0.332731,0.4401,0.334551,0.772831,0.157669,6.54698,0.322792,1.44689,2.35479,84.8229,10.9165,113.153,3.80168,-0.0967848,13.55242657661438,6.565249241888523,4.18743,26.84000015258789,2.19354,0.784641,1.04467,2.19354,-0.784641,3.6071,787.1,5.465972222,787.1,5.465972222,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
"Elly De La Cruz","CIN",149.491,641.049,570.58,147.771,89.1518,30.4206,5.51988,22.6792,90.3161,77.7579,61.8323,5.64445,170.645,3.75509,3.88185,0.999766,9.83646,40.7816,10.2698,0.258985,0.0964549,0.266196,0.362345,0.333347,0.450891,0.336174,0.784238,0.191906,7.22084,0.328207,1.30085,2.96638,87.7775,12.0326,110.995,4.26723,-0.412452,12.620887279510498,6.027813494205475,4.0901,10.579999923706055,2.13178,-0.168047,1.28643,2.13178,0.168047,3.28476,843.1,5.658389261,843.1,5.658389261,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Zach Neto","LAA",150.296,638.326,571.496,143.405,85.3428,30.0121,1.25197,26.7976,86.4112,75.3968,44.4284,3.40402,156.255,15.6969,3.72043,2.98386,8.83845,27.7607,8.14496,0.250928,0.0696014,0.244789,0.284333,0.320347,0.448496,0.330992,0.768843,0.197567,5.6371,0.297342,0.576405,1.27878,84.7191,9.29598,111.374,1.85518,0.154685,10.412055492401123,7.112836092710495,4.04083,32.41999816894531,1.48706,-0.961387,0.777726,1.48706,0.961387,3.96303,787.1,5.247333333,787.1,5.247333333,,,,,,,,,,,,,,,,,,,"Zach Neto","31347",687263
"Geraldo Perdomo","ARI",151.991,647.451,551.422,145.166,101.039,27.8349,3.81156,12.4803,87.7078,63.5278,75.1066,0.989001,87.4371,7.51519,5.24387,8.1629,11.3494,20.5208,5.29954,0.263257,0.116004,0.135048,0.858978,0.356314,0.395458,0.332369,0.751773,0.132202,5.81446,0.2905,0.222676,0.727979,86.654,10.1527,112.284,0.950655,-0.155936,10.377212345600128,6.880664184689522,3.96959,85.7699966430664,3.09545,0.25583,0.949658,3.09545,-0.25583,3.73379,752.7,4.951973684,752.7,4.951973684,,,,,,,,,,,,,,,,,,,"Geraldo Perdomo","22799",672695
"Jeremy Peña","HOU",147.172,634.29,579.64,158.453,109.516,29.3851,1.97842,17.5738,83.0761,68.6322,37.0768,1.28825,112.838,11.3771,3.89924,2.29655,13.3305,18.5842,4.53281,0.273365,0.0584541,0.177897,0.328584,0.327388,0.421842,0.325556,0.74923,0.148477,5.40826,0.310905,0.389028,0.826213,81.3839,6.43763,109.382,1.21524,-0.0550845,8.229315400123596,6.758447326719761,3.76704,95.73999786376953,1.51464,2.71884,0.691415,1.51464,-2.71884,4.07811,735.6,5.004081632,735.6,5.004081632,,,,,,,,,,,,,,,,,,,"Jeremy Pena","21636",665161
"Willy Adames","SFG",154.355,656.627,575.508,132.848,77.7719,26.7712,1.61599,26.6891,84.3471,82.4852,71.0861,1.80406,167.71,4.00244,5.19689,0.833727,8.64331,11.4264,3.52045,0.230837,0.10826,0.255411,0.423864,0.317077,0.422095,0.320919,0.739171,0.191258,4.54307,0.274806,-0.0467281,-0.153637,81.7778,4.19231,105.163,-0.200365,-1.10455,3.806213393807411,6.041496157646179,3.28124,132.1300048828125,2.90953,-0.00757549,1.11603,2.90953,0.00757549,3.51196,747,4.85064935,747,4.85064935,,,,,,,,,,,,,,,,,,,"Willy Adames","15986",642715
"Jacob Wilson","ATH",137.816,571.14,526.572,154.381,112.863,29.5146,1.43472,10.5684,70.0611,61.4047,31.6581,0.730681,51.4725,6.71354,3.66386,2.53306,17.4059,5.6036,1.80874,0.293181,0.0554296,0.0901224,0.615048,0.338991,0.414891,0.328559,0.753882,0.12171,3.80781,0.307164,0.0520631,-0.61357,74.6742,7.18954,110.411,-0.561507,-0.886234,6.4664857387542725,5.2985565066337585,3.1814,181.2899932861328,4.29466,-0.499413,1.45516,4.29466,0.499413,3.05979,654.3,4.741304347,654.3,4.741304347,,,,,,,,,,,,,,,,,,,"Jacob Wilson","33266",805779
"Bo Bichette","NYM",139.938,607.883,560.632,159.313,110.084,29.9608,1.95471,17.3127,74.468,75.8326,38.6045,1.17676,99.3361,3.95748,4.13723,0.551475,15.1336,5.3936,1.9972,0.284166,0.0635065,0.163413,0.388625,0.332396,0.437223,0.332847,0.769619,0.153057,3.81056,0.316879,0.42245,-0.739123,81.5944,9.76834,113.357,-0.316673,0.726975,9.27972748875618,1.0026596784591675,3.15693,111.73999786376953,3.51816,-1.26949,1.06404,3.51816,1.26949,3.58128,720.5,5.146428571,720.5,5.146428571,,,,,,,,,,,,,,,,,,,"Bo Bichette","19612",666182
"Dansby Swanson","CHC",152.868,631.274,569.82,137.484,88.6082,24.7149,2.33451,21.826,76.6123,75.2561,52.4994,1.03911,159.359,3.25093,4.47275,1.2311,9.68261,15.7508,3.86048,0.241275,0.0831642,0.252441,0.329441,0.3067,0.407752,0.310378,0.714452,0.166477,5.24714,0.294214,0.542696,0.623075,73.2178,-1.37214,97.9216,1.16577,1.43352,-0.3849261999130249,8.510728001594543,3.01728,146.7100067138672,3.80093,-0.261695,0.58562,3.80093,0.261695,4.21917,672.1,4.392810457,672.1,4.392810457,,,,,,,,,,,,,,,,,,,"Dansby Swanson","18314",621020
"Carlos Correa","HOU",127.646,541.459,485.647,128.084,87.2102,24.4538,0.747755,15.6718,64.8488,64.1645,48.5994,1.74079,105.793,3.1222,3.60509,0.485964,13.6377,0.549055,0.137213,0.263738,0.0897563,0.195385,0.459381,0.332373,0.41398,0.325167,0.746353,0.150242,2.11266,0.305644,-0.0530732,-0.852071,69.3022,5.3246,109.115,-0.905144,1.36758,4.9115309715271,3.4346961975097656,2.76064,270.1000061035156,1.77503,0.24634,0.655704,1.77503,-0.24634,4.12573,614.4,4.8,614.4,4.8,,,,,,,,,,,,,,,,,,,"Carlos Correa","14162",621043
"Masyn Winn","STL",142.788,598.845,546.321,137.281,93.9693,28.1334,2.41158,12.7667,69.3302,60.1623,40.2175,0.150625,107.557,5.06991,4.58547,2.65051,9.08192,15.018,3.67514,0.251282,0.0671585,0.179607,0.373918,0.306223,0.381712,0.300883,0.687935,0.13043,5.11114,0.289176,0.306842,0.580225,64.8399,-5.91816,91.3991,0.887067,4.95807,-5.200480043888092,11.56863260269165,2.72516,260.94000244140625,3.45988,0.032611,0.516781,3.45988,-0.032611,4.31096,588.3,4.113986013,588.3,4.113986013,,,,,,,,,,,,,,,,,,,"Masyn Winn","27479",691026
"Nico Hoerner","CHC",144.712,603.737,550.899,153.426,117.034,26.7912,3.0773,6.52313,72.6481,55.7878,38.3976,0.974268,56.6619,8.76203,4.35829,1.31969,10.6597,26.2157,6.20671,0.2785,0.0635999,0.093852,0.677661,0.332967,0.373827,0.311226,0.706794,0.0953264,5.94023,0.298538,0.69349,1.62387,70.4394,-0.896733,98.504,2.31736,2.57198,1.2498540878295898,4.899224281311035,2.71968,101.02999877929688,3.27786,-1.33628,1.52891,3.27786,1.33628,2.96145,640.6,4.417931034,640.6,4.417931034,,,,,,,,,,,,,,,,,,,"Nico Hoerner","21479",663538
"CJ Abrams","WSN",142.022,607.587,550.228,136.674,86.5619,28.9221,3.79833,17.392,79.0882,63.8788,39.1405,1.58372,117.259,12.2509,3.8547,2.11287,7.48956,29.5486,7.28405,0.248396,0.0644196,0.192991,0.333796,0.310609,0.409592,0.312743,0.720201,0.161196,6.70191,0.284391,0.62806,2.02651,71.6369,-0.154098,99.844,2.65457,-3.14739,2.54226778447628,2.94064998626709,2.62917,56.41999816894531,2.1576,0.478542,1.06647,2.1576,-0.478542,3.57804,674.3,4.748591549,674.3,4.748591549,,,,,,,,,,,,,,,,,,,"CJ Abrams","25768",682928
