Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Cal Raleigh","SEA",159,637,554,134,72,25,1,37,82,95,73,3,167,6,4,0,,9,3,0.2425,0.115285,0.262289,0.439534,0.335025,0.488543,0.352001,0.823569,0.246044,3.45678,0.275546,-1.68041,-0.429225,95.4687,20.155,133.556,-2.10964,0.876924,23.099125862121582,8.026924550533295,6.42489,19.520000457763672,,,,,,,868.1,5.459748427,868.1,5.459748427,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Alejandro Kirk","TOR",123,488,431,119,82,21,0,15,59,57,49,2,57,4,3,1,,1,0,0.277186,0.100382,0.116419,0.862248,0.353418,0.435352,0.343325,0.78877,0.158165,2.38084,0.287504,-1.79917,-0.763297,69.5969,11.9832,121.651,-2.56247,-1.52589,9.88015866279602,7.374109864234924,4.66274,159.19000244140625,,,,,,,598.2,4.863414634,598.2,4.863414634,,,,,,,,,,,,,,,,,,,"Alejandro Kirk","22581",672386
"William Contreras","MIL",152,610,532,142,92,29,1,20,76,74,69,2,119,4,4,1,,7,2,0.267265,0.113366,0.195832,0.578891,0.353375,0.43797,0.344227,0.791346,0.170705,3.32695,0.307764,-0.664663,-0.639654,87.5143,15.4381,122.146,-1.30432,-1.34219,14.706791758537292,6.207810640335083,4.2572,53.22999954223633,,,,,,,767.7,5.050657894,767.7,5.050657894,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Patrick Bailey","SFG",133,525,473,106,73,22,1,11,54,50,42,0,136,3,4,3,,2,1,0.224807,0.0804693,0.258233,0.311615,0.290402,0.343076,0.280344,0.633478,0.118269,3.15535,0.289731,-0.497163,-0.537726,48.0712,-13.9379,80.0229,-1.03489,0.560275,-13.460553646087646,10.810274541378021,3.90491,457.1300048828125,,,,,,,429.5,3.229323308,429.5,3.229323308,,,,,,,,,,,,,,,,,,,"Patrick Bailey","27478",672275
"Adley Rutschman","BAL",143,573,499,128,83,27,1,17,70,67,66,2,91,3,4,1,,1,1,0.257018,0.114732,0.157991,0.726193,0.344991,0.419972,0.334374,0.764964,0.162954,2.57454,0.280497,-0.48526,-1.08201,77.6766,9.925,116.326,-1.56727,-0.242794,9.466148853302002,5.657205983996391,3.75292,161.5800018310547,,,,,,,667.7,4.669230769,667.7,4.669230769,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"Austin Wells","NYY",122,481,428,100,59,21,1,19,56,60,44,1,113,5,3,1,,6,2,0.233394,0.0918305,0.23564,0.389707,0.310622,0.41807,0.316485,0.728692,0.184677,3.84284,0.271762,-0.194045,-0.200954,58.1974,1.33989,103.686,-0.394998,-0.269996,1.6957826018333435,8.50500401854515,3.74617,220.8699951171875,,,,,,,530,4.344262295,530,4.344262295,,,,,,,,,,,,,,,,,,,"Austin Wells","27562",669224
"Gabriel Moreno","ARI",113,450,399,110,75,23,1,11,55,51,42,1,76,4,3,2,,4,2,0.275212,0.0942308,0.169198,0.556925,0.34808,0.420883,0.335661,0.768963,0.145671,3.46214,0.313171,0.40483,-0.735316,61.4029,8.25561,114.54,-0.330486,2.2573,7.420653164386749,10.107296705245972,3.62342,173.4199981689453,,,,,,,532.8,4.715044247,532.8,4.715044247,,,,,,,,,,,,,,,,,,,"Gabriel Moreno","22664",672515
"Will Smith","LAD",126,500,431,111,69,21,1,20,65,63,56,2,96,9,4,0,,3,2,0.25625,0.112493,0.192659,0.583899,0.351529,0.449612,0.347934,0.801141,0.193362,3.01277,0.284022,-1.08804,-0.99384,73.2966,14.1705,124.44,-2.08188,1.43908,12.413067102432251,10.589080452919006,3.37743,113.12999725341797,,,,,,,640.3,5.081746031,640.3,5.081746031,,,,,,,,,,,,,,,,,,,"Will Smith","19197",669257
"Shea Langeliers","ATH",131,524,476,123,71,25,2,26,67,76,41,2,117,4,4,0,,6,2,0.259456,0.0777808,0.223389,0.348185,0.320311,0.480407,0.34191,0.800718,0.220951,4.05261,0.29046,-0.0660239,-0.222791,74.1621,12.2711,117.253,-0.288815,-1.90984,10.362512707710266,5.51515531539917,2.85297,57.31999969482422,,,,,,,681.9,5.205343511,681.9,5.205343511,,,,,,,,,,,,,,,,,,,"Shea Langeliers","25816",669127
"Dillon Dingler","DET",110,435,394,96,62,19,2,14,50,50,29,1,108,8,3,1,,1,1,0.24291,0.0664391,0.249307,0.266495,0.305013,0.402544,0.307989,0.707557,0.159634,3.18649,0.298148,0.0689503,-0.66642,49.632,-1.79023,96.4548,-0.59747,1.63652,-2.4159229397773743,10.136515378952026,2.78905,218.47999572753906,,,,,,,451.8,4.107272727,451.8,4.107272727,,,,,,,,,,,,,,,,,,,"Dillon Dingler","27464",693307
