Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Shohei Ohtani","LAD",157,679,582,168,84,29,6,50,116,120,88,6,164,5,5,0,,25,7,0.288615,0.129253,0.241945,0.534223,0.383518,0.614842,0.416603,0.99836,0.326227,6.47552,0.317245,0.0862368,0.876483,137.313,57.084,171.48,0.962719,0,58.48699605464935,-16.975000381469727,6.55849,1.100000023841858,,,,,,,1254,7.987261146,1254,7.987261146,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Yordan Alvarez","HOU",131,567,488,147,84,29,1,33,86,92,68,4,96,8,4,0,,5,2,0.301473,0.119508,0.169093,0.706758,0.392271,0.569197,0.406613,0.961468,0.267724,3.32753,0.314254,-0.936706,-0.717512,110.065,43.0694,165.22,-1.65422,-0.214653,41.930444955825806,-11.98965311050415,5.05997,46.189998626708984,,,,,,,967.1,7.382442748,967.1,7.382442748,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Adley Rutschman","BAL",143,573,499,128,83,27,1,17,70,67,66,2,91,3,4,1,,1,1,0.257018,0.114732,0.157991,0.726193,0.344991,0.419972,0.334374,0.764964,0.162954,2.57454,0.280497,-0.48526,-1.08201,77.6766,9.925,116.326,-1.56727,-0.242794,9.466148853302002,5.657205983996391,3.75292,161.5800018310547,,,,,,,667.7,4.669230769,667.7,4.669230769,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"Kyle Schwarber","PHI",159,686,577,138,71,22,1,43,94,104,97,3,192,7,5,0,,6,4,0.238876,0.141477,0.28007,0.505147,0.352604,0.506074,0.366925,0.858678,0.267198,3.014,0.272943,-1.72667,-1.48268,111.06,30.0035,135.33,-3.20935,-0.00375844,25.515599727630615,-16.953757292823866,3.2111,25.190000534057617,,,,,,,981.7,6.174213836,981.7,6.174213836,,,,,,,,,,,,,,,,,,,"Kyle Schwarber","16478",656941
"Brent Rooker","ATH",154,665,589,155,88,31,2,34,88,98,63,3,166,8,5,0,,7,2,0.262663,0.0948489,0.250038,0.379338,0.340096,0.492682,0.356088,0.832778,0.230018,3.96454,0.30765,-0.439071,-0.405235,101.809,23.2342,127.02,-0.844307,-0.0352063,20.333540320396423,-15.560205910354853,2.83012,55.15999984741211,,,,,,,920.6,5.977922077,920.6,5.977922077,,,,,,,,,,,,,,,,,,,"Brent Rooker","19627",667670
"Seiya Suzuki","CHC",146,630,557,143,86,27,4,27,85,83,65,3,158,4,4,0,,8,4,0.257502,0.102514,0.250592,0.409089,0.336507,0.464779,0.344368,0.801286,0.207278,4.58821,0.309064,-0.484189,-0.957997,90.4557,16.0164,123.28,-1.44219,-2.56346,15.940765619277954,-10.113464832305908,2.7407,103.3499984741211,,,,,,,809.7,5.54589041,809.7,5.54589041,,,,,,,,,,,,,,,,,,,"Seiya Suzuki","30116",673548
"Ben Rice","NYY",130,556,485,120,69,23,1,27,72,77,58,2,116,9,4,0,,5,2,0.248243,0.104479,0.208405,0.501328,0.336773,0.468646,0.346629,0.805419,0.220403,3.55572,0.269378,-0.320619,-0.534418,80.8224,15.1503,124.452,-0.855038,0.252591,15.162591993808746,-8.497408777475357,2.63788,48.900001525878906,,,,,,,718.1,5.523846153,718.1,5.523846153,,,,,,,,,,,,,,,,,,,"Ben Rice","29576",700250
"Yainer Diaz","HOU",128,509,477,131,86,24,1,19,59,66,24,1,86,3,4,2,,2,1,0.27388,0.0480364,0.169829,0.282852,0.310779,0.449031,0.325669,0.75981,0.175151,2.8805,0.297797,0.0156314,-0.606281,65.3806,5.21469,109.46,-0.59065,-1.14935,5.086804032325745,6.925651907920837,2.63252,115.16000366210938,,,,,,,592.5,4.62890625,592.5,4.62890625,,,,,,,,,,,,,,,,,,,"Yainer Diaz","23003",673237
"Munetaka Murakami","CHW",138,595,494,109,59,18,1,31,76,78,90,2,203,7,4,0,,12,4,0.220654,0.15148,0.340914,0.444334,0.345737,0.44582,0.344464,0.791557,0.225166,3.81953,0.296276,-0.144674,0.00248048,85.477,15.1732,121.575,-0.142194,0,14.987897872924805,-10.574999809265137,2.54675,999,,,,,,,768.3,5.567391304,768.3,5.567391304,,,,,,,,,,,,,,,,,,,"Munetaka Murakami","sa3063258",808959
"Iván Herrera","STL",139,592,515,136,92,25,1,18,73,67,62,2,117,10,4,1,,10,3,0.263769,0.104854,0.196897,0.532533,0.351828,0.42362,0.33926,0.775447,0.159851,4.0725,0.305653,0.368741,-0.249866,82.6005,12.6038,120.137,0.118875,-0.190083,14.2574912160635,-10.440082654356956,2.40737,174.8699951171875,,,,,,,720.6,5.184172661,720.6,5.184172661,,,,,,,,,,,,,,,,,,,"Ivan Herrera","20599",671056
