Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",156,672,550,167,85,27,1,54,111,125,112,7,163,6,5,0,,11,3,0.30431,0.166018,0.243157,0.682759,0.423652,0.651177,0.446788,1.07483,0.346867,3.77525,0.336378,-1.37809,-0.110937,152.367,72.9649,193.448,-1.48903,-0.342979,72.52449083328247,-7.9429789781570435,8.9739,2.0299999713897705,,,,,,,1343.3,8.610897435,1343.3,8.610897435,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Juan Soto","NYM",159,686,557,158,91,27,2,39,106,102,121,6,119,4,5,0,,22,8,0.284685,0.176264,0.173872,1.01376,0.41248,0.547678,0.408472,0.960158,0.262993,4.56096,0.296904,-0.72028,-0.125942,134.2,53.1438,168.702,-0.846223,-6.94434,55.01233595609665,-14.494344234466553,6.48062,4.480000019073486,,,,,,,1178.5,7.411949685,1178.5,7.411949685,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Julio Rodríguez","SEA",159,686,621,175,112,32,3,29,91,93,51,4,148,10,5,0,,29,7,0.282528,0.0745203,0.215855,0.345232,0.343995,0.484183,0.354488,0.828178,0.201654,5.71093,0.325751,0.640145,1.83443,104.133,23.0766,135.269,2.47458,5.80509,30.99037790298462,8.055087089538574,6.41054,10.8100004196167,,,,,,,960,6.037735849,960,6.037735849,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Ronald Acuña Jr.","ATL",151,651,553,161,99,28,2,32,95,93,85,4,133,8,5,0,,25,6,0.290712,0.130408,0.204615,0.637334,0.390049,0.52122,0.389801,0.911269,0.230508,5.1184,0.3281,1.37275,1.42196,117.485,40.5641,152.141,2.79471,-2.77731,43.02476954460144,-10.652307510375977,5.52809,7.550000190734863,,,,,,,1051.7,6.964900662,1051.7,6.964900662,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Yordan Alvarez","HOU",131,567,488,147,84,29,1,33,86,92,68,4,96,8,4,0,,5,2,0.301473,0.119508,0.169093,0.706758,0.392271,0.569197,0.406613,0.961468,0.267724,3.32753,0.314254,-0.936706,-0.717512,110.065,43.0694,165.22,-1.65422,-0.214653,41.930444955825806,-11.98965311050415,5.05997,46.189998626708984,,,,,,,967.1,7.382442748,967.1,7.382442748,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Fernando Tatis Jr.","SDP",156,672,590,161,98,31,1,31,89,94,71,4,133,6,5,0,,26,6,0.272696,0.105516,0.197797,0.533454,0.354243,0.48599,0.36046,0.840233,0.213294,4.93145,0.301838,0.66621,1.63295,105.266,25.8639,136.25,2.29916,3.25337,31.170947074890137,-4.146630764007568,5.05239,14.100000381469727,,,,,,,962.2,6.167948717,962.2,6.167948717,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Corbin Carroll","ARI",154,665,581,153,85,31,12,25,114,84,70,3,139,10,5,0,,36,8,0.26322,0.104857,0.20865,0.502552,0.349654,0.485615,0.357355,0.835269,0.222394,8.42137,0.303319,2.83124,3.05894,102.493,23.9181,129.4,5.89019,2.57626,29.062480926513672,-4.248737335205078,4.80239,8.289999961853027,,,,,,,955.1,6.201948051,955.1,6.201948051,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Pete Crow-Armstrong","CHC",149,644,592,151,90,30,6,25,88,83,37,2,155,9,5,1,,37,10,0.255011,0.0569907,0.240556,0.236913,0.306493,0.451719,0.324739,0.758212,0.196708,7.40881,0.302894,1.1393,2.39132,82.2026,6.10908,109.834,3.53062,10.8584,11.03665018081665,13.15841555595398,4.66761,34.290000915527344,,,,,,,790.1,5.302684563,790.1,5.302684563,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Kyle Tucker","LAD",151,651,560,153,93,31,3,27,92,88,83,4,98,4,5,0,,24,4,0.273906,0.127868,0.150437,0.849975,0.368818,0.484831,0.367156,0.853649,0.210925,5.58335,0.286883,0.0316767,2.10038,105.516,28.5949,137.608,2.13206,-2.02957,31.149075269699097,-9.004574060440063,4.48164,18.15999984741211,,,,,,,953,6.311258278,953,6.311258278,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Mookie Betts","LAD",151,651,574,150,96,30,2,22,83,80,67,2,85,6,5,0,,11,3,0.261543,0.103233,0.130894,0.788677,0.342248,0.437428,0.338515,0.779676,0.175885,4.40805,0.271469,-0.285021,-0.0559728,90.3777,13.457,117.988,-0.340993,-1.89008,13.538132220506668,5.0849220752716064,4.12135,63.130001068115234,,,,,,,802.7,5.315894039,802.7,5.315894039,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
