Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Mason Miller","SDP",3,3,0,2.16223,66,0,32,2,,66,263,39,17,16,6,27,,3,100,13.6162,3.66009,3.72019,0.779239,0.379667,0.102056,0.2776114493608475,0.16884,1.00332,0.263697,0.839942,,,2.58813,2.01704,2.7214,27.31999969482422,,,,,,,591.2000000000002,8.95757575757576,530,8.030303030303031,,,,,,,,,,,,,,,,,,,"Mason Miller","31757",695243
"Jhoan Duran","PHI",4,3,0,2.57528,70,0,29,3,,70,285,54,22,20,5,23,,3,84,10.7821,3.0043,3.5889,0.606114,0.29425,0.0819888,0.21226080507040024,0.208161,1.10295,0.288856,0.783631,,,2.74408,2.00632,2.45101,34.15999984741211,,,,,,,563.1,8.044285714285715,532,7.6,,,,,,,,,,,,,,,,,,,"Jhoan Duran","21029",661395
"Cade Smith","CLE",4,3,0,2.77435,70,0,30,3,,70,285,54,24,22,6,22,,3,88,11.3194,2.86431,3.95186,0.835646,0.308911,0.0781684,0.2307424321770668,0.207365,1.08779,0.286676,0.784194,,,2.90804,1.71935,1.85331,33.970001220703125,,,,,,,566.8000000000001,8.097142857142858,535,7.642857142857143,,,,,,,,,,,,,,,,,,,"Cade Smith","27867",671922
"Griffin Jax","TBR",4,3,0,2.67655,67,0,12,10,,67,274,51,22,20,6,22,,3,85,11.3716,2.90858,3.90966,0.7726,0.30896,0.0790248,0.2299354150891304,0.206138,1.09081,0.287125,0.789171,,,2.82104,1.70744,1.87067,172.80999755859375,,,,,,,484.4,7.2298507462686565,452,6.746268656716418,,,,,,,,,,,,,,,,,,,"Griffin Jax","20253",643377
"Edwin Díaz","LAD",3,3,0,2.76138,66,0,36,3,,66,268,47,22,20,7,25,,3,89,12.0804,3.38412,3.56972,0.916552,0.330557,0.0926002,0.2379569262266159,0.194361,1.0836,0.27578,0.795395,,,3.03452,1.67632,2.05492,27.739999771118164,,,,,,,566.1,8.577272727272728,525,7.954545454545454,,,,,,,,,,,,,,,,,,,"Edwin Diaz","14710",621242
"Grant Taylor","CHW",4,3,3,3.21919,72,2,11,9,,77,321,62,30,28,7,31,,4,91,10.6464,3.61002,2.94912,0.821201,0.284914,0.0966096,0.1883041188120842,0.218241,1.20975,0.295092,0.756998,,,3.29537,1.53869,1.5386,295.7699890136719,,,,,,,490.50000000000006,6.370129870129871,462,6,,,,,,,,,,,,,,,,,,,"Grant Taylor","33927",691799
"Abner Uribe","MIL",4,4,0,2.75456,72,0,24,4,,72,302,52,24,22,6,33,,3,90,11.2157,4.17182,2.68844,0.703483,0.297105,0.110512,0.18659277260303497,0.197008,1.18912,0.274486,0.79174,,,3.19325,1.41601,2.17646,116.83999633789062,,,,,,,531.8000000000002,7.386111111111114,490,6.805555555555555,,,,,,,,,,,,,,,,,,,"Abner Uribe","25327",682842
"Aroldis Chapman","BOS",3,3,0,2.96165,62,0,31,2,,62,256,45,22,20,6,28,,3,84,12.2032,4.04654,3.01571,0.825099,0.328384,0.108891,0.21949303150177002,0.200284,1.17714,0.291022,0.77968,,,3.10481,1.40496,1.74211,46.84000015258789,,,,,,,506,8.161290322580646,470,7.580645161290323,,,,,,,,,,,,,,,,,,,"Aroldis Chapman","10233",547973
"Andrés Muñoz","SEA",3,3,0,2.50867,64,0,28,3,,64,265,45,19,18,5,27,,3,83,11.7179,3.85899,3.03652,0.68471,0.314442,0.103554,0.2108888402581215,0.190586,1.12737,0.272146,0.80611,,,2.94556,1.32852,1.95269,33.31999969482422,,,,,,,523.1,8.1734375,483,7.546875,,,,,,,,,,,,,,,,,,,"Andres Munoz","20373",662253
"Devin Williams","NYM",3,3,0,2.85915,64,0,33,3,,64,266,47,22,20,6,27,,3,83,11.7416,3.83634,3.06063,0.85907,0.313895,0.102559,0.21133633702993393,0.197474,1.15367,0.276749,0.790846,,,3.18471,1.25727,1.71533,45.2599983215332,,,,,,,530.5999999999999,8.290624999999999,495,7.734375,,,,,,,,,,,,,,,,,,,"Devin Williams","15816",642207
