Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",157,679,615,186,109,38,7,32,108,103,52,4,109,7,5,0,,35,11,0.302308,0.0763275,0.160536,0.475455,0.360557,0.543732,0.382873,0.904289,0.241425,6.94817,0.32129,2.12478,1.65443,118.718,38.4892,145.274,3.77921,6.21914,40.01084589958191,13.49413537979126,7.86528,3.259999990463257,,,,,,,1090.2,6.943949044,1090.2,6.943949044,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Gunnar Henderson","BAL",156,672,590,166,97,34,6,28,104,92,71,3,143,6,5,0,,24,5,0.281191,0.105481,0.212674,0.495972,0.361501,0.503591,0.369604,0.865092,0.2224,6.58639,0.325266,1.60674,1.5792,110.255,30.8533,140.595,3.18594,-1.6756,35.33828139305115,5.524398446083069,6.54716,14.680000305175781,,,,,,,998.2,6.398717948,998.2,6.398717948,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Elly De La Cruz","CIN",156,672,601,160,93,32,8,27,101,89,62,3,184,4,5,1,,41,11,0.265788,0.0927681,0.273186,0.339579,0.336011,0.480259,0.348961,0.81627,0.214471,7.79469,0.335757,2.16878,2.82335,98.9923,19.5904,119.755,4.99213,1.53774,20.725924491882324,8.23774254322052,5.25081,10.579999923706055,,,,,,,932.3,5.976282051,932.3,5.976282051,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Fernando Tatis Jr.","SDP",156,672,590,161,98,31,1,31,89,94,71,4,133,6,5,0,,26,6,0.272696,0.105516,0.197797,0.533454,0.354243,0.48599,0.36046,0.840233,0.213294,4.93145,0.301838,0.66621,1.63295,105.266,25.8639,136.25,2.29916,3.25337,31.170947074890137,-4.146630764007568,5.05239,14.100000381469727,,,,,,,962.2,6.167948717,962.2,6.167948717,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Francisco Lindor","NYM",159,686,610,155,97,30,1,27,83,87,60,2,129,11,5,0,,26,6,0.253533,0.0879776,0.188418,0.466927,0.32964,0.436637,0.33211,0.766278,0.183105,5.0261,0.279145,-0.593103,1.63298,91.6693,10.6131,116.392,1.03987,1.6122,14.36773693561554,8.46219515800476,4.67091,16.770000457763672,,,,,,,850.1,5.34654088,850.1,5.34654088,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Corey Seager","TEX",130,560,492,136,81,25,0,29,74,83,59,3,102,5,4,0,,3,1,0.275877,0.105775,0.18196,0.581308,0.356996,0.505264,0.368478,0.862259,0.229387,2.73464,0.292695,-1.07758,-0.703293,91.3672,25.1989,139.78,-1.78088,-1.88765,24.474799752235413,1.612354040145874,4.64104,108.9000015258789,,,,,,,809.6,6.227692307,809.6,6.227692307,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Bo Bichette","NYM",152,658,602,174,116,36,1,21,81,84,45,2,107,4,5,2,,7,3,0.28903,0.0677121,0.162203,0.417453,0.339763,0.45701,0.343011,0.796773,0.16798,3.63538,0.319605,0.339004,-0.799816,93.7513,16.0035,123.86,-0.460812,3.66635,18.146705269813538,3.9663523137569427,4.50225,111.73999786376953,,,,,,,831.8,5.472368421,831.8,5.472368421,,,,,,,,,,,,,,,,,,,"Bo Bichette","19612",666182
"Zach Neto","LAA",154,665,594,152,91,32,1,28,82,90,48,2,159,18,5,1,,30,10,0.255858,0.0723349,0.238401,0.303418,0.32764,0.45482,0.337528,0.78246,0.198962,5.24963,0.300818,0.594999,1.05138,91.7885,13.2136,115.876,1.64638,-1.87679,14.089976906776428,5.248214960098267,4.32029,32.41999816894531,,,,,,,845.9,5.492857142,845.9,5.492857142,,,,,,,,,,,,,,,,,,,"Zach Neto","31347",687263
"Geraldo Perdomo","ARI",159,686,591,152,105,31,4,13,88,66,80,2,94,8,5,2,,21,6,0.257622,0.117157,0.137743,0.85055,0.351853,0.386816,0.327094,0.738669,0.129194,5.36389,0.285551,0.447014,0.456428,88.8755,7.81931,108.671,0.903441,-0.639099,7.953382432460785,6.7109010219573975,3.83546,85.7699966430664,,,,,,,782.2,4.919496855,782.2,4.919496855,,,,,,,,,,,,,,,,,,,"Geraldo Perdomo","22799",672695
"Jeremy Peña","HOU",151,651,591,160,109,31,2,18,79,75,42,2,116,12,5,2,,19,5,0.27127,0.0638372,0.177933,0.35877,0.329102,0.424058,0.326911,0.75316,0.152788,5.0961,0.30772,0.861071,0.517289,84.2441,7.32347,110.316,1.37836,-1.73164,9.29345428943634,5.2433600425720215,3.77975,95.73999786376953,,,,,,,759.6,5.030463576,759.6,5.030463576,,,,,,,,,,,,,,,,,,,"Jeremy Pena","21636",665161
