Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Cal Raleigh","SEA",150.173,624.759,539.15,123.834,61.1404,22.5597,0.298384,39.8355,86.3502,101.401,75.5272,8.65503,168.558,5.67323,3.89846,0.509942,5.72797,8.02567,2.29572,0.229684,0.12089,0.269797,0.448077,0.32845,0.494291,0.347902,0.82274,0.264607,3.34448,0.251,-1.38268,-0.217552,91.4959,17.6758,130.732,-1.60023,3.25274,21.029176592826843,10.016010761260986,5.37636,18.190000534057617,2.48407,1.14222,1.77085,2.48407,-1.14222,2.63887,853.7,5.691333333,853.7,5.691333333,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"William Contreras","MIL",143.965,599.924,522.992,139.175,91.7536,27.256,0.880411,19.2854,76.5129,76.4623,68.6928,3.25162,115.607,3.7904,4.08664,0.362086,13.8836,5.7502,2.03304,0.266114,0.114502,0.192703,0.59419,0.353022,0.432221,0.341706,0.785243,0.166107,3.26779,0.305697,-0.449567,-0.745297,84.841,13.9553,120.419,-1.19486,1.80098,13.324000239372253,8.938704133033752,4.31987,55.61000061035156,2.05351,-0.585576,0.579998,2.05351,0.585576,4.22667,742.8,5.158333333,742.8,5.158333333,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Will Smith","LAD",123.544,497.475,425.76,111.557,69.2238,21.1145,1.23132,19.9874,68.7445,68.287,57.7309,2.60648,97.0051,8.20397,5.59108,0.189618,7.01937,2.33981,1.07218,0.262018,0.116048,0.194995,0.595132,0.356921,0.458231,0.352216,0.815152,0.196212,3.37051,0.29129,-0.680414,-0.846181,74.5978,15.8172,126.662,-1.52659,1.81273,14.149884343147278,10.758819341659546,4.27108,97.12999725341797,2.91535,0.271202,0.541236,2.91535,-0.271202,4.27835,654.8,5.280645161,654.8,5.280645161,,,,,,,,,,,,,,,,,,,"Will Smith","19197",669257
"Shea Langeliers","ATH",128.197,525.258,477.825,121.13,65.9987,24.6866,1.25396,29.1905,69.331,76.0985,38.934,1.13833,119.037,3.76365,4.12697,0.608032,7.80045,5.48684,1.50585,0.253502,0.0741237,0.226625,0.327076,0.312261,0.493686,0.342794,0.805947,0.240184,3.80564,0.275494,-0.128996,-0.229368,74.7456,12.6823,120.189,-0.358364,-2.62278,12.175378322601318,4.631170272827148,3.53833,54.56999969482422,1.79881,0.479021,0.714852,1.79881,-0.479021,4.04686,683.3,5.33828125,683.3,5.33828125,,,,,,,,,,,,,,,,,,,"Shea Langeliers","25816",669127
"Alejandro Kirk","TOR",122.277,484.044,427.833,114.237,79.16,19.4995,0.246132,15.3316,52.2784,63.33,47.1829,1.74539,60.3705,3.59065,5.21701,0.220879,12.2209,0.927487,0.174256,0.267013,0.0974764,0.124721,0.781555,0.341056,0.421248,0.331694,0.762303,0.154234,1.76936,0.276777,-1.3791,-0.73212,64.5187,7.32518,113.639,-2.11122,1.95204,5.670029878616333,10.504777550697327,3.35941,159.22999572753906,2.211,0.504149,0.793651,2.211,-0.504149,3.9418,561.4,4.601639344,561.4,4.601639344,,,,,,,,,,,,,,,,,,,"Alejandro Kirk","22581",672386
"Adley Rutschman","BAL",137.674,559.523,491.908,123.609,80.2861,25.4307,1.05578,16.8361,64.4572,64.4539,60.1225,1.81522,89.1247,2.8969,4.35146,0.243665,9.85812,0.855019,0.305547,0.251284,0.107453,0.159287,0.674588,0.333694,0.409953,0.324807,0.743647,0.158669,2.35848,0.273566,-0.343521,-0.888195,71.4506,5.33868,109.736,-1.23172,1.17896,5.188565254211426,7.113200306892395,3.22894,150.6199951171875,2.59957,-1.30536,0.421457,2.59957,1.30536,4.43806,631.3,4.574637681,631.3,4.574637681,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"Gabriel Moreno","ARI",109.134,425.373,378.587,104.357,73.153,19.6562,1.13506,10.4125,51.2159,52.1866,40.0161,1.99305,73.5759,3.26175,3.28017,0.228617,9.27339,4.13878,1.6306,0.275648,0.094073,0.172968,0.543876,0.347258,0.416076,0.332789,0.763333,0.140427,3.50421,0.315378,0.24085,-0.595483,57.0764,6.81521,112.572,-0.354633,3.54883,5.983507394790649,11.090945959091187,3.19489,179.9600067138672,1.45307,0.900858,0.968129,1.45307,-0.900858,3.70916,492.1,4.514678899,492.1,4.514678899,,,,,,,,,,,,,,,,,,,"Gabriel Moreno","22664",672515
"Yainer Diaz","HOU",130.749,518.929,489.035,131.657,86.7085,23.779,1.40598,19.7635,57.7531,67.7614,22.1706,1.09584,89.5997,2.95671,4.1954,0.571622,11.5287,1.12991,0.440887,0.269218,0.0427238,0.172663,0.247441,0.302463,0.444832,0.319923,0.747296,0.175614,2.51737,0.29149,0.0756577,-0.685639,64.2089,2.89338,105.502,-0.609981,-0.764748,2.755001485347748,7.484955132007599,2.87505,110.3499984741211,1.9728,-0.0229108,0.824752,1.9728,0.0229108,3.90033,590.4,4.506870229,590.4,4.506870229,,,,,,,,,,,,,,,,,,,"Yainer Diaz","23003",673237
"J.T. Realmuto","PHI",120.947,474.092,432.223,109.185,71.7249,21.1273,2.45858,13.874,54.6974,53.7917,31.0484,0.930622,114.405,7.29142,3.02874,0.500115,8.23337,6.53072,2.11007,0.252612,0.0654902,0.241313,0.271391,0.311502,0.409167,0.31311,0.720668,0.156555,4.82022,0.310486,-0.169785,-0.278433,56.0389,0.0212681,98.4653,-0.448218,1.92705,-1.3105559647083282,10.972209095954895,2.6023,214.5800018310547,2.26273,0.148282,0.406339,2.26273,-0.148282,4.45821,504,4.165289256,504,4.165289256,,,,,,,,,,,,,,,,,,,"J.T. Realmuto","11739",592663
"Drake Baldwin","ATL",133.104,534.911,479.507,124.416,80.2662,22.3228,1.27197,20.5551,63.7641,75.6075,47.6611,0.661264,93.5547,4.47867,2.68478,0.580027,11.0047,0.775122,0.223034,0.259467,0.0891009,0.174898,0.509446,0.330424,0.439927,0.334294,0.770351,0.18046,2.35554,0.282168,-0.247943,-0.806048,72.428,9.22405,114.116,-1.05399,-2.20136,7.895567059516907,-1.9625167548656464,2.42784,80.41999816894531,3.24444,-0.313481,0.696461,3.24444,0.313481,4.07138,639.2,4.806015037,639.2,4.806015037,,,,,,,,,,,,,,,,,,,"Drake Baldwin","31539",686948
