Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",145.031,637.46,512.16,148.608,76.2955,24.6969,1.00885,46.6065,107.58,112.004,113.956,10.08,157.116,6.09169,4.73671,0.514979,9.86604,8.80852,2.56957,0.290159,0.178766,0.246471,0.725303,0.421788,0.615319,0.432352,1.03711,0.32516,3.70085,0.3257,-0.957637,-0.520233,137.064,61.7428,181.711,-1.47787,0.795418,60.08464574813843,-6.210897862911224,7.71929,1.850000023841858,4.03541,0.888273,1.48413,4.03541,-0.888273,3.02116,1211.1,8.352413793,1211.1,8.352413793,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Shohei Ohtani","LAD",148.471,660.145,559.161,158.303,79.6558,27.1912,5.11702,46.3391,121.559,109.214,91.8198,10.0296,159.412,4.525,3.69458,0.945283,7.37055,24.0518,7.02892,0.283108,0.13909,0.241481,0.575989,0.386298,0.598657,0.410792,0.984956,0.315549,6.47889,0.313533,0.409407,0.836208,130.386,52.3848,166.901,1.24562,0,53.443724036216736,-14.015645980834961,6.31987,1.25,4.25096,-1.06696,0.967172,4.25096,1.06696,3.71044,1182,7.986486486,1182,7.986486486,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Yordan Alvarez","HOU",129.437,552.026,469.306,136.8,79.3462,27.3512,1.06933,29.0329,76.8098,85.1774,69.2448,9.828,93.1565,6.78202,6.50021,0.192606,7.76335,3.44884,1.22452,0.291494,0.125438,0.168754,0.743317,0.385672,0.539921,0.389457,0.925593,0.248428,2.98869,0.304756,-0.727463,-0.772537,99.4689,34.2428,153.402,-1.5,-1.94273,33.24445724487305,-13.727854490280151,3.94071,33.099998474121094,3.59022,0.318783,1.13026,3.59022,-0.318783,3.49299,885.7,6.865891472,885.7,6.865891472,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Adley Rutschman","BAL",137.674,559.523,491.908,123.609,80.2861,25.4307,1.05578,16.8361,64.4572,64.4539,60.1225,1.81522,89.1247,2.8969,4.35146,0.243665,9.85812,0.855019,0.305547,0.251284,0.107453,0.159287,0.674588,0.333694,0.409953,0.324807,0.743647,0.158669,2.35848,0.273566,-0.343521,-0.888195,71.4506,5.33868,109.736,-1.23172,1.17896,5.188565254211426,7.113200306892395,3.22894,150.6199951171875,2.59957,-1.30536,0.421457,2.59957,1.30536,4.43806,631.3,4.574637681,631.3,4.574637681,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"Rafael Devers","SFG",149.992,649.882,557.077,140.937,81.0439,28.4348,1.05519,30.4034,88.1356,91.0675,82.2794,9.88879,159.878,5.94409,4.0426,0.538527,11.3397,2.13103,0.87788,0.252994,0.126607,0.246011,0.514638,0.352912,0.471555,0.351985,0.824467,0.218561,2.77127,0.298065,-0.539022,-0.985466,97.3294,20.5409,126.503,-1.52449,0.762285,18.832542657852173,-11.75598269701004,2.97436,59.52000045776367,1.45863,0.349451,1.13763,1.45863,-0.349451,3.48316,866.5,5.776666666,866.5,5.776666666,,,,,,,,,,,,,,,,,,,"Rafael Devers","17350",646240
"Yainer Diaz","HOU",130.749,518.929,489.035,131.657,86.7085,23.779,1.40598,19.7635,57.7531,67.7614,22.1706,1.09584,89.5997,2.95671,4.1954,0.571622,11.5287,1.12991,0.440887,0.269218,0.0427238,0.172663,0.247441,0.302463,0.444832,0.319923,0.747296,0.175614,2.51737,0.29149,0.0756577,-0.685639,64.2089,2.89338,105.502,-0.609981,-0.764748,2.755001485347748,7.484955132007599,2.87505,110.3499984741211,1.9728,-0.0229108,0.824752,1.9728,0.0229108,3.90033,590.4,4.506870229,590.4,4.506870229,,,,,,,,,,,,,,,,,,,"Yainer Diaz","23003",673237
"Kyle Schwarber","PHI",150.096,657.028,548.558,126.18,64.0107,19.8458,0.972526,41.3509,96.9686,104.347,97.097,4.29784,184.526,7.20302,3.60174,0.568074,7.1397,6.33435,1.97044,0.230021,0.147782,0.28085,0.526196,0.351095,0.495888,0.362625,0.846983,0.265867,3.60831,0.259986,-1.31066,-0.622819,104.076,26.443,132.385,-1.93348,-1.30841,23.284971714019775,-17.33344602584839,2.84541,24.110000610351562,2.55347,-1.11781,1.96119,2.55347,1.11781,2.38508,923.5,6.156666666,923.5,6.156666666,,,,,,,,,,,,,,,,,,,"Kyle Schwarber","16478",656941
"Brent Rooker","ATH",149.53,638.626,567.868,149.736,84.9436,30.5549,1.75135,32.4858,86.2104,95.3577,60.2458,2.81934,162.228,6.40256,3.8882,0.221457,8.56771,6.31621,1.78104,0.263681,0.0943367,0.254027,0.371364,0.338945,0.495275,0.356369,0.83422,0.231594,3.91826,0.310973,-0.417586,-0.448273,97.9169,22.4584,129.515,-0.865859,-1.64675,21.411898493766785,-16.73088240623474,2.69029,43.5,1.90252,-0.360021,0.967095,1.90252,0.360021,3.71054,877.9,5.852666666,877.9,5.852666666,,,,,,,,,,,,,,,,,,,"Brent Rooker","19627",667670
"Jose Altuve","HOU",138.388,600.028,540.214,141.694,95.2968,25.4647,0.9215,20.0106,78.2801,67.7547,50.1181,2.41904,102.672,5.22153,3.56616,0.908096,11.9008,11.8658,3.69364,0.262292,0.0835263,0.171112,0.488138,0.328871,0.423968,0.326721,0.752839,0.161676,4.20784,0.288966,-0.248917,-0.117921,77.5555,6.65767,110.185,-0.366839,-3.48865,6.83613982796669,-4.232514321804047,2.37934,115.30999755859375,1.83435,-0.163932,0.313067,1.83435,0.163932,4.58258,698,5.057971014,698,5.057971014,,,,,,,,,,,,,,,,,,,"Jose Altuve","5417",514888
"Ben Rice","NYY",131.653,541.364,475.314,117.632,65.9592,22.8993,2.0635,26.71,74.1507,74.7835,53.5331,0.26298,114.145,7.8835,4.43067,0.20287,9.56577,3.92442,1.76639,0.247483,0.0988854,0.210847,0.468991,0.33086,0.472926,0.345886,0.803785,0.225443,3.96844,0.268294,-0.0858134,-0.77764,78.3967,14.4303,122.314,-0.863454,-1.28619,13.413766205310822,-9.078587651252747,2.31812,53.189998626708984,2.07666,-0.643552,0.694322,2.07666,0.643552,4.07424,705.7,5.346212121,705.7,5.346212121,,,,,,,,,,,,,,,,,,,"Ben Rice","29576",700250
