Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",145.031,637.46,512.16,148.608,76.2955,24.6969,1.00885,46.6065,107.58,112.004,113.956,10.08,157.116,6.09169,4.73671,0.514979,9.86604,8.80852,2.56957,0.290159,0.178766,0.246471,0.725303,0.421788,0.615319,0.432352,1.03711,0.32516,3.70085,0.3257,-0.957637,-0.520233,137.064,61.7428,181.711,-1.47787,0.795418,60.08464574813843,-6.210897862911224,7.71929,1.850000023841858,4.03541,0.888273,1.48413,4.03541,-0.888273,3.02116,1211.1,8.352413793,1211.1,8.352413793,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Juan Soto","NYM",154.721,678.189,544.271,148.767,84.2402,24.8735,1.00654,38.6471,109.256,99.3665,124.731,8.88827,121.641,3.64983,4.24724,1.2899,12.5857,21.4467,5.39885,0.273333,0.183918,0.179361,1.02541,0.409438,0.535753,0.402012,0.945192,0.26242,4.60712,0.283646,-0.907309,0.733436,129.115,48.9822,160.869,-0.173873,-6.57253,48.61648266017437,-13.930444717407227,5.89718,4.599999904632568,1.04109,-0.927838,0.732913,1.04109,0.927838,4.02278,1148.1,7.407096774,1148.1,7.407096774,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Julio Rodríguez","SEA",151.697,660.122,600.107,163.004,101.988,28.2088,2.98837,29.8184,94.4339,91.3336,47.2644,3.92982,145.698,8.86776,3.40265,0.480937,10.544,28.1014,6.52175,0.271625,0.0715994,0.220713,0.3244,0.332205,0.477656,0.346444,0.809861,0.206031,6.04281,0.311186,-0.181472,1.93159,95.8936,17.8951,129.728,1.75012,4.61266,24.87915527820587,6.762553691864014,5.56192,9.569999694824219,2.07668,-1.1864,0.267335,2.07668,1.1864,4.64355,894.7,5.88618421,894.7,5.88618421,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Fernando Tatis Jr.","SDP",148.591,648.008,567.157,152.942,93.6803,28.2598,2.4528,28.549,98.8975,80.0071,70.9467,3.4676,128.365,6.11222,3.05333,0.738894,10.5444,25.9067,6.01769,0.269664,0.109484,0.198091,0.552695,0.35534,0.479152,0.359072,0.834492,0.209488,5.88948,0.300978,0.267789,1.61272,100.778,24.2104,131.372,1.88051,5.58649,25.90761423110962,-1.4838294982910156,4.74271,14.180000305175781,2.77349,0.175394,0.511612,2.77349,-0.175394,4.31785,918.6,6.165100671,918.6,6.165100671,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ronald Acuña Jr.","ATL",143.7,628.995,532.784,149.139,93.7836,24.9458,1.9925,28.4175,105.645,77.2422,85.8026,3.6242,134.364,7.02456,2.52167,0.862089,10.3336,24.9045,6.78906,0.279925,0.136412,0.213616,0.638585,0.385216,0.494239,0.379402,0.879455,0.214315,5.55561,0.324064,1.214,0.99265,108.203,33.8822,145.017,2.20665,-3.20033,35.76605558395386,-10.61615252494812,4.71423,5.429999828338623,3.28737,-0.306798,0.728215,3.28737,0.306798,4.02905,955.4,6.634722222,955.4,6.634722222,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Kyle Tucker","LAD",142.757,620.3,527.871,141.947,82.3006,27.7466,2.1353,29.7644,94.3545,87.8866,84.4966,6.05812,92.1539,3.2115,3.54719,1.17424,8.11024,22.9627,4.60181,0.268905,0.136219,0.148563,0.916907,0.370934,0.498715,0.371808,0.869649,0.229811,5.37409,0.27395,-0.500006,1.62568,102.882,29.5893,140.12,1.12567,0.0631759,30.53947377204895,-6.545946896076202,4.60275,13.229999542236328,1.87165,0.35847,0.279355,1.87165,-0.35847,4.62753,932.5,6.52097902,932.5,6.52097902,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Corbin Carroll","ARI",138.212,603.315,524.905,135.035,73.19,26.3321,10.0459,25.4666,96.3853,76.9803,63.5851,2.57225,127.451,8.1139,4.59861,2.11238,6.09171,31.6459,6.71278,0.257255,0.105393,0.211251,0.498899,0.343867,0.491248,0.356484,0.835115,0.233992,8.14384,0.290951,2.01488,2.64065,92.5594,21.2731,128.804,4.65553,3.03564,25.25199556350708,-3.175539016723633,4.31236,14.630000114440918,1.91114,0.385889,0.901362,1.91114,-0.385889,3.79818,855.6,6.2,855.6,6.2,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Mookie Betts","LAD",142.552,621.763,545.142,146.258,92.7414,29.8224,2.47476,21.2199,88.5259,80.6433,66.2769,1.89976,72.0182,4.2525,5.5429,0.548781,8.95086,9.05104,2.47665,0.268294,0.106595,0.115829,0.92028,0.348974,0.448855,0.345403,0.79783,0.180561,4.52255,0.27334,-0.303871,-0.269345,89.7956,16.3295,121.982,-0.573216,-1.86608,15.58039790391922,4.733533024787903,4.23135,58.68000030517578,2.15838,-0.375464,0.647554,2.15838,0.375464,4.13659,789.9,5.523776223,789.9,5.523776223,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Yordan Alvarez","HOU",129.437,552.026,469.306,136.8,79.3462,27.3512,1.06933,29.0329,76.8098,85.1774,69.2448,9.828,93.1565,6.78202,6.50021,0.192606,7.76335,3.44884,1.22452,0.291494,0.125438,0.168754,0.743317,0.385672,0.539921,0.389457,0.925593,0.248428,2.98869,0.304756,-0.727463,-0.772537,99.4689,34.2428,153.402,-1.5,-1.94273,33.24445724487305,-13.727854490280151,3.94071,33.099998474121094,3.59022,0.318783,1.13026,3.59022,-0.318783,3.49299,885.7,6.865891472,885.7,6.865891472,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Jackson Merrill","SDP",142.912,606.458,555.685,149.684,92.6622,30.7003,4.10645,22.2146,77.3093,81.5899,39.8069,1.75225,118.693,3.56864,5.13312,2.26421,7.28718,7.87709,2.49169,0.269368,0.0656383,0.195715,0.335378,0.319532,0.459327,0.333407,0.778859,0.189959,4.80966,0.303562,0.861073,-0.331483,81.6789,10.0212,113.742,0.52959,4.28688,10.379282712936401,6.296275615692139,3.8061,69.58000183105469,1.25694,0.981488,0.576621,1.25694,-0.981488,4.23117,745.1,5.21048951,745.1,5.21048951,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
