Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"José Ramírez","CLE",157,679,605,160,99,34,3,23,87,85,65,3,82,5,5,0,,38,8,0.263828,0.095447,0.120703,0.790761,0.337438,0.444327,0.337879,0.781765,0.180499,5.81336,0.270615,-0.0928975,3.01434,93.9139,13.6849,118.48,2.92144,4.57248,17.710931301116943,5.197475433349609,4.73487,6.070000171661377,,,,,,,882.7,5.622292993,882.7,5.622292993,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Junior Caminero","TBR",154,665,612,169,101,30,3,36,88,101,43,3,130,4,5,0,,5,3,0.276261,0.065245,0.194898,0.334764,0.32641,0.509655,0.354628,0.836065,0.233395,3.78167,0.295458,-0.0842107,-1.05969,101.021,22.4459,127.952,-1.1439,-0.150328,20.763935208320618,1.6246722340583801,4.63239,16.530000686645508,,,,,,,919,5.967532467,919,5.967532467,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Austin Riley","ATL",156,672,606,165,98,32,2,33,91,103,52,3,171,9,5,0,,3,2,0.271965,0.077981,0.253942,0.307082,0.336366,0.495376,0.354975,0.831742,0.223411,3.25164,0.323206,-0.0974533,-1.10335,102.274,22.8716,128.284,-1.20081,-1.53516,21.326000809669495,0.46484267711639404,4.51694,62.349998474121094,,,,,,,915.5,5.868589743,915.5,5.868589743,,,,,,,,,,,,,,,,,,,"Austin Riley","18360",663586
"Maikel Garcia","KCR",154,665,598,161,111,33,4,13,83,70,57,1,97,1,5,4,,28,7,0.269824,0.0862037,0.145603,0.592048,0.332533,0.402134,0.320885,0.734667,0.13231,6.05904,0.30168,0.737065,1.56331,82.8026,4.22773,102.573,2.30038,8.01373,4.3170881271362305,10.488734722137451,3.85657,65.94999694824219,,,,,,,751.9,4.882467532,751.9,4.882467532,,,,,,,,,,,,,,,,,,,"Maikel Garcia","22715",672580
"Rafael Devers","SFG",159,686,592,149,88,30,1,29,89,91,82,3,166,7,5,0,,3,1,0.251344,0.119847,0.241606,0.496043,0.346696,0.455619,0.346956,0.802315,0.204275,2.90764,0.297098,-0.766468,-1.01187,99.9377,18.8815,125.654,-1.77834,8.71955,19.079920291900635,-4.530445098876953,3.82371,59.52000045776367,,,,,,,877.6,5.519496855,877.6,5.519496855,,,,,,,,,,,,,,,,,,,"Rafael Devers","17350",646240
"Manny Machado","SDP",149,644,585,154,98,28,0,28,76,89,52,2,127,2,5,0,,11,3,0.263759,0.0806414,0.19652,0.410347,0.32415,0.455686,0.335185,0.779836,0.191927,3.41679,0.290309,-0.576058,-0.113201,87.6644,11.5709,118.936,-0.689259,2.47262,13.764189064502716,2.1726237535476685,3.82269,37.4900016784668,,,,,,,796.3,5.344295302,796.3,5.344295302,,,,,,,,,,,,,,,,,,,"Manny Machado","11493",592518
"Matt Chapman","SFG",156,672,586,137,81,30,2,24,82,83,74,2,170,8,5,0,,11,4,0.233884,0.11007,0.252284,0.436294,0.325251,0.414699,0.322878,0.739951,0.180815,4.33429,0.284865,-0.0980759,-0.48684,84.7615,5.35948,109.16,-0.584916,4.37748,6.711001873016357,6.777478218078613,3.6675,164.75,,,,,,,760.9,4.877564102,760.9,4.877564102,,,,,,,,,,,,,,,,,,,"Matt Chapman","16505",656305
"Alex Bregman","CHC",156,672,590,146,97,29,1,19,80,75,69,2,93,8,5,0,,3,1,0.247155,0.102693,0.138152,0.743333,0.332056,0.394802,0.319568,0.726858,0.147647,3.05475,0.263224,-0.783938,-1.07857,82.9553,3.55331,106.292,-1.86251,3.07355,3.1484936475753784,5.473548650741577,3.16961,118.37999725341797,,,,,,,729.9,4.678846153,729.9,4.678846153,,,,,,,,,,,,,,,,,,,"Alex Bregman","17678",608324
"Carlos Correa","HOU",131,567,505,133,89,26,1,17,67,67,53,2,109,3,4,1,,1,1,0.26317,0.093786,0.192673,0.486762,0.334977,0.421127,0.329107,0.756103,0.157956,2.33894,0.30229,-0.0329021,-1.03857,74.3849,7.38951,111.829,-1.07147,1.41938,6.833322882652283,3.8443819284439087,3.08911,281.04998779296875,,,,,,,647.8,4.945038167,647.8,4.945038167,,,,,,,,,,,,,,,,,,,"Carlos Correa","14162",621043
"Royce Lewis","MIN",133,574,522,133,84,27,1,21,65,73,44,1,121,3,4,1,,14,3,0.254804,0.0763278,0.211121,0.361536,0.313818,0.432508,0.322207,0.746327,0.177704,4.28129,0.291274,-0.267293,0.798171,72.0875,4.26495,105.742,0.530878,2.16843,4.415487706661224,3.8184250593185425,2.86373,185.67999267578125,,,,,,,663.4,4.987969924,663.4,4.987969924,,,,,,,,,,,,,,,,,,,"Royce Lewis","20437",668904
