Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Cal Raleigh","SEA",159,637,554,134,72,25,1,37,84,99,73,3,167,6,4,0,,9,3,0.2425,0.115285,0.262289,0.439534,0.335025,0.488543,0.352001,0.823569,0.246044,3.55314,0.275546,-1.68041,-0.429225,95.4687,20.155,133.556,-2.10964,10.586,23.099125862121582,17.735992908477783,6.4225,18.190000534057617,,,,,,,868.1,5.459748427,868.1,5.459748427,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Alejandro Kirk","TOR",125,495,437,121,83,22,0,16,60,59,50,2,58,4,3,1,,1,0,0.277186,0.100382,0.116419,0.862248,0.353418,0.435352,0.343325,0.78877,0.158165,2.39011,0.287504,-1.82365,-0.774255,70.596,12.1552,121.651,-2.59791,16.3466,10.02334976196289,25.071598052978516,5.33235,159.22999572753906,,,,,,,618.7,4.9496,618.7,4.9496,,,,,,,,,,,,,,,,,,,"Alejandro Kirk","22581",672386
"William Contreras","MIL",152,610,532,142,92,29,1,20,77,76,69,2,119,4,4,1,,7,2,0.267265,0.113366,0.195832,0.578891,0.353375,0.43797,0.344227,0.791346,0.170705,3.34434,0.307764,-0.664663,-0.639654,87.5143,15.4381,122.146,-1.30432,5.95157,14.70681083202362,13.501574039459229,4.96249,55.61000061035156,,,,,,,767.7,5.050657894,767.7,5.050657894,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Adley Rutschman","BAL",141,566,493,127,82,27,1,17,72,69,65,2,89,3,4,1,,1,1,0.257018,0.114732,0.157991,0.726193,0.344991,0.419972,0.334374,0.764963,0.162954,2.65501,0.280497,-0.479385,-1.0688,76.7283,9.80379,116.326,-1.54819,6.09656,9.350499153137207,12.171557903289795,4.19651,150.6199951171875,,,,,,,665.1,4.717021276,665.1,4.717021276,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"Patrick Bailey","SFG",133,525,473,106,73,22,1,11,53,49,42,0,136,3,4,3,,2,1,0.224807,0.0804693,0.258233,0.311615,0.290402,0.343076,0.280344,0.633478,0.118269,3.12064,0.289731,-0.495961,-0.537726,48.0712,-13.9379,80.0229,-1.03369,24.2909,-13.459351062774658,34.54086494445801,3.9433,746.72998046875,,,,,,,429.5,3.229323308,429.5,3.229323308,,,,,,,,,,,,,,,,,,,"Patrick Bailey","27478",672275
"Ben Rice","NYY",128,546,476,118,68,22,1,27,73,79,57,2,114,9,4,0,,5,2,0.248243,0.104479,0.208405,0.501328,0.336773,0.468646,0.346629,0.805419,0.220403,3.65486,0.269378,-0.316959,-0.524803,79.3682,14.8777,124.452,-0.841762,10.4821,14.887678027153015,2.9071407318115234,3.74263,53.189998626708984,,,,,,,710,5.546875,710,5.546875,,,,,,,,,,,,,,,,,,,"Ben Rice","29576",700250
"Gabriel Moreno","ARI",112,443,393,108,74,22,1,11,53,50,42,1,75,4,3,2,,4,2,0.275212,0.0942308,0.169198,0.556925,0.34808,0.420882,0.335661,0.768962,0.145671,3.41881,0.313171,0.398672,-0.724853,60.5292,8.13803,114.539,-0.326181,6.70264,7.3145628571510315,14.427644729614258,3.73382,179.9600067138672,,,,,,,524.7,4.684821428,524.7,4.684821428,,,,,,,,,,,,,,,,,,,"Gabriel Moreno","22664",672515
"Drake Baldwin","ATL",139,571,508,136,89,24,1,21,73,73,54,2,109,5,4,1,,1,1,0.266817,0.0937758,0.19033,0.4927,0.339826,0.444871,0.339595,0.784697,0.178055,2.54954,0.299371,-0.293118,-1.09877,79.8278,12.3125,117.748,-1.39188,5.18345,10.6273512840271,5.433454513549805,3.58825,80.41999816894531,,,,,,,702.4,5.05323741,702.4,5.05323741,,,,,,,,,,,,,,,,,,,"Drake Baldwin","31539",686948
"Austin Wells","NYY",117,461,410,96,56,21,1,18,55,59,42,1,109,5,3,1,,5,1,0.233394,0.0918305,0.23564,0.389707,0.310622,0.418071,0.316485,0.728693,0.184677,3.8848,0.271763,-0.185709,-0.192685,55.8028,1.28486,103.687,-0.378394,8.09377,1.6264632940292358,16.793774604797363,3.50941,252.27000427246094,,,,,,,511.1,4.368376068,511.1,4.368376068,,,,,,,,,,,,,,,,,,,"Austin Wells","27562",669224
"Will Smith","LAD",126,500,431,111,69,21,1,20,67,67,56,2,96,9,4,0,,3,2,0.256251,0.112493,0.192659,0.583899,0.351529,0.449613,0.347934,0.801142,0.193362,3.1168,0.284022,-1.08804,-0.99384,73.2967,14.1706,124.44,-2.08188,-4.44673,12.413182497024536,4.703265190124512,3.45457,97.12999725341797,,,,,,,640.3,5.081746031,640.3,5.081746031,,,,,,,,,,,,,,,,,,,"Will Smith","19197",669257
"Shea Langeliers","ATH",131,524,476,123,71,25,2,26,67,78,41,2,117,4,4,0,,6,2,0.259456,0.0777808,0.223389,0.348185,0.320311,0.480407,0.34191,0.800718,0.220951,4.06434,0.29046,-0.0660239,-0.222791,74.1621,12.2711,117.253,-0.288815,-2.51472,10.362512707710266,4.910278558731079,3.40712,54.56999969482422,,,,,,,681.9,5.205343511,681.9,5.205343511,,,,,,,,,,,,,,,,,,,"Shea Langeliers","25816",669127
"Yainer Diaz","HOU",128,509,477,131,86,24,1,19,60,67,24,1,86,3,4,2,,2,1,0.273878,0.0480364,0.169829,0.282852,0.310776,0.449027,0.325665,0.759803,0.175149,2.88149,0.297793,0.0156998,-0.606281,65.3793,5.21339,109.458,-0.590582,-0.46379,5.085572063922882,7.611210078001022,3.09215,110.3499984741211,,,,,,,592.5,4.62890625,592.5,4.62890625,,,,,,,,,,,,,,,,,,,"Yainer Diaz","23003",673237
"Francisco Alvarez","NYM",110,438,387,94,55,17,1,20,55,59,42,1,111,6,3,0,,1,0,0.241965,0.0962012,0.25242,0.381116,0.323578,0.446751,0.332622,0.770329,0.204786,2.74201,0.283809,-0.291783,-0.616128,58.7383,6.96159,116.743,-0.907911,0.0673225,7.787821710109711,7.067322455346584,3.01148,167.42999267578125,,,,,,,528.3,4.802727272,528.3,4.802727272,,,,,,,,,,,,,,,,,,,"Francisco Alvarez","26121",682626
"Hunter Goodman","COL",144,583,538,139,77,31,3,28,74,85,35,1,150,6,4,0,,2,2,0.257699,0.0606084,0.257219,0.23563,0.308776,0.484301,0.337707,0.793077,0.226602,3.60794,0.303198,-0.18739,-1.02305,80.6101,11.6769,103.273,-1.21044,4.70817,1.052375316619873,8.9331693649292,3.00752,65.2300033569336,,,,,,,731.8,5.081944444,731.8,5.081944444,,,,,,,,,,,,,,,,,,,"Hunter Goodman","29715",696100
"Dillon Dingler","DET",109,429,388,94,61,18,2,14,49,49,28,1,107,8,3,1,,1,1,0.24291,0.0664391,0.249307,0.266495,0.305013,0.402544,0.307988,0.707557,0.159634,3.15255,0.298148,0.0688831,-0.656618,48.902,-1.76398,96.4546,-0.587735,6.0669,-2.3795270323753357,14.441895008087158,2.74412,264.2699890136719,,,,,,,440.7,4.043119266,440.7,4.043119266,,,,,,,,,,,,,,,,,,,"Dillon Dingler","27464",693307
"Iván Herrera","STL",139,594,516,136,92,25,1,18,72,67,62,2,117,10,4,1,,10,3,0.263768,0.104854,0.196897,0.532533,0.351826,0.423617,0.339258,0.775443,0.15985,4.03482,0.30565,0.368097,-0.250372,82.7669,12.6285,120.136,0.117725,3.34971,14.284129530191422,-7.400286912918091,2.7249,172.75,,,,,,,719.6,5.176978417,719.6,5.176978417,,,,,,,,,,,,,,,,,,,"Ivan Herrera","20599",671056
"Salvador Perez","KCR",151,618,570,144,90,26,0,29,68,86,33,1,125,10,4,1,,1,0,0.253179,0.0527738,0.202388,0.260755,0.303406,0.449039,0.323221,0.752445,0.195861,1.68072,0.275049,-2.84111,-0.918384,78.1222,5.10075,104.182,-3.7595,3.0753,-0.7135050296783447,4.100301265716553,2.52276,91.36000061035156,,,,,,,715.3,4.737086092,715.3,4.737086092,,,,,,,,,,,,,,,,,,,"Salvador Perez","7304",521692
"Bo Naylor","CLE",115,454,399,89,54,19,1,15,51,51,49,1,111,3,3,0,,6,2,0.223523,0.107448,0.243387,0.441468,0.310825,0.390506,0.307662,0.701331,0.166983,3.96666,0.268383,-0.11106,-0.436131,51.7011,-1.98977,97.665,-0.547191,1.74504,-1.7977235317230225,10.620040774345398,2.50277,626.6599731445312,,,,,,,463,4.026086956,463,4.026086956,,,,,,,,,,,,,,,,,,,"Bo Naylor","21865",666310
"Ryan Jeffers","MIN",130,523,459,114,72,25,1,16,62,62,50,1,110,9,4,1,,3,1,0.247342,0.0952298,0.209549,0.454452,0.330528,0.410097,0.32411,0.740625,0.162755,3.11445,0.289041,-0.582135,-0.783988,66.4654,4.69253,107.053,-1.36612,-1.39351,2.979992628097534,3.2064898014068604,2.47396,301.95001220703125,,,,,,,587.9,4.522307692,587.9,4.522307692,,,,,,,,,,,,,,,,,,,"Ryan Jeffers","24618",680777
"Samuel Basallo","BAL",107,445,403,104,62,21,2,20,57,62,36,1,108,3,3,0,,2,1,0.25785,0.0813967,0.242627,0.335481,0.321488,0.463095,0.336517,0.784584,0.205246,3.06294,0.302883,-0.018524,-0.863637,61.0842,8.48039,117.802,-0.882161,3.02238,8.458831012248993,-0.027617931365966797,2.43036,170.1199951171875,,,,,,,557.7,5.212149532,557.7,5.212149532,,,,,,,,,,,,,,,,,,,"Samuel Basallo","28824",694212
"Sean Murphy","ATL",96,390,341,79,47,16,0,16,46,50,38,1,102,8,3,0,,1,1,0.230517,0.0974818,0.261025,0.373458,0.320628,0.417583,0.322235,0.738211,0.187066,2.3463,0.278083,-0.152303,-0.645269,49.0134,2.90826,105.856,-0.797572,6.39446,1.9104580283164978,7.4694554805755615,2.28791,744.2899780273438,,,,,,,435.3,4.534375,435.3,4.534375,,,,,,,,,,,,,,,,,,,"Sean Murphy","19352",669221
"Carlos Narváez","BOS",107,423,373,85,56,18,0,11,44,44,41,0,112,5,3,1,,3,1,0.228513,0.0972231,0.264574,0.36747,0.310511,0.368606,0.300378,0.679117,0.140093,2.73875,0.292731,-0.41724,-0.552003,45.6271,-4.35363,87.2672,-0.969243,6.8451,-7.31726199388504,14.795101165771484,2.25464,432.9200134277344,,,,,,,399.5,3.733644859,399.5,3.733644859,,,,,,,,,,,,,,,,,,,"Carlos Narvaez","19722",665966
"J.T. Realmuto","PHI",126,500,453,112,73,22,2,16,58,59,34,1,121,8,3,2,,7,2,0.247911,0.067367,0.242345,0.27798,0.308646,0.408148,0.31158,0.716793,0.160237,4.38031,0.302078,-0.408571,-0.312601,58.4567,-0.598555,97.417,-0.721173,-4.49375,-2.251247823238373,4.9562482833862305,1.97806,214.5800018310547,,,,,,,533.5,4.234126984,533.5,4.234126984,,,,,,,,,,,,,,,,,,,"J.T. Realmuto","11739",592663
"Freddy Fermin","SDP",122,480,436,103,74,18,0,11,47,46,35,0,97,3,3,2,,3,1,0.237073,0.0722863,0.202872,0.356314,0.295759,0.35329,0.286263,0.649049,0.116217,2.75431,0.279829,0.137705,-0.712226,46.2745,-10.4412,85.4233,-0.574521,2.71652,-8.867175579071045,12.091520309448242,1.96379,726.02001953125,,,,,,,413.3,3.387704918,413.3,3.387704918,,,,,,,,,,,,,,,,,,,"Freddy Fermin","21840",666023
"Carson Kelly","CHC",94,373,330,77,52,14,1,11,41,40,35,1,74,4,3,1,,2,0,0.23366,0.094574,0.199427,0.47423,0.313022,0.375943,0.303754,0.688964,0.142283,2.90913,0.267931,-0.860877,-0.359925,41.2559,-2.81689,95.4584,-1.2208,2.74897,-3.22858202457428,9.098971128463745,1.87029,632.9099731445312,,,,,,,371.7,3.954255319,371.7,3.954255319,,,,,,,,,,,,,,,,,,,"Carson Kelly","13620",608348
