Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",149,644,527,160,82,26,1,52,111,125,107,7,157,6,5,0,,11,2,0.30431,0.166018,0.243157,0.682759,0.423652,0.651177,0.446788,1.07483,0.346867,3.89617,0.336378,-1.32049,-0.106314,146.018,69.9247,193.448,-1.42681,4.44387,69.50282752513885,-2.756126880645752,9.09682,1.850000023841858,,,,,,,1293.2,8.67919463,1293.2,8.67919463,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Shohei Ohtani","LAD",157,679,582,168,84,29,6,50,124,122,88,6,164,5,5,0,,25,7,0.288615,0.129253,0.241945,0.534223,0.383518,0.614842,0.416603,0.99836,0.326227,6.70534,0.317245,0.0862368,0.876483,137.313,57.084,171.48,0.962719,0,58.48699605464935,-16.975000381469727,6.55849,1.25,,,,,,,1254,7.987261146,1254,7.987261146,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Yordan Alvarez","HOU",130,560,482,145,83,28,1,33,86,94,67,4,95,8,4,0,,5,2,0.301473,0.119508,0.169093,0.706758,0.392271,0.569197,0.406613,0.961468,0.267724,3.38167,0.314254,-0.925118,-0.708654,108.706,42.5377,165.22,-1.63377,1.05226,41.41280913352966,-10.747735738754272,5.10942,33.099998474121094,,,,,,,956,7.353846153,956,7.353846153,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Adley Rutschman","BAL",141,566,493,127,82,27,1,17,72,69,65,2,89,3,4,1,,1,1,0.257018,0.114732,0.157991,0.726193,0.344991,0.419972,0.334374,0.764963,0.162954,2.65501,0.280497,-0.479385,-1.0688,76.7283,9.80379,116.326,-1.54819,6.09656,9.350499153137207,12.171557903289795,4.19651,150.6199951171875,,,,,,,665.1,4.717021276,665.1,4.717021276,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"Rafael Devers","SFG",159,686,592,149,88,30,1,29,89,91,82,3,166,7,5,0,,3,1,0.251344,0.119847,0.241606,0.496043,0.346696,0.455619,0.346956,0.802315,0.204275,2.90764,0.297098,-0.766468,-1.01187,99.9377,18.8815,125.654,-1.77834,8.71955,19.079920291900635,-4.530445098876953,3.82371,59.52000045776367,,,,,,,877.6,5.519496855,877.6,5.519496855,,,,,,,,,,,,,,,,,,,"Rafael Devers","17350",646240
"Ben Rice","NYY",128,546,476,118,68,22,1,27,73,79,57,2,114,9,4,0,,5,2,0.248243,0.104479,0.208405,0.501328,0.336773,0.468646,0.346629,0.805419,0.220403,3.65486,0.269378,-0.316959,-0.524803,79.3682,14.8777,124.452,-0.841762,10.4821,14.887678027153015,2.9071407318115234,3.74263,53.189998626708984,,,,,,,710,5.546875,710,5.546875,,,,,,,,,,,,,,,,,,,"Ben Rice","29576",700250
"Kyle Schwarber","PHI",159,686,577,138,71,22,1,43,95,106,97,3,192,7,5,0,,6,4,0.238876,0.141477,0.28007,0.505147,0.352604,0.506074,0.366925,0.858678,0.267198,3.06832,0.272943,-1.72667,-1.48268,111.06,30.0035,135.33,-3.20935,-0.141726,25.515599727630615,-17.091725185513496,3.19699,24.110000610351562,,,,,,,981.7,6.174213836,981.7,6.174213836,,,,,,,,,,,,,,,,,,,"Kyle Schwarber","16478",656941
"Yainer Diaz","HOU",128,509,477,131,86,24,1,19,60,67,24,1,86,3,4,2,,2,1,0.273878,0.0480364,0.169829,0.282852,0.310776,0.449027,0.325665,0.759803,0.175149,2.88149,0.297793,0.0156998,-0.606281,65.3793,5.21339,109.458,-0.590582,-0.46379,5.085572063922882,7.611210078001022,3.09215,110.3499984741211,,,,,,,592.5,4.62890625,592.5,4.62890625,,,,,,,,,,,,,,,,,,,"Yainer Diaz","23003",673237
"Hunter Goodman","COL",144,583,538,139,77,31,3,28,74,85,35,1,150,6,4,0,,2,2,0.257699,0.0606084,0.257219,0.23563,0.308776,0.484301,0.337707,0.793077,0.226602,3.60794,0.303198,-0.18739,-1.02305,80.6101,11.6769,103.273,-1.21044,4.70817,1.052375316619873,8.9331693649292,3.00752,65.2300033569336,,,,,,,731.8,5.081944444,731.8,5.081944444,,,,,,,,,,,,,,,,,,,"Hunter Goodman","29715",696100
"Mike Trout","LAA",130,560,476,116,67,19,2,28,76,76,73,2,164,7,4,0,,4,1,0.244107,0.13036,0.293191,0.444626,0.349977,0.468133,0.353191,0.81811,0.224025,4.03695,0.306827,-0.637089,-0.307472,84.417,18.2487,126.666,-0.944561,-0.688832,16.655683994293213,-7.0888320207595825,2.95081,178.91000366210938,,,,,,,748.1,5.754615384,748.1,5.754615384,,,,,,,,,,,,,,,,,,,"Mike Trout","10155",545361
