Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",149,644,527,160,82,26,1,52,111,125,107,7,157,6,5,0,,11,2,0.30431,0.166018,0.243157,0.682759,0.423652,0.651177,0.446788,1.07483,0.346867,3.89617,0.336378,-1.32049,-0.106314,146.018,69.9247,193.448,-1.42681,4.44387,69.50282752513885,-2.756126880645752,9.09682,1.850000023841858,,,,,,,1293.2,8.67919463,1293.2,8.67919463,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Juan Soto","NYM",159,686,557,158,91,27,2,39,110,107,121,6,119,4,5,0,,22,8,0.284685,0.176264,0.173872,1.01376,0.41248,0.547678,0.408472,0.960158,0.262993,4.67169,0.296904,-0.72028,-0.125942,134.2,53.1438,168.702,-0.846223,-2.32464,55.01233595609665,-9.874644041061401,6.95327,4.599999904632568,,,,,,,1178.5,7.411949685,1178.5,7.411949685,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Julio Rodríguez","SEA",159,686,621,175,112,32,3,29,94,97,51,4,148,10,5,0,,29,7,0.282528,0.0745203,0.215855,0.345232,0.343995,0.484183,0.354488,0.828178,0.201654,5.81421,0.325751,0.640145,1.83443,104.133,23.0766,135.269,2.47458,2.45065,30.99037790298462,4.700649738311768,6.06734,9.569999694824219,,,,,,,960,6.037735849,960,6.037735849,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Fernando Tatis Jr.","SDP",156,672,590,161,98,31,1,31,92,93,71,4,133,6,5,0,,26,6,0.272696,0.105516,0.197797,0.533454,0.354243,0.48599,0.36046,0.840233,0.213294,5.01907,0.301838,0.666632,1.63295,105.266,25.8639,136.25,2.29958,10.7689,31.171369075775146,3.3688998222351074,5.82136,14.180000305175781,,,,,,,962.2,6.167948717,962.2,6.167948717,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ronald Acuña Jr.","ATL",151,651,553,161,99,28,2,32,98,96,85,4,133,8,5,0,,25,6,0.290712,0.130408,0.204615,0.637334,0.390049,0.52122,0.389801,0.911269,0.230508,5.21624,0.3281,1.37275,1.42196,117.485,40.5641,152.141,2.7947,-1.35226,43.02477312088013,-9.127261757850647,5.68412,5.429999828338623,,,,,,,1051.7,6.964900662,1051.7,6.964900662,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Yordan Alvarez","HOU",130,560,482,145,83,28,1,33,86,94,67,4,95,8,4,0,,5,2,0.301473,0.119508,0.169093,0.706758,0.392271,0.569197,0.406613,0.961468,0.267724,3.38167,0.314254,-0.925118,-0.708654,108.706,42.5377,165.22,-1.63377,1.05226,41.41280913352966,-10.747735738754272,5.10942,33.099998474121094,,,,,,,956,7.353846153,956,7.353846153,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Corbin Carroll","ARI",147,637,556,146,82,29,11,24,110,80,67,3,133,10,4,0,,35,7,0.263221,0.104857,0.20865,0.502552,0.349654,0.485615,0.357355,0.835269,0.222394,8.45155,0.303319,2.71167,2.93015,98.1775,22.911,129.4,5.64182,6.24875,27.838430404663086,-0.376248836517334,4.97805,14.630000114440918,,,,,,,911.9,6.20340136,911.9,6.20340136,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Kyle Tucker","LAD",151,651,561,152,89,31,2,30,95,96,82,4,96,4,5,0,,24,4,0.270976,0.125892,0.148085,0.85013,0.364858,0.494107,0.368326,0.858965,0.223132,5.39608,0.277485,0.0315115,2.04618,106.134,29.2135,138.41,2.0777,1.53386,31.713356494903564,-5.4411362409591675,4.90396,13.229999542236328,,,,,,,965.9,6.396688741,965.9,6.396688741,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Pete Crow-Armstrong","CHC",149,644,592,151,90,30,6,25,88,85,37,2,155,9,5,1,,37,10,0.255011,0.0569907,0.240556,0.236913,0.306493,0.451719,0.324739,0.758213,0.196708,7.42301,0.302894,1.1393,2.39132,82.2028,6.10925,109.834,3.53062,10.1753,11.03682804107666,12.475308179855347,4.59774,32.599998474121094,,,,,,,790.1,5.302684563,790.1,5.302684563,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Wyatt Langford","TEX",149,644,560,144,87,29,2,26,87,85,74,3,145,5,5,0,,23,6,0.257952,0.115162,0.224992,0.511851,0.347915,0.45698,0.347862,0.804894,0.199028,5.46284,0.301169,0.694551,1.16215,94.2928,18.1992,125.578,1.8567,4.75598,21.271212935447693,1.455977439880371,4.59308,40.459999084472656,,,,,,,850.2,5.706040268,850.2,5.706040268,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
"Mookie Betts","LAD",151,651,574,150,96,30,2,22,87,83,67,2,85,6,5,0,,11,3,0.261543,0.103233,0.130894,0.788677,0.342248,0.437428,0.338515,0.779676,0.175885,4.55499,0.271469,-0.284728,-0.0559728,90.3777,13.457,117.988,-0.3407,-1.53386,13.538425147533417,5.4411362409591675,4.15783,58.68000030517578,,,,,,,802.7,5.315894039,802.7,5.315894039,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Riley Greene","DET",151,651,583,157,94,29,4,30,92,91,59,3,175,5,5,0,,5,2,0.269507,0.0904311,0.269229,0.335889,0.339058,0.486412,0.352827,0.82547,0.216905,4.57614,0.333368,0.00652152,-0.686877,97.9423,21.0216,127.343,-0.680355,3.65488,20.29905277490616,-3.7201225757598877,3.98868,77.88999938964844,,,,,,,881,5.834437086,881,5.834437086,,,,,,,,,,,,,,,,,,,"Riley Greene","25976",682985
"Bryce Harper","PHI",154,665,576,155,90,35,0,31,89,99,79,3,144,5,5,0,,11,4,0.269885,0.119003,0.216631,0.549335,0.360599,0.492447,0.36597,0.853046,0.222562,3.43605,0.306942,0.212808,-0.425502,107.145,28.5697,134.676,-0.212694,1.62884,27.11762872338295,-10.346160650253296,3.97957,47.75,,,,,,,946.6,6.146753246,946.6,6.146753246,,,,,,,,,,,,,,,,,,,"Bryce Harper","11579",547180
"Jazz Chisholm Jr.","NYY",139,602,534,132,80,22,2,28,78,82,58,2,155,5,4,0,,33,9,0.24637,0.0970526,0.257962,0.376228,0.324264,0.452311,0.334628,0.776575,0.205941,5.9409,0.291733,0.919154,2.00849,81.675,10.544,116.185,2.92764,1.5937,14.41106104850769,3.5436993837356567,3.9569,19.700000762939453,,,,,,,770.1,5.540287769,770.1,5.540287769,,,,,,,,,,,,,,,,,,,"Jazz Chisholm Jr.","20454",665862
"Byron Buxton","MIN",130,560,504,129,69,26,4,30,80,83,43,2,151,9,4,0,,18,3,0.255893,0.0775919,0.268983,0.288464,0.323511,0.499348,0.349864,0.822859,0.243455,6.46635,0.303316,0.925362,1.77096,82.904,16.7357,124.794,2.69633,0.593754,19.06096911430359,0.19375383853912354,3.942,72.52999877929688,,,,,,,780.4,6.003076923,780.4,6.003076923,,,,,,,,,,,,,,,,,,,"Byron Buxton","14161",621439
"Steven Kwan","CLE",154,665,592,161,120,29,3,8,81,57,62,1,62,5,5,2,,19,5,0.272094,0.0934155,0.0926173,1.00862,0.343617,0.373946,0.317304,0.717563,0.101852,5.31856,0.290167,0.768716,0.540799,80.8687,2.2938,104.307,1.30952,8.60555,4.68516480922699,8.780547976493835,3.71946,169.52000427246094,,,,,,,709.1,4.604545454,709.1,4.604545454,,,,,,,,,,,,,,,,,,,"Steven Kwan","24610",680757
"Jackson Merrill","SDP",146,630,580,154,96,30,4,24,82,83,41,2,120,3,4,2,,7,3,0.264897,0.0644558,0.190222,0.338845,0.314252,0.453114,0.328649,0.767367,0.188217,4.6693,0.294521,1.33471,-0.756073,82.4154,7.97604,114.459,0.578642,1.65977,11.374593734741211,3.709772229194641,3.68782,69.58000183105469,,,,,,,754.7,5.169178082,754.7,5.169178082,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"Michael Harris II","ATL",134,581,540,151,97,29,3,22,76,78,29,2,112,5,4,2,,19,5,0.280014,0.0506037,0.192379,0.263041,0.321028,0.466413,0.336765,0.787441,0.1864,5.87004,0.315368,0.717761,0.751124,79.8341,11.1844,115.809,1.46888,1.04683,12.355184078216553,3.1218303442001343,3.56119,99.80000305175781,,,,,,,737.7,5.50522388,737.7,5.50522388,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
"Roman Anthony","BOS",146,630,540,142,87,33,3,19,87,75,81,2,152,4,4,1,,8,4,0.263031,0.12804,0.240778,0.531778,0.360161,0.44019,0.348553,0.800351,0.177159,4.57866,0.329886,0.422954,-1.08996,92.5967,18.1573,120.453,-0.667004,6.81556,14.519950151443481,-1.4344449043273926,3.55731,51.65999984741211,,,,,,,805.6,5.517808219,805.6,5.517808219,,,,,,,,,,,,,,,,,,,"Roman Anthony","31812",701350
"Jackson Chourio","MIL",151,651,600,161,98,34,3,25,85,88,41,2,134,4,5,2,,25,7,0.268147,0.0630759,0.205953,0.306263,0.316749,0.460556,0.332579,0.777305,0.192408,5.73569,0.305428,1.28448,1.05266,87.2401,10.3194,114.167,2.33714,5.57513,13.268054246902466,-1.399874210357666,3.43024,19.190000534057617,,,,,,,815.2,5.398675496,815.2,5.398675496,,,,,,,,,,,,,,,,,,,"Jackson Chourio","28806",694192
"Kyle Schwarber","PHI",159,686,577,138,71,22,1,43,95,106,97,3,192,7,5,0,,6,4,0.238876,0.141477,0.28007,0.505147,0.352604,0.506074,0.366925,0.858678,0.267198,3.06832,0.272943,-1.72667,-1.48268,111.06,30.0035,135.33,-3.20935,-0.141726,25.515599727630615,-17.091725185513496,3.19699,24.110000610351562,,,,,,,981.7,6.174213836,981.7,6.174213836,,,,,,,,,,,,,,,,,,,"Kyle Schwarber","16478",656941
"Ceddanne Rafaela","BOS",141,609,566,146,93,31,4,18,75,71,29,1,132,8,4,3,,23,7,0.258039,0.0468241,0.216703,0.216075,0.300334,0.424539,0.312079,0.724873,0.1665,6.42414,0.304499,0.875826,0.907186,71.4753,-0.482728,95.3271,1.78301,9.45349,-1.5710759162902832,11.628490447998047,3.17355,127.63999938964844,,,,,,,668.6,4.741843971,668.6,4.741843971,,,,,,,,,,,,,,,,,,,"Ceddanne Rafaela","24262",678882
"Oneil Cruz","PIT",125,539,476,115,66,23,3,23,72,71,55,2,158,4,4,0,,29,6,0.242357,0.101945,0.292944,0.348003,0.32331,0.450077,0.333184,0.773387,0.20772,6.69773,0.308466,0.466591,2.50492,72.4957,8.80866,111.943,2.97151,-0.693292,10.601171255111694,1.031707763671875,3.02492,94.19999694824219,,,,,,,683.3,5.4664,683.3,5.4664,,,,,,,,,,,,,,,,,,,"Oneil Cruz","21711",665833
