Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",157,679,615,186,109,38,7,32,110,104,52,4,109,7,5,0,,35,11,0.302308,0.0763275,0.160536,0.475455,0.360557,0.543732,0.382873,0.904289,0.241425,6.98615,0.32129,2.12478,1.65443,118.718,38.4892,145.274,3.77921,9.69313,40.01084589958191,16.968125820159912,8.22071,3.0799999237060547,,,,,,,1090.2,6.943949044,1090.2,6.943949044,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Gunnar Henderson","BAL",156,672,590,166,97,34,6,28,108,96,71,3,143,6,5,0,,24,5,0.281191,0.105481,0.212674,0.495972,0.361501,0.503591,0.369604,0.865092,0.2224,6.69152,0.325266,1.60662,1.5792,110.255,30.8533,140.595,3.18582,-2.32845,35.338160276412964,4.871553897857666,6.48036,12.289999961853027,,,,,,,998.2,6.398717948,998.2,6.398717948,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Fernando Tatis Jr.","SDP",156,672,590,161,98,31,1,31,92,93,71,4,133,6,5,0,,26,6,0.272696,0.105516,0.197797,0.533454,0.354243,0.48599,0.36046,0.840233,0.213294,5.01907,0.301838,0.666632,1.63295,105.266,25.8639,136.25,2.29958,10.7689,31.171369075775146,3.3688998222351074,5.82136,14.180000305175781,,,,,,,962.2,6.167948717,962.2,6.167948717,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Elly De La Cruz","CIN",156,672,601,160,93,32,8,27,100,89,62,3,184,4,5,1,,41,11,0.265788,0.0927681,0.273186,0.339579,0.336011,0.480259,0.348961,0.81627,0.214471,7.75551,0.335757,2.16878,2.82335,98.9923,19.5904,119.755,4.99213,0.977361,20.725927352905273,7.927360951900482,5.21905,8.520000457763672,,,,,,,932.3,5.976282051,932.3,5.976282051,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Corey Seager","TEX",131,567,498,137,82,26,0,29,76,85,60,3,103,5,4,0,,3,1,0.275877,0.105775,0.18196,0.581308,0.356996,0.505264,0.368478,0.862259,0.229387,2.77136,0.292695,-1.09096,-0.712084,92.5093,25.5139,139.78,-1.80305,2.05366,24.780827164649963,6.378655910491943,5.18466,95.56999969482422,,,,,,,815.1,6.222137404,815.1,6.222137404,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Francisco Lindor","NYM",151,651,579,147,92,28,1,25,83,83,57,2,123,11,5,0,,25,6,0.253533,0.0879776,0.188418,0.466927,0.32964,0.436637,0.33211,0.766278,0.183105,5.17134,0.279145,-0.562842,1.55035,86.9923,10.0716,116.392,0.987508,3.49224,13.635383486747742,9.96723747253418,4.63082,25.969999313354492,,,,,,,800.8,5.303311258,800.8,5.303311258,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Zach Neto","LAA",154,665,594,152,91,32,1,28,83,89,48,2,159,18,5,1,,30,10,0.255858,0.0723349,0.238401,0.303418,0.32764,0.45482,0.337528,0.78246,0.198962,5.29848,0.300818,0.594999,1.05138,91.7885,13.2136,115.876,1.64638,-3.04153,14.089976906776428,4.083467483520508,4.20112,30.06999969482422,,,,,,,845.9,5.492857142,845.9,5.492857142,,,,,,,,,,,,,,,,,,,"Zach Neto","31347",687263
"Mookie Betts","LAD",151,651,574,150,96,30,2,22,87,83,67,2,85,6,5,0,,11,3,0.261543,0.103233,0.130894,0.788677,0.342248,0.437428,0.338515,0.779676,0.175885,4.55499,0.271469,-0.284728,-0.0559728,90.3777,13.457,117.988,-0.3407,-1.53386,13.538425147533417,5.4411362409591675,4.15783,58.68000030517578,,,,,,,802.7,5.315894039,802.7,5.315894039,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Geraldo Perdomo","ARI",159,686,591,152,105,31,4,13,88,67,80,2,94,8,5,2,,21,6,0.25762,0.117157,0.137743,0.85055,0.351851,0.386813,0.327092,0.738663,0.129193,5.35812,0.285548,0.447014,0.456428,88.8742,7.81804,108.669,0.903441,0.950782,7.952112138271332,8.300781965255737,3.99799,76.54000091552734,,,,,,,782.2,4.919496855,782.2,4.919496855,,,,,,,,,,,,,,,,,,,"Geraldo Perdomo","22799",672695
"Trea Turner","PHI",149,644,591,162,111,30,3,18,82,73,41,2,120,5,5,2,,29,5,0.274887,0.0635939,0.186831,0.340383,0.32525,0.426139,0.325131,0.751389,0.151252,6.08686,0.316608,1.72775,2.67539,82.4077,6.3141,106.7,4.40314,0.357028,9.516963481903076,7.2570284605026245,3.90834,26.31999969482422,,,,,,,768.6,5.158389261,768.6,5.158389261,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
"Willy Adames","SFG",157,679,600,143,86,30,1,26,80,86,71,2,168,4,5,0,,13,4,0.23821,0.104166,0.248108,0.419841,0.320061,0.421067,0.322024,0.741128,0.182856,3.80162,0.284777,0.11169,-0.340983,85.1736,4.9445,108.575,-0.229293,1.59984,6.671821236610413,8.874836444854736,3.90191,130.77999877929688,,,,,,,776.4,4.945222929,776.4,4.945222929,,,,,,,,,,,,,,,,,,,"Willy Adames","15986",642715
"Jeremy Peña","HOU",141,609,553,150,102,29,2,17,76,71,39,2,108,11,4,2,,18,5,0.271272,0.0638372,0.177933,0.35877,0.329104,0.424061,0.326913,0.753165,0.152789,5.16562,0.307723,0.804537,0.483916,78.8102,6.85214,110.317,1.28845,0.675249,8.69404935836792,7.200249433517456,3.77074,116.75,,,,,,,712.5,5.053191489,712.5,5.053191489,,,,,,,,,,,,,,,,,,,"Jeremy Pena","21636",665161
"Masyn Winn","STL",149,644,585,150,101,31,4,14,76,68,46,1,117,5,5,3,,14,4,0.255506,0.0720129,0.181876,0.395945,0.313182,0.392495,0.307912,0.705676,0.136989,5.08491,0.295413,1.20858,0.0667915,73.4044,-2.68915,98.6628,1.27538,7.31908,0.2546950578689575,14.21908187866211,3.673,328.489990234375,,,,,,,667.7,4.481208053,667.7,4.481208053,,,,,,,,,,,,,,,,,,,"Masyn Winn","27479",691026
"Bo Bichette","NYM",152,658,601,168,113,33,2,21,83,84,46,2,113,4,5,2,,7,3,0.279543,0.0691525,0.172229,0.401515,0.332088,0.442486,0.334104,0.774574,0.162944,3.74574,0.312451,0.339004,-0.788686,88.9928,11.245,117.758,-0.449682,-0.112707,13.39929074048996,0.4872933328151703,3.66058,94.80000305175781,,,,,,,799.2,5.257894736,799.2,5.257894736,,,,,,,,,,,,,,,,,,,"Bo Bichette","19612",666182
"Dansby Swanson","CHC",159,686,620,149,96,27,2,24,78,81,56,1,173,4,5,2,,18,4,0.240538,0.082173,0.251532,0.32669,0.305557,0.40705,0.309556,0.712607,0.166512,4.90033,0.291856,1.07305,0.855426,79.1072,-1.94898,99.4331,1.92847,3.89821,1.4675502479076385,11.248206377029419,3.6361,149.44000244140625,,,,,,,732.7,4.6081761,732.7,4.6081761,,,,,,,,,,,,,,,,,,,"Dansby Swanson","18314",621020
"Nico Hoerner","CHC",154,665,601,163,123,31,2,7,76,59,46,1,67,10,5,3,,29,6,0.270951,0.069281,0.100586,0.688776,0.330727,0.363662,0.306945,0.694389,0.0927103,5.62588,0.293339,1.06049,1.99617,75.2761,-3.29879,97.6448,3.05666,6.99989,1.2003775835037231,9.47489047050476,3.35585,103.26000213623047,,,,,,,685.2,4.449350649,685.2,4.449350649,,,,,,,,,,,,,,,,,,,"Nico Hoerner","21479",663538
"Jacob Wilson","ATH",143,616,565,166,116,37,1,12,74,72,37,2,58,8,4,2,,5,2,0.293909,0.0604397,0.093505,0.646379,0.343592,0.425536,0.334207,0.769128,0.131626,3.27655,0.30879,0.0719155,-0.918965,83.364,10.5788,111.947,-0.847049,-3.0134,7.82688170671463,3.486603260040283,3.32671,193.07000732421875,,,,,,,729.3,5.1,729.3,5.1,,,,,,,,,,,,,,,,,,,"Jacob Wilson","33266",805779
"Xander Bogaerts","SDP",141,609,546,141,99,27,0,15,67,65,51,1,110,5,4,2,,17,4,0.257402,0.0831244,0.180821,0.459705,0.324198,0.388129,0.312545,0.712327,0.130727,4.1907,0.295895,0.521398,0.996464,71.706,-0.252061,103.427,1.51786,0.928468,3.9917192459106445,7.453467905521393,3.244,239.50999450683594,,,,,,,652,4.624113475,652,4.624113475,,,,,,,,,,,,,,,,,,,"Xander Bogaerts","12161",593428
"Carlos Correa","HOU",131,567,505,133,89,26,1,17,67,67,53,2,109,3,4,1,,1,1,0.26317,0.093786,0.192673,0.486762,0.334977,0.421127,0.329107,0.756103,0.157956,2.33894,0.30229,-0.0329021,-1.03857,74.3849,7.38951,111.829,-1.07147,1.41938,6.833322882652283,3.8443819284439087,3.08911,281.04998779296875,,,,,,,647.8,4.945038167,647.8,4.945038167,,,,,,,,,,,,,,,,,,,"Carlos Correa","14162",621043
"Oneil Cruz","PIT",125,539,476,115,66,23,3,23,72,71,55,2,158,4,4,0,,29,6,0.242357,0.101945,0.292944,0.348003,0.32331,0.450077,0.333184,0.773387,0.20772,6.69773,0.308466,0.466591,2.50492,72.4957,8.80866,111.943,2.97151,-0.693292,10.601171255111694,1.031707763671875,3.02492,94.19999694824219,,,,,,,683.3,5.4664,683.3,5.4664,,,,,,,,,,,,,,,,,,,"Oneil Cruz","21711",665833
"CJ Abrams","WSN",146,630,569,147,94,31,4,18,80,70,41,1,119,13,4,2,,32,7,0.257831,0.0652199,0.188701,0.345625,0.320474,0.421894,0.322149,0.742368,0.164062,6.56719,0.294544,0.845357,2.36976,79.0906,4.65128,106.287,3.21512,-6.99633,7.909738779067993,-1.246333122253418,2.82625,64.5199966430664,,,,,,,739.3,5.06369863,739.3,5.06369863,,,,,,,,,,,,,,,,,,,"CJ Abrams","25768",682928
"Joey Ortiz","MIL",146,630,570,141,95,31,4,13,74,63,47,1,111,5,4,4,,15,5,0.248374,0.074692,0.176739,0.422612,0.309554,0.380863,0.30216,0.690418,0.13249,5.48031,0.286464,0.587737,0.0875759,68.8666,-5.57271,93.3293,0.675313,4.10389,-4.3055999875068665,10.853886127471924,2.81447,744.22998046875,,,,,,,625,4.280821917,625,4.280821917,,,,,,,,,,,,,,,,,,,"Joey Ortiz","25493",687401
"Marcus Semien","NYM",149,644,575,135,91,25,2,18,74,71,59,1,108,4,5,1,,12,3,0.235428,0.0915039,0.168474,0.543132,0.308769,0.376813,0.301393,0.685582,0.141385,4.34382,0.259514,0.343887,0.180708,69.9959,-6.09767,95.3502,0.524595,6.54859,-3.024504542350769,8.648585557937622,2.76757,261.4700012207031,,,,,,,637.5,4.278523489,637.5,4.278523489,,,,,,,,,,,,,,,,,,,"Marcus Semien","12533",543760
"Colson Montgomery","CHW",139,602,531,121,75,23,3,21,72,68,54,1,174,11,4,1,,3,2,0.228673,0.0895921,0.289468,0.309507,0.310906,0.401933,0.31158,0.712838,0.17326,3.74867,0.295229,-0.0355541,-1.35194,70.41,-0.720895,98.9225,-1.38749,1.91903,-2.1519935131073,8.369027256965637,2.75598,244.69000244140625,,,,,,,622.9,4.481294964,622.9,4.481294964,,,,,,,,,,,,,,,,,,,"Colson Montgomery","29712",695657
"Ezequiel Tovar","COL",151,651,605,157,98,35,3,21,77,81,34,0,158,5,5,3,,9,4,0.26033,0.052595,0.242405,0.216972,0.302923,0.435389,0.317518,0.738312,0.175059,4.79639,0.316412,0.607937,-0.710298,79.2793,2.35866,89.442,-0.10236,6.22568,-8.248589113354683,13.200681686401367,2.72264,208.2899932861328,,,,,,,713.1,4.722516556,713.1,4.722516556,,,,,,,,,,,,,,,,,,,"Ezequiel Tovar","24064",678662
"JJ Wetherholt","STL",130,560,489,122,83,25,1,14,63,57,56,1,103,10,4,2,,13,3,0.250253,0.0996316,0.183863,0.54188,0.336534,0.391642,0.321099,0.728175,0.141388,4.4755,0.287843,0,0.4992,69.8254,3.65709,107.696,0.4992,-0.0399717,5.60713067650795,2.2100283466279507,2.70601,999,,,,,,,618.3,4.756153846,618.3,4.756153846,,,,,,,,,,,,,,,,,,,"JJ Wetherholt","sa3025154",802139
"Otto Lopez","MIA",141,609,554,146,104,28,3,12,69,61,42,1,96,5,4,4,,18,6,0.263485,0.0693054,0.158372,0.437612,0.318728,0.386825,0.308626,0.705552,0.12334,5.02512,0.298191,0.585462,0.316658,69.7679,-2.1901,95.6627,0.90212,1.01287,-2.228531539440155,7.537873983383179,2.61623,230.33999633789062,,,,,,,633.1,4.490070921,633.1,4.490070921,,,,,,,,,,,,,,,,,,,"Otto Lopez","19608",672640
