Name,Team,POS,ADP,PA,mR,mHR,mOBP,mSLG,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Aaron Judge ","NYY","OF/DH",1.9700000286102295,634.656,16.03466182384153,20.114859952122142,25.471799612009654,24.123987555549522,85.74530894352286,19.399045094560073,106.14435403808292,"Aaron Judge","15640",592450
"Shohei Ohtani ","LAD","DH",1.1100000143051147,658.176,19.85865609301379,20.46786377303237,14.397729468967317,23.820367199642636,78.54461653465611,13.41484422247035,92.95946075712646,"Shohei Ohtani","19755",660271
"Juan Soto ","NYM","OF",4.46999979019165,621.171,14.21768023373511,12.187691247796511,23.742688512089707,14.093434028250227,64.24149402187156,19.399045094560073,84.64053911643163,"Juan Soto","20123",665742
"Ronald Acuña Jr. ","ATL","OF",7.559999942779541,676.219,16.026135187734507,8.951204946378981,17.472625253660915,10.270725258379915,52.720690646154324,19.399045094560073,73.11973574071439,"Ronald Acuna Jr.","18401",660670
"Yordan Alvarez ","HOU","OF/DH",45.86000061035156,550.801,8.138268905167983,8.253472188530809,16.51457340437182,17.192678989699417,50.09899348777003,19.399045094560073,70.4980385823301,"Yordan Alvarez","19556",670541
"Vladimir Guerrero Jr. ","TOR","1B/DH",18.75,636.639,9.929236827764615,10.208687790912013,15.609210728407488,15.564968919964699,51.31210426704882,13.429901616173021,65.74200588322184,"Vladimir Guerrero Jr.","19611",665489
"Kyle Schwarber ","PHI","OF/DH",25.079999923706055,626.373,10.8708299850145,17.174045233101424,5.495408240985143,8.713397531523752,42.25368099062482,19.399045094560073,62.6527260851849,"Kyle Schwarber","16478",656941
"Cal Raleigh ","SEA","C/DH",19.170000076293945,614.647,7.479700647604319,15.233231367100323,-1.0775408459648912,6.5541585038501164,28.18954967258987,29.39278180200713,58.582331474597,"Cal Raleigh","21534",663728
"Fernando Tatis Jr. ","SDP","OF",14.079999923706055,617.682,11.077528122252799,8.519872410103867,7.5470302774483216,9.561737839101106,36.70616864890609,19.399045094560073,57.105213743466166,"Fernando Tatis Jr.","19709",665487
"Bobby Witt Jr. ","KCR","SS",3.2799999713897705,633.655,11.077489499859285,4.917095330153463,4.543400886399162,11.830521443066345,32.368507159478256,19.179832877914592,52.548340037392855,"Bobby Witt Jr.","25764",677951
"Ketel Marte ","ARI","2B/DH",39.75,601.272,8.446838061735104,4.520235864802471,8.776266692090845,7.956613847272438,29.69995446590086,18.156180408517134,48.856134874418,"Ketel Marte","13613",606466
"Kyle Tucker ","LAD","OF/DH",18.329999923706055,559.326,6.314979981105041,4.94664317028749,9.695370401362204,7.04976147860064,28.006755031355375,19.399045094560073,48.40580012591545,"Kyle Tucker","18345",663656
"Corbin Carroll ","ARI","OF",8.279999732971191,610.937,8.770241188365768,5.356419181877493,4.206790672746993,8.878174523544246,27.2116255665345,19.399045094560073,47.61067066109458,"Corbin Carroll","25878",682998
