Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mHR,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Tarik Skubal ","DET","SP",6.110000133514404,199.765,25.11489703956858,29.634061249117455,14.322805345139002,-8.542871361635626,60.5288922721894,17.438467205185578,78.96735947737498,"Tarik Skubal","22267",669373
"Paul Skenes ","PIT","SP",9.470000267028809,193.982,20.783849052289852,18.78009832652747,13.783359496391116,-5.940827091724004,47.40647978348443,17.438467205185578,65.84494698867,"Paul Skenes","33677",694973
"Garrett Crochet ","BOS","SP",10.079999923706055,192.855,17.562840338651174,19.798533088455454,13.968515693100436,-7.783367596833323,43.54652152337374,17.438467205185578,61.984988728559316,"Garrett Crochet","27463",676979
"Chris Sale ","ATL","SP",34.86000061035156,168.535,9.965180906328346,14.697648673777792,10.549639007424577,-6.477196926710721,28.73527166081999,17.438467205185578,47.173738866005564,"Chris Sale","10603",519242
"Zack Wheeler ","PHI","SP",147.77999877929688,125.797,7.122422748623267,11.291568797565374,4.317735768820264,-3.197887997998258,19.533839317010646,17.438467205185578,37.97230652219622,"Zack Wheeler","10310",554430
"Cristopher Sánchez ","PHI","SP",27.170000076293945,198.055,12.721162155004185,2.5908840248142804,9.14703600560406,-6.075344970155806,18.383737215266716,17.438467205185578,36.822204420452294,"Cristopher Sanchez","20778",650911
"Cole Ragans ","KCR","SP",48.560001373291016,172.018,9.106046178642133,4.0165392685742365,11.063273915304253,-6.242869848288186,17.942989514232437,17.438467205185578,36.38145671941802,"Cole Ragans","21846",666142
"Logan Gilbert ","SEA","SP",37.75,166.486,4.014880118631988,13.719407471339345,8.145096948986673,-9.111604411932346,16.767780127025663,17.438467205185578,35.206247332211234,"Logan Gilbert","22250",669302
"Jacob deGrom ","TEX","SP",46.560001373291016,174.797,1.7196932789890764,15.265742122156402,10.244675123851646,-11.30708491953317,15.923025605463957,17.438467205185578,34.36149281064954,"Jacob deGrom","10954",594798
"Mason Miller ","SDP","RP",27.030000686645508,66,13.201728820419794,10.81382722187763,0.19454354253877632,5.000666631937957,29.210766216774164,4.116523579825635,34.3272897965998,"Mason Miller","31757",695243
"George Kirby ","SEA","SP",64.19000244140625,178.218,0.9259479143379317,11.852502626458374,7.3247135081866785,-10.134950159528344,9.968213889454638,17.438467205185578,28.406681094640216,"George Kirby","25436",669923
