Name,Team,POS,ADP,PA,mR,mHR,mOBP,mSLG,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Aaron Judge ","NYY","OF/DH",1.850000023841858,644,7.65972717968887,9.40697318130442,14.0844187696371,12.2201869440659,43.3713060746962,11.814598579229523,56.18590465392571,"Aaron Judge","15640",592450
"Shohei Ohtani ","LAD","DH",1.25,679,11.2206383515634,11.5384625725167,9.35642420571884,14.7067687562482,46.8222938860471,8.135422368250191,55.95771625429737,"Shohei Ohtani","19755",660271
"Juan Soto ","NYM","OF",4.599999904632568,686,8.25321237500132,7.27548379009219,13.9418311506858,7.83164342496032,37.3021707407395,11.814598579229523,50.11676931996909,"Juan Soto","20123",665742
"Ronald Acuña Jr. ","ATL","OF",5.429999828338623,651,8.45104077343874,4.29139864239502,10.4408597074627,6.23961481101038,29.4229139343068,11.814598579229523,42.23751251353638,"Ronald Acuna Jr.","18401",660670
"Kyle Schwarber ","PHI","OF/DH",24.110000610351562,686,6.07709999218909,9.83327105954694,2.91309517719564,5.29393277961794,24.1173990085496,11.814598579229523,36.9319975877791,"Kyle Schwarber","16478",656941
"Kyle Tucker ","LAD","OF/DH",13.229999542236328,651,5.68144319531414,5.14399439887993,6.45264767962709,5.9111426976625,23.1892279714837,11.814598579229523,36.00382655071317,"Kyle Tucker","18345",663656
"Vladimir Guerrero Jr. ","TOR","1B/DH",18.420000076293945,679,5.08795800000172,5.57029227712238,8.25414538564744,7.93044794300796,26.8428436057795,8.135422368250191,35.97826597402969,"Vladimir Guerrero Jr.","19611",665489
"Yordan Alvarez ","HOU","OF/DH",33.099998474121094,560,2.51618882031456,4.02932468942197,7.94946262163791,7.8701644476951,22.3651405790695,11.814598579229523,35.179739158299064,"Yordan Alvarez","19556",670541
"Fernando Tatis Jr. ","SDP","OF",14.180000305175781,672,6.47275678906403,3.86510076415257,4.4303294769413,4.06984496087691,18.8380319910348,11.814598579229523,31.65263057026434,"Fernando Tatis Jr.","19709",665487
"Nick Kurtz ","ATH","1B/DH",18.799999237060547,616,4.89012960156424,6.42288803360729,3.20620077879937,6.89655903770614,21.415777451677,8.135422368250191,30.55119981992723,"Nick Kurtz","35110",701762
