Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mHR,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Tarik Skubal ","DET","SP",6.880000114440918,200,24.260060028059232,25.98255643342837,13.719572813209073,-4.37340192003614,59.588787354660546,23.25030562538793,89.5746578464701,"Tarik Skubal","22267",669373
"Paul Skenes ","PIT","SP",9.819999694824219,189,18.425513082907315,15.637914948177182,11.42923016769677,-2.75326625722574,42.73939194155553,23.25030562538793,71.55865380843572,"Paul Skenes","33677",694973
"Garrett Crochet ","BOS","SP",11.949999809265137,197,17.812388985293406,13.9040899693173,13.719572813209073,-5.18346975144133,40.25258201637845,23.25030562538793,68.89966358621278,"Garrett Crochet","27463",676979
"Logan Webb ","SFG","SP",57.95000076293945,202,11.673503879571678,5.008417451732523,7.914079807025251,-1.94319842582054,22.652802712508908,23.25030562538793,50.08132101467973,"Logan Webb","17995",657277
"Cristopher Sánchez ","PHI","SP",25.649999618530273,200,11.854751326591241,5.88732184727999,8.12909806651354,-3.56333408863094,22.307837151753834,23.25030562538793,49.7124709293697,"Cristopher Sanchez","20778",650911
"Chris Sale ","ATL","SP",38.900001525878906,165,7.577948624774342,7.424386526060973,10.753117196194705,-3.8479525158814,21.907499831148613,23.25030562538793,49.284415286554776,"Chris Sale","10603",519242
"Bryan Woo ","SEA","SP",35.099998474121094,195,5.588327730844975,13.666592443412064,8.55913458549012,-9.23380890846732,18.580245851279848,23.25030562538793,45.726790833735606,"Bryan Woo","30279",693433
"Max Fried ","NYY","SP",49.9900016784668,189,8.087755831683985,3.357493812197616,6.376301069721962,-2.75326625722574,15.068284456377828,23.25030562538793,41.97167030147218,"Max Fried","13743",608331
"Hunter Brown ","HOU","SP",36.720001220703125,183,6.926528304834245,2.0018629075764935,9.08314204750232,-4.37340192003614,13.63813133987693,23.25030562538793,40.44249707654758,"Hunter Brown","25880",686613
"Zack Wheeler ","PHI","SP",113.11000061035156,157,3.2729099886484674,6.175079613959165,8.234218104485592,-4.13257094313188,13.54963676396134,23.25030562538793,40.34787536473237,"Zack Wheeler","10310",554430
"Jacob deGrom ","TEX","SP",49.63999938964844,169,1.4602621418586172,10.002743344654082,9.163574803829421,-7.75598245928215,12.87059783105997,23.25030562538793,39.62182152973134,"Jacob deGrom","10954",594798
"Logan Gilbert ","SEA","SP",36.90999984741211,163,2.3665860652535424,8.088911479306615,8.537632759541289,-6.13584679647177,12.857283507629683,23.25030562538793,39.6075853569309,"Logan Gilbert","22250",669302
"Cole Ragans ","KCR","SP",47.599998474121094,163,2.3665860652535424,1.390499950590489,11.117851873400765,-2.89557547085098,11.979362418393823,23.25030562538793,38.668879278702896,"Cole Ragans","21846",666142
"Yoshinobu Yamamoto ","LAD","SP",26.760000228881836,155,2.1966503296169986,5.165001685025775,7.738879743738496,-3.32250311172669,11.77802864665458,23.25030562538793,38.453605676551824,"Yoshinobu Yamamoto","33825",808967
"George Kirby ","SEA","SP",64.51000213623047,173,1.5452300096768887,8.115492477436453,6.928977632999272,-5.99353758284653,10.596162537266089,23.25030562538793,37.18991020991221,"George Kirby","25436",669923
"Framber Valdez ","DET","SP",82.73999786376953,195,6.622103455967309,-3.079436378378254,6.731479379839659,-2.75326625722574,7.520880200202975,23.25030562538793,33.90170326573113,"Framber Valdez","17295",664285
"Shane McClanahan ","TBR","SP",194.60000610351562,139,0.8230031332215672,0.43358401791676776,7.323974139318498,-2.79705370757197,5.783507582884868,23.25030562538793,32.04403945514545,"Shane McClanahan","21483",663556
"Dylan Cease ","TOR","SP",73.58000183105469,173,0.511454284554556,-1.3739238549113924,10.47677891455605,-5.18346975144133,4.430839592757887,23.25030562538793,30.597716226639964,"Dylan Cease","18525",656302
"Joe Ryan ","MIN","SP",79.36000061035156,167,-3.7511004176621827,6.201660612088988,8.77574557282647,-8.56605029068735,2.6602554765659217,23.25030562538793,28.704541438766935,"Joe Ryan","21390",657746
"Jesús Luzardo ","PHI","SP",71.88999938964844,179,-2.462421089085022,1.0981089711624175,9.382574882937865,-7.61367324565692,0.40458951935834336,23.25030562538793,26.29269899592764,"Jesus Luzardo","19959",666200
"Ben Brown ","CHC","SP/RP",730.6099853515625,71,-0.7485178810217306,0.6163487194667149,-4.234451854063115,4.53734422542103,0.17072320980290184,23.25030562538793,26.04264038705708,"Ben Brown","23590",676962
"Sonny Gray ","BOS","SP",137.1300048828125,178,-1.9667751934784237,-1.360633355846489,8.27483266461116,-5.99353758284653,-1.0461134675602768,23.25030562538793,24.74155308062752,"Sonny Gray","12768",543243
"Drew Rasmussen ","TBR","SP",136.58999633789062,160,-2.349130598660659,-0.40371742317276,5.106896974817025,-3.56333408863094,-1.209285135647328,23.25030562538793,24.567083827632082,"Drew Rasmussen","25385",656876
"Shohei Ohtani ","LAD","SP",1.25,116,-5.35132859490634,-2.53019727355883,7.755603386143138,-2.129295089792,-2.255217572114039,23.25030562538793,23.44873373037937,"Shohei Ohtani","19755",660271
"Brandon Woodruff ","MIL","SP",135.9499969482422,151,-5.124747614057616,0.9120419842536361,7.500766930453315,-6.278156010097,-2.9900947094476638,23.25030562538793,22.662975597873064,"Brandon Woodruff","16162",605540
"Nathan Eovaldi ","TEX","SP",136.3800048828125,173,-3.6236486159347754,0.8588799879939831,6.283922854534402,-6.94591462787697,-3.4267604012833504,23.25030562538793,22.1960763012215,"Nathan Eovaldi","9132",543135
"Spencer Strider ","ATL","SP",107.79000091552734,159,-5.988587603543392,-2.304258789455307,9.804647762674136,-5.4680881786918,-3.9562868090163654,23.25030562538793,21.62988685251618,"Spencer Strider","27498",675911
"Kyle Bradish ","BAL","SP",73.38999938964844,137,-4.388359426299234,-5.042101596827375,6.936144908315546,-1.70236744891629,-4.196683563727356,23.25030562538793,21.37284564733234,"Kyle Bradish","24586",680694
"Nick Pivetta ","SDP","SP",95.63999938964844,173,-5.691200066179442,2.5334828701730148,9.079160227882168,-10.996253784903,-5.074810753027199,23.25030562538793,20.433919199204176,"Nick Pivetta","15454",601713
"Blake Snell ","LAD","SP",163.75,132,-3.9776813985109136,-8.962798820976701,9.353109417748726,-1.98698587616677,-5.574356677905658,23.25030562538793,19.89978600456183,"Blake Snell","13543",605483
"Tyler Glasnow ","LAD","SP",118.3499984741211,133,-5.507103019239845,-4.829453611788762,8.310669041192538,-3.60712153897717,-5.633009128813231,23.25030562538793,19.83707260942305,"Tyler Glasnow","14374",607192
"Ranger Suarez ","BOS","SP",183.4600067138672,169,-0.6072893083860483,-7.859687398588925,4.970718743807774,-2.89557547085098,-6.3918334340181735,23.25030562538793,19.025709268985448,"Ranger Suarez","17277",624133
"Mason Miller ","SDP","RP",28.690000534057617,66,9.525470125189338,9.512021237051476,-1.2241962212270596,6.15747988823142,23.970775029245182,1.627589215455302,18.918854971290337,"Mason Miller","31757",695243
"Michael King ","SDP","SP",127.94999694824219,161,-2.844776494267258,-6.317989507059013,7.827276139305903,-5.32577896506657,-6.66126882708693,23.25030562538793,18.73761886511608,"Michael King","19853",650633
"MacKenzie Gore ","TEX","SP",164.8699951171875,160,-5.450457774027658,-5.9857270304362,9.192243905094529,-4.51571113366138,-6.759652033030697,23.25030562538793,18.632423860066876,"MacKenzie Gore","22201",669022
"Luis Castillo ","SEA","SP",171.5399932861328,179,-3.4961968142073547,-1.1346948717429586,6.15730099061352,-8.42374107706212,-6.897331772398907,23.25030562538793,18.485211531102006,"Luis Castillo","15689",622491
"Freddy Peralta ","NYM","SP",56.459999084472656,162,-5.4079738401185224,-3.859247180050122,8.504981838656033,-6.13584679647177,-6.8980859779843735,23.25030562538793,18.48440510626953,"Freddy Peralta","18679",642547
"Kevin Gausman ","TOR","SP",114.97000122070312,182,-3.9493587759048174,-2.689683262337773,7.007817661478312,-8.42374107706212,-8.05496545382639,23.25030562538793,17.247426283155303,"Kevin Gausman","14107",592332
"Eric Lauer ","TOR","SP/RP",747.6400146484375,66,-2.879838576278654,-2.2101989382017466,-6.062107059713578,2.91720856261064,-8.234936011583338,23.25030562538793,17.054995028752277,"Eric Lauer","19316",641778
"Chase Burns ","CIN","SP",103.2699966430664,107,-9.160721335425622,-6.238246512669546,6.816690319710942,-0.74999040388586,-9.332267932270085,23.25030562538793,15.881686679731024,"Chase Burns","35333",695505
"Yoendrys Gómez ","TBR","SP/RP",999,54,-3.859905344405938,-3.076983132906795,-6.814670967922591,4.25272579817056,-9.498833647064767,23.25030562538793,15.703588384999032,"Yoendrys Gomez","22872",672782
"Joe Musgrove ","SDP","SP",278.6000061035156,158,-6.526717433059128,-3.0883982342851657,5.364122522278941,-5.4680881786918,-9.719081323757154,23.25030562538793,15.468091327960916,"Joe Musgrove","12970",605397
