FG ID,Team,G_mySGP,PA_mySGP,AB_mySGP,H_mySGP,1B_mySGP,2B_mySGP,3B_mySGP,HR_mySGP,R_mySGP,RBI_mySGP,BB_mySGP,HBP_mySGP,SF_mySGP,WAR_mySGP,ADP_mySGP,POS_mySGP,Ottoneu ID,Ottoneu Positions,Name,OBP_mySGP,TB_mySGP,SLG_mySGP,Pos Place_mySGP,R_SGP_raw_mySGP,HR_SGP_raw_mySGP,OBP_SGP_raw_mySGP,SLG_SGP_raw_mySGP,TOTAL_SGP_raw_mySGP,R_SGP_repl_mySGP,Repl_Pos_mySGP,R_SGP_norm_mySGP,HR_SGP_repl_mySGP,HR_SGP_norm_mySGP,OBP_SGP_repl_mySGP,OBP_SGP_norm_mySGP,SLG_SGP_repl_mySGP,SLG_SGP_norm_mySGP,TOTAL_SGP_mySGP,TOTAL_SGP_Rank_mySGP,TOTAL_SGP_Val_mySGP,R_SGP_Val_mySGP,HR_SGP_Val_mySGP,OBP_SGP_Val_mySGP,SLG_SGP_Val_mySGP,W_mySGP,L_mySGP,QS_mySGP,GS_mySGP,SV_mySGP,HLD_mySGP,IP_mySGP,TBF_mySGP,ER_mySGP,SO_mySGP,HR9_mySGP,ERA_mySGP,WHIP_mySGP,SO_SGP_raw_mySGP,HR9_SGP_raw_mySGP,ERA_SGP_raw_mySGP,WHIP_SGP_raw_mySGP,SO_SGP_repl_mySGP,SO_SGP_norm_mySGP,HR9_SGP_repl_mySGP,HR9_SGP_norm_mySGP,ERA_SGP_repl_mySGP,ERA_SGP_norm_mySGP,WHIP_SGP_repl_mySGP,WHIP_SGP_norm_mySGP,SO_SGP_Val_mySGP,HR9_SGP_Val_mySGP,ERA_SGP_Val_mySGP,WHIP_SGP_Val_mySGP,POS_FGAV,ADP_FGAV,PA_FGAV,mR_FGAV,mHR_FGAV,mOBP_FGAV,mSLG_FGAV,PTS_FGAV,aPOS_FGAV,Dollars_FGAV,NameASCII_FGAV,MLBAMID_FGAV,IP_FGAV,mERA_FGAV,mWHIP_FGAV,mSO_FGAV,Dollars_Vibbot,Ottoneu_Avg,Ottoneu_Med,Ottoneu_Min,Ottoneu_Max,Ottoneu_L10,Roster%,TeamID,Team Name,Salary
10061,NYM,60.6994,,,50.97252,,,,7.450292,25.91836,,22.09612,3.064604,,0.3549446,749.4199829101562,['RP'],4970,RP,Brooks Raley,,,,285.0,,,,,1.5762857981393497,,RP,,,,,,,,0.0819679088293591,264.0,0.3899309390871582,,,,,3.005452,2.556932,0.0,0.0,0.6523744,13.962,59.7014,253.8124,23.892919999999997,61.416720000000005,1.1231332598565529,3.601863272888073,1.2239016170475066,1.2923650760257843,-0.2117628563958061,0.2866182481917481,0.209065330317623,1.497493347391608,-0.2051282713658233,-0.1919195428809544,-0.0198433135148517,0.0823495286588937,0.2042687195328543,0.1063945561404431,0.1026707741771799,-2.54683439817885,-0.3520564290855674,4.717806197070881,3.8016174418740287,RP,748.8099975585938,,,3.1873382785404454,,,-9.286891439884204,4.116523579825635,-4.170367860058569,Brooks Raley,548384.0,62.0,-3.3158073905894017,-4.811870080040212,-4.346552247795038,,,,,,,,,,
10078,CHC,65.70708,,,54.63908000000001,,,,7.948096,28.73816,,22.5338,2.47402,,0.3996972,748.9400024414062,['RP'],6225,RP,Caleb Thielbar,,,,274.0,,,,,1.93149628906526,,RP,,,,,,,,0.4371783997552694,214.0,2.079708832392888,,,,,2.9457319999999996,2.938668,0.0,0.0,1.035276,15.8818,64.51868,268.5604,26.03112,66.48364000000001,1.108715553387019,3.631197662444426,1.1961323449270815,1.3989860491258876,-0.1570460430063545,0.2655828981976149,0.4239733847481117,1.497493347391608,-0.0985072982657202,-0.1919195428809544,0.0348734998745998,0.0823495286588937,0.1832333695387212,0.1063945561404431,0.3175788286076686,-1.2230482615796068,0.6187192389203825,4.231972121316005,11.75907383265041,RP,749.219970703125,,,2.2980062566001163,,,-5.103908702190901,4.116523579825635,0.0126148776347343,Caleb Thielbar,573204.0,66.0,-1.8140449551420732,-2.196320221812965,-3.391549781835979,,3.0,3.0,3.0,3.0,1.0,29.167,,,
10155,LAA,129.1444,556.3820000000001,472.4704,113.9432,65.56196,19.0102,1.917732,27.453159999999997,73.6606,73.83592,73.2192,6.691312,3.828264,2.3208140000000004,214.5800018310547,['OF'],6305,OF,Mike Trout,0.3485266341596637,219.148196,0.4638347629819773,95.0,2.913499419151414,2.3854881635633487,0.4654042149822109,0.3577268933593051,6.122118691056278,2.2542982928583335,OF,0.6592011262930804,0.95834673618109,1.427141427382259,-0.1959283330111939,0.6613325479934049,-0.3583330628058189,0.7160599561651241,3.4637350578338677,32.0,21.9943682444964,12.707827762170162,24.785607086395142,35.21775204914067,24.361076802994376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OF/DH,215.11000061035156,421.702,-5.931576413854454,-1.2345622342567653,1.2646598041678656,-0.850868720710177,-6.752347564653532,19.399045094560073,13.646697529906543,Mike Trout,545361.0,,,,,20.6,35.7,35.0,17.0,72.0,32.7,83.333,112.0,Hornswogglers,28.0
10197,,,,,,,,,,,,,,,,,,6289,RP,Shelby Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,4.0,3.0,7.0,1.5,20.833,,,
10231,,,,,,,,,,,,,,,,,,5098,2B/SS/3B,Jose Iglesias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2B/3B/SS/DH,749.1699829101562,168.673,-20.473736468662356,-17.572174843449467,-2.273437277366723,-5.122795603194873,-45.44214419267341,19.179832877914592,-25.262311314758815,Jose Iglesias,578428.0,,,,,,,,,,,,,,
10233,BOS,61.23632,,,43.44752,,,,5.717836,21.78324,,26.86136,2.596076,,1.232904,46.84000015258789,['RP'],5644,RP,Aroldis Chapman,,,,143.0,,,,,4.560754085479748,,RP,,,,,,,,3.066436196169757,50.0,14.587396002898302,,,,,3.355612,3.1996399999999996,0.0,0.0,30.385,2.353536,60.556439999999995,248.872,19.89656,82.58592,0.8497944066725192,2.957060223487378,1.161047115715521,1.7378192580043244,1.034686846482104,1.148008433479246,0.6402395475140733,1.497493347391608,0.2403259106127164,-0.1919195428809544,1.2266063893630583,0.0823495286588937,1.0656589048203522,0.1063945561404431,0.5338449913736302,2.9838417291128185,21.76222559853688,24.612540758187876,19.766817253766877,RP,46.060001373291016,,,4.72071046485449,,,9.655242033349952,4.116523579825635,14.771765613175589,Aroldis Chapman,547973.0,62.0,5.785336545610483,0.7895713185557678,-1.640376295670788,9.7,5.54,5.5,3.0,10.0,1.9,100.0,55.0,Jack Klugman's Second Best Lung,3.0
10243,,,,,,,,,,,,,,,,,,6320,OF,Randal Grichuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OF/DH,750.469970703125,187.449,-18.37201945247995,-13.0989256950401,-2.8589925170707047,-1.0679519878473505,-35.3978896524381,19.399045094560073,-14.99884455787803,Randal Grichuk,545341.0,,,,,,,,,,,,,,
10310,PHI,20.43608,,,99.19724,,,,14.797160000000002,47.29112,,33.47524,5.116168,,2.875334,148.4499969482422,['SP'],15962,SP,Zack Wheeler,,,,29.0,,,,,4.62135226499575,,SP,,,,,,,,3.788155212204811,31.0,18.02069786089092,,,,,9.304912,5.024288,12.69184,20.43608,0.0,0.0,123.6288,500.6344,43.3638,144.4812,1.0772121059170678,3.1568226820934924,1.0731518869389658,3.040254462014522,0.23149025966046,0.6370716726948663,0.7125358706259014,1.8304029911828572,1.209851470831665,-0.4100188658947834,0.6415091255552434,-0.3528134835217322,0.9898851562165986,-0.2343735889754022,0.9469094596013036,15.021290444680934,11.38153725181776,22.862464380582825,35.06146268346667,SP,147.77999877929688,,,-3.197887997998258,,,19.53383931701065,17.438467205185578,37.97230652219622,Zack Wheeler,554430.0,125.797,7.122422748623267,11.291568797565374,4.317735768820264,22.6,29.44,30.5,16.0,37.0,25.7,75.0,197.0,St. CGT VI,32.0
10323,,,,,,,,,,,,,,,,,,9018,OF,Rafael Ortega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OF,999.0,5.20567,-26.56085818711488,-19.523860834635883,-0.0788735056956603,-0.1828496202911062,-46.34644214773753,19.399045094560073,-25.947397053177458,Rafael Ortega,542364.0,,,,,,,,,,,,,,
10324,,,,,,,,,,,,,,,,,,6130,Util,Marcell Ozuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DH,331.75,454.962,-4.858093724653672,-0.7663392053958924,0.3038889811961077,-1.4948714046554008,-6.8154153535088575,13.41484422247035,7.599428868961493,Marcell Ozuna,542303.0,,,,,11.1,9.75,8.5,6.0,17.0,4.1,50.0,197.0,St. CGT VI,10.0
