,TeamID,Team Name,ottoneu ID,FG MajorLeagueID,FG MinorLeagueID,Name,MLB Team,Position(s),Salary
0,55,Jack Klugman's Second Best Lung,39108,28163.0,sa3015532,Junior Caminero,TBR,3B,34
1,55,Jack Klugman's Second Best Lung,23767,19612.0,sa917949,Bo Bichette,NYM,SS,23
2,55,Jack Klugman's Second Best Lung,37094,27676.0,sa1115762,Vinnie Pasquantino,KCR,1B,17
3,55,Jack Klugman's Second Best Lung,36030,26517.0,sa3008745,Noelvi Marte,CIN,3B/OF,14
4,55,Jack Klugman's Second Best Lung,36922,25768.0,sa3010152,CJ Abrams,WSN,SS,14
5,55,Jack Klugman's Second Best Lung,22655,18839.0,sa874243,Josh Naylor,SEA,1B,12
6,55,Jack Klugman's Second Best Lung,33670,23796.0,sa3008436,Ryan Weathers,NYY,SP,11
7,55,Jack Klugman's Second Best Lung,37635,28080.0,sa3014696,Jasson Dominguez,NYY,OF,11
8,55,Jack Klugman's Second Best Lung,23856,14551.0,sa659463,Anthony Santander,TOR,OF,11
9,55,Jack Klugman's Second Best Lung,38456,,sa3014693,Emmanuel Rodriguez,MIN ST,OF,8
10,55,Jack Klugman's Second Best Lung,40255,29576.0,sa3016974,Ben Rice,NYY,C/1B,6
11,55,Jack Klugman's Second Best Lung,23814,19427.0,sa873698,Shane Bieber,TOR,SP,5
12,55,Jack Klugman's Second Best Lung,27058,23772.0,sa3005082,Wilyer Abreu,BOS,OF,4
13,55,Jack Klugman's Second Best Lung,44544,33927.0,sa3023634,Grant Taylor,CHW,SP/RP,4
14,55,Jack Klugman's Second Best Lung,43966,33322.0,sa3022615,Matt Shaw,CHC,3B,4
15,55,Jack Klugman's Second Best Lung,38320,27465.0,sa3014504,Spencer Torkelson,DET,1B,4
16,55,Jack Klugman's Second Best Lung,38367,27496.0,sa3014465,Owen Caissie,MIA,OF,4
17,55,Jack Klugman's Second Best Lung,33395,20539.0,sa921576,Edwin Uceta,TBR,RP,4
18,55,Jack Klugman's Second Best Lung,26154,22715.0,sa3003246,Maikel Garcia,KCR,2B/SS/3B/OF,3
19,55,Jack Klugman's Second Best Lung,5644,10233.0,sa523977,Aroldis Chapman,BOS,RP,3
20,55,Jack Klugman's Second Best Lung,35602,25327.0,sa3008177,Abner Uribe,MIL,RP,3
21,55,Jack Klugman's Second Best Lung,34103,24094.0,sa3005835,Ronny Henriquez,MIA,RP,3
22,55,Jack Klugman's Second Best Lung,33424,22487.0,sa922365,Johan Oviedo,BOS,SP,3
23,55,Jack Klugman's Second Best Lung,18547,18564.0,sa874246,Trent Grisham,NYY,OF,3
24,55,Jack Klugman's Second Best Lung,22694,17606.0,sa874816,Cristian Javier,HOU,SP,3
25,55,Jack Klugman's Second Best Lung,40936,30165.0,sa3018096,Ricky Tiedemann,TOR CPX,RP,2
26,55,Jack Klugman's Second Best Lung,37812,,sa3011495,Daniel Espino,CLE ST,RP,2
27,55,Jack Klugman's Second Best Lung,45715,,sa3025257,Charlie Condon,COL ST,1B,2
28,90,Carlos Pérez's K-Dance,18122,12916.0,sa597754,Francisco Lindor,NYM,SS,39
29,90,Carlos Pérez's K-Dance,18236,14374.0,sa597835,Tyler Glasnow,LAD,SP,34
30,90,Carlos Pérez's K-Dance,37201,25880.0,sa3010571,Hunter Brown,HOU,SP,27
31,90,Carlos Pérez's K-Dance,14893,11477.0,sa548190,Christian Yelich,MIL,OF,25
32,90,Carlos Pérez's K-Dance,18479,17919.0,sa827194,Ian Happ,CHC,OF,24
33,90,Carlos Pérez's K-Dance,18786,17085.0,sa736473,Pablo Lopez,MIN,SP,23
34,90,Carlos Pérez's K-Dance,9335,9132.0,sa455169,Nathan Eovaldi,TEX,SP,15
35,90,Carlos Pérez's K-Dance,18359,16137.0,sa598286,Carlos Rodon,NYY,SP,14
36,90,Carlos Pérez's K-Dance,38374,27899.0,sa3014474,Colt Keith,DET,1B/2B/3B,12
37,90,Carlos Pérez's K-Dance,36669,25816.0,sa3010329,Shea Langeliers,ATH,C,12
38,90,Carlos Pérez's K-Dance,9668,12552.0,sa505033,Eugenio Suarez,CIN,3B,11
39,90,Carlos Pérez's K-Dance,31194,17277.0,sa659551,Ranger Suarez,BOS,SP,10
40,90,Carlos Pérez's K-Dance,18397,16556.0,sa830219,Ozzie Albies,ATL,2B,9
41,90,Carlos Pérez's K-Dance,40095,29668.0,sa3017114,Marcelo Mayer,BOS,2B/SS/3B,9
42,90,Carlos Pérez's K-Dance,18506,18314.0,sa659260,Dansby Swanson,CHC,SS,9
43,90,Carlos Pérez's K-Dance,35566,21455.0,sa3008128,Kris Bubic,KCR,SP,8
44,90,Carlos Pérez's K-Dance,43932,33189.0,sa3022430,Nolan Schanuel,LAA,1B,6
45,90,Carlos Pérez's K-Dance,31703,19470.0,sa873704,Tommy Edman,LAD,2B/3B/OF,5
46,90,Carlos Pérez's K-Dance,43879,33527.0,sa3022942,Hurston Waldrep,ATL,SP,5
47,90,Carlos Pérez's K-Dance,32051,21992.0,sa916835,Camilo Doval,NYY,RP,4
48,90,Carlos Pérez's K-Dance,31541,20302.0,sa829588,David Peterson,NYM,SP,3
49,90,Carlos Pérez's K-Dance,18491,17901.0,sa738659,Andrew Benintendi,CHW,OF,3
50,90,Carlos Pérez's K-Dance,18383,14854.0,sa503161,Mike Yastrzemski,ATL,OF,3
51,90,Carlos Pérez's K-Dance,23833,19918.0,sa3002838,Daulton Varsho,TOR,OF,3
52,112,Hornswogglers,18284,13510.0,sa598784,José Ramírez,CLE,3B,57
53,112,Hornswogglers,33654,21534.0,sa3008377,Cal Raleigh,SEA,C,28
54,112,Hornswogglers,21015,17995.0,sa828873,Logan Webb,SFG,SP,18
55,112,Hornswogglers,14393,10603.0,sa392121,Chris Sale,ATL,SP,17
56,112,Hornswogglers,42126,31781.0,sa3020241,Jackson Holliday,BAL,2B/SS,17
57,112,Hornswogglers,33685,24617.0,sa3006786,Jarren Duran,BOS,OF,17
58,112,Hornswogglers,12398,11609.0,sa508176,Willson Contreras,BOS,1B,14
59,112,Hornswogglers,23794,22264.0,sa3004765,Shane Baz,BAL,SP,14
60,112,Hornswogglers,42156,31347.0,sa3019855,Zach Neto,LAA,SS,13
61,112,Hornswogglers,35196,21390.0,sa3007584,Joe Ryan,MIN,SP,13
62,112,Hornswogglers,40714,29995.0,sa3017698,Daylen Lile,WSN,OF,12
63,112,Hornswogglers,45947,,sa3025452,Carson Benge,NYM ST,OF,12
64,112,Hornswogglers,37841,26319.0,sa3011540,Michael Busch,CHC,1B,9
65,112,Hornswogglers,37649,26221.0,sa3011244,Ryan Pepiot,TBR,SP,8
66,112,Hornswogglers,45709,,sa3025129,Travis Bazzana,CLE ST,2B,8
67,112,Hornswogglers,44057,33321.0,sa3022614,Luke Keaschall,MIN,2B,8
68,112,Hornswogglers,42765,31986.0,sa3020748,Parker Messick,CLE,SP,8
69,112,Hornswogglers,42719,31872.0,sa3020860,Cade Horton,CHC,SP,7
70,112,Hornswogglers,37480,26151.0,sa1115829,Kyle Stowers,MIA,OF,7
71,112,Hornswogglers,21200,17128.0,sa829185,Ramon Laureano,SDP,OF,7
72,112,Hornswogglers,35939,21636.0,sa876320,Jeremy Pena,HOU,SS,7
73,112,Hornswogglers,36738,25477.0,sa3009884,Isaac Collins,KCR,OF,7
74,112,Hornswogglers,43589,32095.0,sa3021981,Cam Schlittler,NYY,SP,6
