Team,R,HR,OBP,SLG,K,HR9,ERA,WHIP,TOTAL,CHG
St. CGT VI,10.0,9.0,12.0,7.0,11.0,10.0,10.0,11.0,80.0,0.0
The Rime of Jamie Moyer,12.0,12.0,10.0,12.0,8.0,6.0,9.0,8.0,77.0,0.0
Hornswogglers,11.0,11.0,8.0,10.0,10.0,8.0,7.0,6.0,71.0,1.0
Largely Indistinguishables,4.0,1.0,6.0,3.0,12.0,11.0,12.0,12.0,61.0,0.0
Carlos Pérez's K-Dance,5.0,7.0,3.0,8.0,4.0,12.0,11.0,10.0,60.0,0.0
Roberto Big Piece and the 69ers,6.0,10.0,11.0,11.0,5.0,9.0,3.0,2.0,57.0,0.0
Yoshi Teddy Bear,9.0,8.0,7.0,9.0,9.0,1.0,5.0,7.0,55.0,0.0
Smoak and Mirrors,8.0,4.0,9.0,5.0,6.0,5.0,6.0,9.0,52.0,1.0
Roar from 34,7.0,3.0,4.0,4.0,7.0,7.0,8.0,5.0,45.0,0.0
Jack Klugman's Second Best Lung,2.0,6.0,5.0,6.0,0.0,0.0,0.0,0.0,19.0,9.0
Chili Dog MVP,1.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,18.0,1.0
🦫 Beavers in Scoring Position!,3.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,9.0
