TEAM,G,R,HR,OBP,SLG,IP,K,HR9,ERA,WHIP
St. CGT VI,1944,1122,336,0.34735,0.46508,1496.2,1676,0.97351,3.68373,1.18518
Jack Klugman's Second Best Lung,1778,1063,382,0.35217,0.49435,1329.1,1428,1.17803,3.80491,1.23445
Roar from 34,1854,1000,290,0.32610,0.45572,1448.2,1618,1.04993,3.54740,1.18868
Carlos Pérez's K-Dance,1843,1010,287,0.33415,0.43984,1387.2,1485,1.02474,3.70982,1.19481
Yoshi Teddy Bear,1904,1076,331,0.33498,0.46496,1506.2,1558,1.26040,4.20531,1.29690
The Rime of Jamie Moyer,1941,1022,284,0.33716,0.44023,1337.2,1416,1.13705,3.92923,1.21929
🦫 Beavers in Scoring Position!,1907,1054,337,0.31994,0.45165,1465.1,1522,1.16083,3.91242,1.28230
Hornswogglers,1922,1004,271,0.32143,0.42587,1269.1,1354,1.07773,3.72952,1.15021
Roberto Big Piece and the 69ers,1816,1014,269,0.34049,0.43994,1397.2,1392,1.16053,3.84066,1.29803
Smoak and Mirrors,1863,1005,224,0.33878,0.42077,1493.1,1564,1.10290,3.96563,1.23750
Largely Indistinguishables,1802,831,220,0.31928,0.40964,1501.1,1570,1.17496,3.89054,1.21559
Chili Dog MVP,1893,1015,259,0.32456,0.43106,1350.1,1171,1.34633,4.63885,1.35670
