Team,R,HR,OBP,SLG,K,HR9,ERA,WHIP,TOTAL,CHG
St. CGT VI,11.0,8.0,12.0,6.0,12.0,12.0,11.0,11.0,83.0,0.0
Jack Klugman's Second Best Lung,10.0,10.0,10.0,11.0,9.0,11.0,8.0,7.0,76.0,2.0
🦫 Beavers in Scoring Position!,12.0,12.0,7.0,10.0,11.0,4.0,10.0,10.0,76.0,0.0
Roar from 34,5.0,6.5,3.0,5.0,10.0,10.0,12.0,12.0,63.5,1.5
Yoshi Teddy Bear,6.0,5.0,9.0,8.0,8.0,5.0,9.0,6.0,56.0,1.0
Carlos Pérez's K-Dance,8.0,11.0,11.0,12.0,0.0,0.0,0.0,0.0,42.0,21.0
Smoak and Mirrors,3.0,4.0,8.0,3.0,6.0,9.0,4.0,4.0,41.0,3.0
The Rime of Jamie Moyer,9.0,9.0,6.0,7.0,4.0,1.0,1.0,3.0,40.0,2.0
Hornswogglers,4.0,2.0,5.0,4.0,5.0,7.0,5.0,5.0,37.0,3.0
Largely Indistinguishables,7.0,3.0,2.0,1.0,7.0,2.0,6.0,9.0,37.0,2.0
Chili Dog MVP,2.0,6.5,4.0,9.0,0.0,0.0,0.0,0.0,21.5,13.5
Roberto Big Piece and the 69ers,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,14.0
