otto,Name,Team,Pos,$
33600,Shohei Ohtani,LAD,Util,$84.0
18312,Aaron Judge,NYY,OF,$70.2
23717,Juan Soto,NYM,OF,$57.7
35204,Tarik Skubal,DET,SP,$57.2
43894,Paul Skenes,PIT,SP,$55.4
38312,Garrett Crochet,BOS,SP,$43.0
18347,Kyle Schwarber,PHI,OF,$42.9
23327,Ronald Acuña Jr.,ATL,OF,$41.5
18546,Kyle Tucker,LAD,OF,$38.3
23795,Yordan Alvarez,HOU,OF,$38.1
18549,Vladimir Guerrero Jr.,TOR,1B,$38.0
20975,Cristopher Sánchez,PHI,SP,$37.6
45716,Nick Kurtz,ATH,1B,$37.5
21015,Logan Webb,SFG,SP,$37.3
36668,Bobby Witt Jr.,KCR,SS,$37.1
18466,Ketel Marte,ARI,2B,$35.0
14393,Chris Sale,ATL,SP,$34.9
23682,Fernando Tatis Jr.,SDP,OF,$34.7
23793,Brent Rooker,ATH,OF,$33.7
44525,Yoshinobu Yamamoto,LAD,SP,$33.6
37182,Corbin Carroll,ARI,OF,$33.4
33654,Cal Raleigh,SEA,C,$32.6
37806,Gunnar Henderson,BAL,SS,$31.9
39108,Junior Caminero,TBR,3B,$31.7
18164,Max Fried,NYY,SP,$30.8
23859,Pete Alonso,BAL,1B,$30.5
18284,José Ramírez,CLE,3B,$30.3
18344,Rafael Devers,SFG,1B,$30.1
33625,Julio Rodríguez,SEA,OF,$30.1
23625,Cole Ragans,KCR,SP,$29.9
41042,Bryan Woo,SEA,SP,$29.8
14982,Bryce Harper,PHI,1B,$29.0
22426,Framber Valdez,DET,SP,$28.6
33682,Logan Gilbert,SEA,SP,$28.6
18216,Corey Seager,TEX,SS,$28.1
37201,Hunter Brown,HOU,SP,$28.1
18386,Matt Olson,ATL,1B,$25.9
18122,Francisco Lindor,NYM,SS,$25.7
14294,Jacob deGrom,TEX,SP,$25.3
18276,Mookie Betts,LAD,SS,$25.1
5680,Freddie Freeman,LAD,1B,$24.9
40188,James Wood,WSN,OF,$24.9
15962,Zack Wheeler,PHI,SP,$24.5
36509,Riley Greene,DET,OF,$24.3
18460,Blake Snell,LAD,SP,$24.2
18124,George Springer,TOR,OF,$24.0
43896,Wyatt Langford,TEX,OF,$23.9
23741,Jesús Luzardo,PHI,SP,$23.8
18163,Byron Buxton,MIN,OF,$23.7
36338,Elly De La Cruz,CIN,SS,$23.4
40927,Seiya Suzuki,CHC,OF,$23.1
37841,Michael Busch,CHC,1B,$22.9
36671,George Kirby,SEA,SP,$22.7
42409,Roman Anthony,BOS,OF,$22.5
42156,Zach Neto,LAA,SS,$22.4
21052,Dylan Cease,TOR,SP,$22.3
9668,Eugenio Suárez,CIN,3B,$22.0
23824,Hunter Greene,CIN,SP,$21.6
22048,Taylor Ward,BAL,OF,$21.0
9335,Nathan Eovaldi,TEX,SP,$21.0
40255,Ben Rice,NYY,C,$20.9
6305,Mike Trout,LAA,OF,$20.8
22674,Austin Riley,ATL,3B,$20.7
23762,Jazz Chisholm Jr.,NYY,2B,$20.6
39277,Jackson Chourio,MIL,OF,$20.5
36669,Shea Langeliers,ATH,C,$20.4
35874,Kyle Bradish,BAL,SP,$20.3
18368,Trea Turner,PHI,SS,$19.4
18113,Sonny Gray,BOS,SP,$19.2
40862,Mason Miller,SDP,RP,$19.0
35196,Joe Ryan,MIN,SP,$18.6
18517,Yandy Díaz,TBR,1B,$18.5
14934,Manny Machado,SDP,3B,$18.5
38388,Tyler Soderstrom,ATH,OF,$18.5
32009,José Soriano,LAA,SP,$18.5
23654,Will Smith,LAD,C,$18.4
18236,Tyler Glasnow,LAD,SP,$18.4
37480,Kyle Stowers,MIA,OF,$18.3
18407,Willy Adames,SFG,SS,$18.2
40142,Jackson Merrill,SDP,OF,$18.1
18479,Ian Happ,CHC,OF,$18.1
38398,Jordan Westburg,BAL,2B,$18.0
31194,Ranger Suárez,BOS,SP,$18.0
23651,Teoscar Hernández,LAD,OF,$17.9
19168,Freddy Peralta,NYM,SP,$17.9
40389,Hunter Goodman,COL,C,$17.6
22391,William Contreras,MIL,C,$17.6
35922,Drew Rasmussen,TBR,SP,$17.6
37094,Vinnie Pasquantino,KCR,1B,$17.4
18378,Matt Chapman,SFG,3B,$17.4
18480,Alex Bregman,CHC,3B,$17.2
23840,Randy Arozarena,SEA,OF,$17.1
45706,Chase Burns,CIN,RP/SP,$17.1
19328,Cody Bellinger,NYY,OF,$16.8
44336,Nolan McLean,NYM,SP,$16.8
37174,Matt Wallner,MIN,OF,$16.7
18786,Pablo López,MIN,SP,$16.6
18126,Brandon Nimmo,TEX,OF,$16.5
23792,Jo Adell,LAA,OF,$16.4
14893,Christian Yelich,MIL,OF,$16.4
23693,Brandon Woodruff,MIL,SP,$16.2
48240,Munetaka Murakami,CHW,3B,$15.9
12398,Willson Contreras,BOS,1B,$15.8
5918,Jose Altuve,HOU,2B,$15.8
38754,Cade Smith,CLE,RP,$15.6
18547,Trent Grisham,NYY,OF,$15.5
33685,Jarren Duran,BOS,OF,$15.4
38320,Spencer Torkelson,DET,1B,$15.3
26198,Geraldo Perdomo,ARI,SS,$15.3
37300,Kerry Carpenter,DET,OF,$15.3
23767,Bo Bichette,NYM,SS,$15.3
27058,Wilyer Abreu,BOS,OF,$15.2
33949,Andy Pages,LAD,OF,$15.0
35566,Kris Bubic,KCR,RP/SP,$15.0
18487,Gleyber Torres,DET,2B,$14.7
13702,Jurickson Profar,ATL,OF,$14.6
35939,Jeremy Peña,HOU,SS,$14.6
33217,Jonathan Aranda,TBR,1B,$14.6
38736,Spencer Strider,ATL,SP,$14.5
18255,Max Muncy,LAD,3B,$14.4
18196,Kevin Gausman,TOR,SP,$14.2
31751,Michael King,SDP,SP,$14.1
38559,Eury Pérez,MIA,SP,$14.0
38327,Pete Crow-Armstrong,CHC,OF,$13.9
32291,Oneil Cruz,PIT,OF,$13.8
40508,Kyle Manzardo,CLE,1B,$13.6
23834,Heliot Ramos,SFG,OF,$13.6
31741,Brandon Lowe,PIT,2B,$13.5
26099,Iván Herrera,STL,C,$13.4
23810,MacKenzie Gore,TEX,SP,$13.4
40552,Emmet Sheehan,LAD,RP/SP,$13.3
45790,Trey Yesavage,TOR,RP/SP,$13.2
19398,Nick Pivetta,SDP,SP,$13.1
22655,Josh Naylor,SEA,1B,$13.0
22559,Jhoan Duran,PHI,RP,$13.0
23833,Daulton Varsho,TOR,OF,$12.8
13217,Jorge Polanco,NYM,2B,$12.5
33647,Shane McClanahan,TBR,SP,$12.5
23601,Edwin Díaz,LAD,RP,$12.4
23825,Bryan Reynolds,PIT,OF,$12.3
6130,Marcell Ozuna,PIT,Util,$12.2
48239,Kazuma Okamoto,TOR,3B,$12.0
23639,Mickey Moniak,COL,OF,$11.8
35628,Ezequiel Tovar,COL,SS,$11.7
33259,Andrés Muñoz,SEA,RP,$11.7
38368,Alec Burleson,STL,OF,$11.6
31541,David Peterson,NYM,SP,$11.6
23732,Luis Castillo,SEA,SP,$11.5
34788,Lawrence Butler,ATH,OF,$11.4
23831,Isaac Paredes,HOU,3B,$11.4
44544,Grant Taylor,CHW,RP/SP,$11.4
33325,Edward Cabrera,CHC,SP,$11.4
42221,Drake Baldwin,ATL,C,$11.3
18506,Dansby Swanson,CHC,SS,$11.3
42711,Jacob Misiorowski,MIL,RP/SP,$11.2
23790,Clay Holmes,NYM,SP,$11.2
18465,Matthew Boyd,CHC,SP,$11.2
20920,Jack Flaherty,DET,SP,$11.1
8626,Salvador Perez,KCR,C,$10.8
5201,Giancarlo Stanton,NYY,OF,$10.5
42358,Sal Stewart,CIN,3B,$10.5
36922,CJ Abrams,WSN,SS,$10.4
19268,Devin Williams,NYM,RP,$10.4
21200,Ramón Laureano,SDP,OF,$10.3
18389,Christian Walker,HOU,1B,$10.3
18160,Carlos Correa,HOU,SS,$10.2
40978,Tanner Bibee,CLE,SP,$10.2
39978,Colton Cowser,BAL,OF,$10.1
35602,Abner Uribe,MIL,RP,$10.1
31438,Griffin Jax,TBR,RP,$10.1
37295,Michael Harris II,ATL,OF,$10.0
26154,Maikel Garcia,KCR,SS,$10.0
35776,Braxton Ashcraft,PIT,RP/SP,$10.0
40941,Gavin Williams,CLE,SP,$9.9
44057,Luke Keaschall,MIN,2B,$9.8
20900,Bryan Abreu,HOU,RP,$9.8
42737,Spencer Schwellenbach,ATL,SP,$9.7
5644,Aroldis Chapman,BOS,RP,$9.7
33634,Brice Turang,MIL,2B,$9.5
18162,Jorge Soler,LAA,OF,$9.4
44003,Jacob Wilson,ATH,SS,$9.3
36686,Nick Lodolo,CIN,SP,$9.3
18462,Joe Musgrove,SDP,SP,$9.3
23745,Adolis García,PHI,OF,$9.1
42126,Jackson Holliday,BAL,SS,$9.0
43589,Cam Schlittler,NYY,SP,$8.9
38374,Colt Keith,DET,2B,$8.8
18153,Trevor Story,BOS,SS,$8.8
34601,Lars Nootbaar,STL,OF,$8.8
18263,Marcus Semien,NYM,2B,$8.6
27148,Joey Cantillo,CLE,RP/SP,$8.6
21156,Ryan O'Hearn,PIT,OF,$8.5
23814,Shane Bieber,TOR,SP,$8.4
18152,Josh Bell,MIN,1B,$8.3
33607,Trevor Rogers,BAL,SP,$8.3
17763,Merrill Kelly,ARI,SP,$8.2
37257,Adley Rutschman,BAL,C,$8.1
34804,Miguel Vargas,CHW,3B,$8.0
21039,Justin Steele,CHC,SP,$8.0
20732,Sandy Alcantara,MIA,SP,$8.0
23809,Jake Burger,TEX,1B,$7.9
18359,Carlos Rodón,NYY,SP,$7.9
33612,Grayson Rodriguez,LAA,SP,$7.7
34619,Brendan Donovan,SEA,SS,$7.6
26292,Yainer Diaz,HOU,C,$7.4
18397,Ozzie Albies,ATL,2B,$7.3
21708,Willi Castro,COL,2B,$7.3
37234,Matt Brash,SEA,RP,$7.3
43932,Nolan Schanuel,LAA,1B,$7.2
27207,Alejandro Kirk,TOR,C,$7.2
36803,Brenton Doyle,COL,OF,$7.1
45720,Jac Caglianone,KCR,OF,$7.1
34396,Jose A. Ferrer,SEA,RP,$7.1
42723,Kodai Senga,NYM,RP/SP,$7.1
35824,Steven Kwan,CLE,OF,$7.0
40262,Colson Montgomery,CHW,SS,$7.0
18257,Sean Manaea,NYM,RP/SP,$6.9
18116,Gerrit Cole,NYY,SP,$6.9
23780,Luis Robert Jr.,NYM,OF,$6.8
27185,Garrett Whitlock,BOS,RP,$6.8
23868,Brandon Marsh,PHI,OF,$6.7
18415,Reynaldo López,ATL,RP/SP,$6.7
23723,Braxton Garrett,MIA,RP/SP,$6.7
19296,Tyler O'Neill,BAL,OF,$6.6
31951,David Bednar,NYY,RP,$6.6
42719,Cade Horton,CHC,SP,$6.6
21961,Cody Ponce,TOR,RP/SP,$6.5
40371,Matt McLain,CIN,2B,$6.4
34817,Addison Barger,TOR,OF,$6.4
37427,Francisco Alvarez,NYM,C,$6.4
27208,Jeremiah Estrada,SDP,RP,$6.4
42592,Shane Smith,CHW,SP,$6.3
13117,Xander Bogaerts,SDP,SS,$6.2
23788,TJ Friedl,CIN,OF,$6.2
26446,Will Vest,DET,RP,$6.2
19520,Gabe Speier,SEA,RP,$6.1
33619,Jonathan India,KCR,2B,$6.0
18391,Josh Hader,HOU,RP,$6.0
18383,Mike Yastrzemski,ATL,OF,$5.8
42169,Jakob Marsee,MIA,OF,$5.7
37531,Bryson Stott,PHI,SS,$5.7
22331,Jesús Sánchez,HOU,OF,$5.6
22004,Jake Cronenworth,SDP,SS,$5.6
40714,Daylen Lile,WSN,OF,$5.5
33609,Alec Bohm,PHI,3B,$5.5
42277,Jordan Beck,COL,OF,$5.4
23794,Shane Baz,BAL,SP,$5.4
33907,Ceddanne Rafaela,BOS,2B,$5.3
23779,Zac Gallen,0,SP,$5.3
38328,Reid Detmers,LAA,RP/SP,$5.3
18644,Jeff McNeil,ATH,2B,$5.2
20989,Trevor Megill,MIL,RP,$5.2
40820,Landen Roupp,SFG,RP/SP,$5.2
36325,Agustín Ramírez,MIA,C,$5.1
23672,Adrian Morejon,SDP,RP,$5.1
26734,Davis Schneider,TOR,2B,$5.0
33652,Ryan Jeffers,MIN,C,$5.0
33548,Luis García Jr.,WSN,2B,$5.0
44515,Connelly Early,BOS,RP/SP,$5.0
26134,Gabriel Moreno,ARI,C,$4.9
36030,Noelvi Marte,CIN,OF,$4.9
42765,Parker Messick,CLE,SP,$4.9
18357,Aaron Nola,PHI,SP,$4.9
20421,Garrett Cleavinger,TBR,RP,$4.8
33622,Trevor Larnach,MIN,OF,$4.7
37649,Ryan Pepiot,TBR,SP,$4.7
37181,Brett Baty,NYM,2B,$4.6
22668,Michael Soroka,ARI,RP/SP,$4.6
35205,Ryan Walker,SFG,RP,$4.6
