otto,Name,Team,Pos,$
33600,Shohei Ohtani,LAD,Util,80.4
18312,Aaron Judge,NYY,OF,68.9
23717,Juan Soto,NYM,OF,56.8
43894,Paul Skenes,PIT,SP,54.8
35204,Tarik Skubal,DET,SP,54.2
18347,Kyle Schwarber,PHI,OF,42.9
38312,Garrett Crochet,BOS,SP,42.6
23795,Yordan Alvarez,HOU,OF,40.1
23327,Ronald Acuña Jr.,ATL,OF,39.4
36668,Bobby Witt Jr.,KCR,SS,37.3
18546,Kyle Tucker,LAD,OF,36.8
18549,Vladimir Guerrero Jr.,TOR,1B,36.6
20975,Cristopher Sánchez,PHI,SP,36.0
37182,Corbin Carroll,ARI,OF,35.8
14393,Chris Sale,ATL,SP,35.7
45716,Nick Kurtz,ATH,1B,35.5
21015,Logan Webb,SFG,SP,35.4
18466,Ketel Marte,ARI,2B,34.5
23682,Fernando Tatis Jr.,SDP,OF,34.4
39108,Junior Caminero,TBR,3B,34.1
18284,José Ramírez,CLE,3B,32.3
23793,Brent Rooker,ATH,OF,31.9
44525,Yoshinobu Yamamoto,LAD,SP,31.9
33654,Cal Raleigh,SEA,C,31.5
37806,Gunnar Henderson,BAL,SS,31.4
23625,Cole Ragans,KCR,SP,30.7
18164,Max Fried,NYY,SP,30.7
33625,Julio Rodríguez,SEA,OF,30.2
41042,Bryan Woo,SEA,SP,29.0
33682,Logan Gilbert,SEA,SP,28.9
23859,Pete Alonso,BAL,1B,28.8
18216,Corey Seager,TEX,SS,28.7
18122,Francisco Lindor,NYM,SS,28.3
14982,Bryce Harper,PHI,1B,28.0
18344,Rafael Devers,SFG,1B,27.6
37201,Hunter Brown,HOU,SP,27.1
14294,Jacob deGrom,TEX,SP,27.1
40188,James Wood,WSN,OF,25.4
18460,Blake Snell,LAD,SP,25.4
18276,Mookie Betts,LAD,SS,25.3
18386,Matt Olson,ATL,1B,25.3
22426,Framber Valdez,0,SP,24.3
23741,Jesús Luzardo,PHI,SP,23.9
18124,George Springer,TOR,OF,23.7
18163,Byron Buxton,MIN,OF,23.5
36338,Elly De La Cruz,CIN,SS,23.3
40927,Seiya Suzuki,CHC,OF,23.0
9335,Nathan Eovaldi,TEX,SP,23.0
36671,George Kirby,SEA,SP,22.9
36509,Riley Greene,DET,OF,22.8
5680,Freddie Freeman,LAD,1B,22.8
43896,Wyatt Langford,TEX,OF,22.7
