,Name,OttoneuID,FG MajorLeagueID,FG MinorLeagueID,MLB Org,Position(s),Avg Salary,Median Salary,Min Salary,Max Salary,Last 10,Roster%
0,Shohei Ohtani,33600,19755.0,,LAD,Util/SP,$77.33,$77.50,$60,$89,$61.00,100.0
1,Aaron Judge,18312,15640.0,sa549847,NYY,OF,$71.50,$71.00,$54,$85,$49.90,100.0
2,Juan Soto,23717,20123.0,sa906282,NYM,OF,$69.48,$70.00,$59,$81,$69.90,95.833
3,Mookie Betts,18276,13611.0,sa597889,LAD,SS,$57.31,$60.50,$33,$68,$49.50,66.667
4,Yordan Alvarez,23795,19556.0,sa943524,HOU,OF,$52.00,$51.00,$25,$68,$42.10,83.333
5,Ronald Acuña Jr.,23327,18401.0,sa877503,ATL,OF,$51.65,$50.00,$38,$72,$45.30,95.833
6,Fernando Tatis Jr.,23682,19709.0,sa919910,SDP,OF,$50.48,$52.00,$40,$57,$42.80,95.833
7,José Ramírez,18284,13510.0,sa598784,CLE,3B,$48.45,$47.00,$38,$60,$39.30,91.667
8,Vladimir Guerrero Jr.,18549,19611.0,sa920245,TOR,1B,$48.26,$48.00,$39,$59,$43.20,95.833
9,Bobby Witt Jr.,36668,25764.0,sa3011225,KCR,SS,$46.71,$46.50,$24,$68,$26.70,100.0
10,Bryce Harper,14982,11579.0,sa548033,PHI,1B,$45.33,$46.00,$34,$57,$41.00,75.0
11,Corey Seager,18216,13624.0,sa657913,TEX,SS,$45.20,$44.00,$35,$55,$40.30,83.333
12,Rafael Devers,18344,17350.0,sa828312,SFG,1B,$43.79,$43.00,$37,$53,$42.20,79.167
13,Kyle Tucker,18546,18345.0,sa874240,LAD,OF,$42.71,$42.50,$32,$57,$34.70,100.0
14,Freddie Freeman,5680,5361.0,sa390291,LAD,1B,$42.70,$42.00,$31,$56,$41.00,83.333
15,Paul Skenes,43894,33677.0,sa3023079,PIT,SP,$41.75,$41.00,$14,$60,$17.20,100.0
16,Yoshinobu Yamamoto,44525,33825.0,sa3023345,LAD,SP,$41.35,$42.00,$31,$50,$32.10,95.833
17,Kyle Schwarber,18347,16478.0,sa709545,PHI,OF,$40.96,$39.00,$25,$56,$33.40,100.0
18,Francisco Lindor,18122,12916.0,sa597754,NYM,SS,$40.70,$40.00,$35,$48,$34.00,95.833
19,Julio Rodriguez,33625,23697.0,sa3005720,SEA,OF,$39.65,$41.00,$17,$52,$36.30,95.833
20,Tarik Skubal,35204,22267.0,sa3007593,DET,SP,$38.42,$40.50,$15,$54,$12.20,100.0
21,Matt Olson,18386,14344.0,sa657863,ATL,1B,$37.70,$39.00,$20,$52,$36.30,83.333
22,Trea Turner,18368,16252.0,sa599179,PHI,SS,$36.94,$36.00,$28,$48,$34.40,70.833
23,Mike Trout,6305,10155.0,sa500736,LAA,OF,$35.70,$35.00,$17,$72,$32.70,83.333
24,Gunnar Henderson,37806,26289.0,sa3011484,BAL,SS,$35.33,$34.00,$24,$54,$15.50,100.0
25,Pete Alonso,23859,19251.0,sa873981,BAL,1B,$34.48,$35.00,$25,$47,$30.60,87.5
26,Corbin Carroll,37182,25878.0,sa3010593,ARI,OF,$34.00,$33.00,$21,$54,$32.50,100.0
27,Austin Riley,22674,18360.0,sa874756,ATL,3B,$33.45,$36.00,$19,$48,$30.40,83.333
28,Manny Machado,14934,11493.0,sa548155,SDP,3B,$32.62,$30.00,$22,$51,$28.00,87.5
29,Max Fried,18164,13743.0,sa657860,NYY,SP,$29.67,$29.50,$21,$39,$24.20,100.0
30,Jose Altuve,5918,5417.0,sa455591,HOU,2B/OF,$29.61,$30.00,$16,$49,$23.50,75.0
31,Zack Wheeler,15962,10310.0,sa500722,PHI,SP,$29.44,$30.50,$16,$37,$25.70,75.0
32,Spencer Strider,38736,27498.0,sa3015059,ATL,SP,$29.32,$26.00,$20,$45,$24.10,79.167
