,Name,OttoneuID,FG MajorLeagueID,FG MinorLeagueID,MLB Org,Position(s),Avg Salary,Median Salary,Min Salary,Max Salary,Last 10,Roster%
0,Shohei Ohtani,33600,19755.0,,LAD,Util/SP,$77.96,$77.50,$64,$89,$61.40,100.0
1,Aaron Judge,18312,15640.0,sa549847,NYY,OF,$72.00,$71.00,$60,$84,$56.20,100.0
2,Juan Soto,23717,20123.0,sa906282,NYM,OF,$68.92,$69.50,$59,$80,$68.90,100.0
3,Yordan Alvarez,23795,19556.0,sa943524,HOU,OF,$53.00,$52.00,$45,$66,$53.90,95.833
4,Ronald Acuña Jr.,23327,18401.0,sa877503,ATL,OF,$51.88,$50.00,$38,$72,$48.00,100.0
5,Fernando Tatis Jr.,23682,19709.0,sa919910,SDP,OF,$50.13,$52.00,$34,$59,$47.90,100.0
6,Vladimir Guerrero Jr.,18549,19611.0,sa920245,TOR,1B,$48.54,$48.00,$39,$59,$48.00,100.0
7,Bobby Witt Jr.,36668,25764.0,sa3011225,KCR,SS,$48.25,$47.50,$28,$68,$32.00,100.0
8,José Ramírez,18284,13510.0,sa598784,CLE,3B,$47.35,$47.00,$38,$60,$42.70,95.833
9,Paul Skenes,43894,33677.0,sa3023079,PIT,SP,$43.75,$42.00,$35,$60,$26.60,100.0
10,Kyle Tucker,18546,18345.0,sa874240,LAD,OF,$42.75,$42.50,$32,$57,$43.70,100.0
11,Kyle Schwarber,18347,16478.0,sa709545,PHI,OF,$41.79,$41.00,$25,$56,$35.30,100.0
12,Yoshinobu Yamamoto,44525,33825.0,sa3023345,LAD,SP,$41.54,$42.00,$31,$50,$37.40,100.0
13,Julio Rodriguez,33625,23697.0,sa3005720,SEA,OF,$40.96,$41.00,$29,$52,$43.40,95.833
14,Tarik Skubal,35204,22267.0,sa3007593,DET,SP,$40.17,$41.00,$23,$57,$17.60,100.0
15,Francisco Lindor,18122,12916.0,sa597754,NYM,SS,$39.79,$40.00,$31,$48,$35.20,100.0
16,Corey Seager,18216,13624.0,sa657913,TEX,SS,$39.68,$41.50,$27,$51,$35.10,91.667
17,Bryce Harper,14982,11579.0,sa548033,PHI,1B,$39.63,$40.00,$24,$56,$35.50,100.0
18,Mookie Betts,18276,13611.0,sa597889,LAD,SS,$36.23,$35.50,$17,$61,$33.20,91.667
19,Rafael Devers,18344,17350.0,sa828312,SFG,1B,$35.73,$37.00,$15,$53,$29.70,91.667
20,Gunnar Henderson,37806,26289.0,sa3011484,BAL,SS,$35.67,$34.50,$24,$54,$25.90,100.0
21,Pete Alonso,23859,19251.0,sa873981,BAL,1B,$35.42,$35.50,$27,$47,$34.10,100.0
22,Matt Olson,18386,14344.0,sa657863,ATL,1B,$35.21,$36.50,$20,$44,$32.00,100.0
23,Corbin Carroll,37182,25878.0,sa3010593,ARI,OF,$34.71,$35.50,$25,$54,$35.80,100.0
24,Freddie Freeman,5680,5361.0,sa390291,LAD,1B,$34.19,$33.00,$18,$48,$29.40,87.5
25,Trea Turner,18368,16252.0,sa599179,PHI,SS,$31.59,$32.50,$20,$43,$29.10,91.667
26,Austin Riley,22674,18360.0,sa874756,ATL,3B,$30.73,$31.00,$18,$48,$27.00,91.667
27,Max Fried,18164,13743.0,sa657860,NYY,SP,$30.17,$30.00,$21,$39,$26.00,100.0
28,Ketel Marte,18466,13613.0,sa597026,ARI,2B,$29.83,$29.50,$19,$40,$23.70,100.0
29,Manny Machado,14934,11493.0,sa548155,SDP,3B,$29.54,$28.00,$18,$46,$29.50,100.0
30,Seiya Suzuki,40927,30116.0,sa3018052,CHC,OF,$27.55,$28.50,$18,$34,$28.10,91.667
31,Framber Valdez,22426,17295.0,sa873146,DET,SP,$27.09,$26.00,$19,$40,$32.30,95.833
32,Elly De La Cruz,36338,26668.0,sa3009289,CIN,SS,$26.75,$25.50,$19,$43,$21.50,100.0
33,Logan Webb,21015,17995.0,sa828873,SFG,SP,$26.46,$25.50,$16,$45,$31.40,100.0
34,Zack Wheeler,15962,10310.0,sa500722,PHI,SP,$26.33,$26.50,$16,$37,$25.50,100.0
35,Mike Trout,6305,10155.0,sa500736,LAA,OF,$25.86,$25.00,$17,$37,$26.70,87.5
36,Tyler Glasnow,18236,14374.0,sa597835,LAD,SP,$25.17,$25.50,$14,$34,$27.40,100.0
37,Garrett Crochet,38312,27463.0,,BOS,SP,$25.17,$25.00,$10,$47,$14.60,100.0
38,Cal Raleigh,33654,21534.0,sa3008377,SEA,C,$25.04,$26.50,$18,$32,$15.00,100.0
39,Dylan Cease,21052,18525.0,sa829000,TOR,SP,$24.92,$24.00,$15,$35,$24.10,100.0
40,Alex Bregman,18480,17678.0,sa659419,CHC,3B,$24.17,$24.00,$17,$34,$23.80,100.0
41,Chris Sale,14393,10603.0,sa392121,ATL,SP,$23.67,$23.00,$14,$31,$18.30,100.0
42,Blake Snell,18460,13543.0,sa597786,LAD,SP,$23.63,$24.50,$15,$32,$18.40,100.0
43,Bo Bichette,23767,19612.0,sa917949,NYM,SS,$23.42,$23.00,$14,$38,$22.70,100.0
44,Christian Yelich,14893,11477.0,sa548190,MIL,OF,$23.35,$24.00,$16,$30,$22.00,95.833
45,Logan Gilbert,33682,22250.0,sa3008598,SEA,SP,$23.29,$21.50,$15,$36,$19.40,100.0
46,George Kirby,36671,25436.0,sa3011526,SEA,SP,$23.26,$24.00,$10,$35,$21.60,95.833
47,Spencer Strider,38736,27498.0,sa3015059,ATL,SP,$22.83,$23.00,$9,$39,$20.80,95.833
48,Cole Ragans,23625,21846.0,sa917938,KCR,SP,$22.29,$23.00,$10,$35,$14.10,100.0
49,Freddy Peralta,19168,18679.0,sa737343,NYM,SP,$21.79,$21.00,$14,$34,$19.20,100.0
50,Jackson Chourio,39277,28806.0,sa3015704,MIL,OF,$21.75,$23.00,$7,$32,$8.10,100.0
51,Jose Altuve,5918,5417.0,sa455591,HOU,2B/OF,$21.09,$20.00,$12,$35,$18.50,95.833
52,Junior Caminero,39108,28163.0,sa3015532,TBR,3B,$20.46,$20.50,$10,$34,$14.30,100.0
53,Riley Greene,36509,25976.0,sa3010694,DET,OF,$20.38,$20.50,$12,$27,$9.50,100.0
54,Willy Adames,18407,15986.0,sa736655,SFG,SS,$20.00,$18.50,$11,$32,$20.40,91.667
55,Teoscar Hernandez,23651,13066.0,sa596861,LAD,OF,$19.59,$19.00,$13,$30,$17.60,91.667
56,Nick Kurtz,45716,35110.0,sa3025385,ATH,1B,$19.42,$17.00,$11,$48,$11.80,100.0
57,James Wood,40188,29518.0,sa3016870,WSN,OF,$19.33,$18.50,$9,$35,$9.90,100.0
58,Cody Bellinger,19328,15998.0,sa737794,NYY,OF,$19.25,$19.00,$11,$27,$21.20,100.0
59,Kazuma Okamoto,48239,,sa3063134,TOR ST,1B/3B,$19.05,$20.00,$8,$26,$18.90,83.333
60,Hunter Brown,37201,25880.0,sa3010571,HOU,SP,$19.04,$18.00,$10,$42,$12.70,100.0
61,Brent Rooker,23793,19627.0,sa3003172,ATH,OF,$18.88,$19.00,$7,$40,$10.70,100.0
62,Jazz Chisholm Jr.,23762,20454.0,sa919327,NYY,2B/3B,$18.79,$19.00,$11,$27,$15.60,100.0
63,Randy Arozarena,23840,19290.0,sa914549,SEA,OF,$18.61,$19.00,$11,$28,$18.10,95.833
64,Hunter Greene,23824,22182.0,sa3005315,CIN,SP,$18.39,$18.00,$11,$28,$12.90,95.833
65,Ian Happ,18479,17919.0,sa827194,CHC,OF,$18.04,$18.00,$9,$24,$16.60,95.833
66,Jacob DeGrom,14294,10954.0,sa548447,TEX,SP,$18.00,$18.50,$10,$24,$12.40,100.0
67,Wyatt Langford,43896,33333.0,sa3022654,TEX,OF,$18.00,$18.50,$6,$31,$13.70,100.0
68,Will Smith,23654,19197.0,sa873265,LAD,C,$18.00,$17.00,$9,$29,$15.80,95.833
69,Bryan Woo,41042,30279.0,sa3018290,SEA,SP,$17.79,$16.00,$9,$35,$16.00,100.0
70,Kevin Gausman,18196,14107.0,sa548347,TOR,SP,$17.64,$17.50,$8,$31,$15.80,91.667
71,Munetaka Murakami,48240,,sa3063258,CHW ST,3B,$17.19,$16.00,$11,$27,$15.30,87.5
72,Roki Sasaki,46091,35323.0,sa3025686,LAD,SP,$17.18,$17.00,$5,$38,$9.50,91.667
73,Brandon Nimmo,18126,12927.0,sa597760,TEX,OF,$17.05,$18.00,$11,$23,$16.30,91.667
74,Sonny Gray,18113,12768.0,sa455516,BOS,SP,$17.05,$18.00,$9,$26,$15.80,91.667
75,Joe Ryan,35196,21390.0,sa3007584,MIN,SP,$17.04,$16.00,$11,$27,$12.00,100.0
