"Ottoneu ID",Name,"FG ID","FG Minor ID","MLBAM ID",Birthday,"Ottoneu Positions"
461,"Jesse Chavez",5448,sa202961,445926,08/21/1983,RP
1107,"Joey Votto",4314,sa201517,458015,09/10/1983,Util
1427,"Charlie Morton",4676,sa202429,450203,11/12/1983,SP/RP
1583,"Evan Longoria",9368,sa326460,446334,10/07/1985,Util
1626,"Daniel Bard",7115,sa326498,453268,06/25/1985,RP
1713,"Orlando Trias",,sa294429,473210,,Util
1735,"Carlos Carrasco",6632,sa254892,471911,03/21/1987,SP
1843,"Johnny Cueto",6893,sa295352,456501,02/15/1986,RP
1977,"Matt Bush",1246,sa253220,456713,02/08/1986,RP
2014,"Adam Ottavino",1247,sa326503,493603,11/22/1985,RP
2082,"Craig Stammen",7274,sa291777,489334,03/09/1984,RP
2125,"Pablo Sandoval",5409,sa254551,467055,08/11/1986,Util
2162,"Ian Kennedy",6986,sa326484,453178,12/19/1984,RP
2242,"Deolis Guerra",8410,sa325009,500610,04/17/1989,RP
2347,"Elvis Andrus",8709,sa291792,462101,08/26/1988,Util
2499,"David Robertson",8241,sa328019,502085,04/09/1985,RP
2775,"Paolo Espino",8246,sa327124,502179,01/10/1987,RP
2792,"Martin Maldonado",6887,sa254445,455117,08/16/1986,C
2803,"Michael Brantley",4106,sa290204,488726,05/15/1987,Util
2834,"Rafael Dolis",4185,sa329093,503569,01/10/1988,RP
2885,"Donovan Solano",8623,sa291100,456781,12/17/1987,1B
2891,"Manny Piña",2829,sa294107,444489,06/05/1987,Util
2916,"Kenley Jansen",3096,sa295200,445276,09/30/1987,RP
2925,"Clayton Kershaw",2036,sa326468,477132,03/19/1988,SP
2933,"Carlos Santana",2396,sa295203,467793,04/08/1986,1B
2955,"Cesar Valdez",9013,sa328444,491624,03/17/1985,RP
3013,"Justin Turner",5235,sa326827,457759,11/23/1984,1B/3B
3096,"Mark Melancon",4264,sa327089,453343,03/28/1985,RP
3435,"Andrew McCutchen",9847,sa290131,457705,10/10/1986,OF
3577,"Carlos Sosa",,sa200382,452013,,Util
4103,"Sergio Romo",9817,sa293981,489265,03/04/1983,RP
4322,"Tommy Pham",2967,sa327986,502054,03/08/1988,OF
4374,"Paul Goldschmidt",9218,sa501577,502671,09/10/1987,1B
4392,"Anthony Gose",5097,sa454425,543238,08/10/1990,RP
4395,"Trevor May",6398,sa454536,543507,09/23/1989,RP
4422,"Abraham Almonte",5486,sa392419,501659,06/27/1989,Util
4475,"Miguel Rojas",7802,sa455627,500743,02/24/1989,2B/SS/3B
4511,"Nelson Cruz",2434,sa201363,443558,07/01/1980,Util
4514,"Max Scherzer",3137,sa326473,453286,07/27/1984,SP
4553,"Brad Boxberger",10133,sa328086,502202,05/27/1988,RP
4559,"Anthony Rizzo",3473,sa390610,519203,08/08/1989,Util
4585,"Eduardo Escobar",6153,sa455635,500871,01/05/1989,Util
4607,"Luis Garcia",6984,sa392441,472610,01/30/1987,RP
4637,"Jeurys Familia",5114,sa456027,544727,10/10/1989,RP
4672,"Matt Carpenter",8090,sa501744,572761,11/26/1985,Util
4724,"Scott Kazmir",4897,sa202800,431148,01/24/1984,RP
4742,"Tyler Chatwood",4338,sa456036,543022,12/16/1989,RP
4782,"Dallas Keuchel",9434,sa501517,572971,01/01/1988,SP/RP
4817,"Anthony Bass",7982,sa454615,542914,11/01/1987,RP
4824,"Wily Peralta",7738,sa321735,503449,05/08/1989,RP
4829,"Lucas Luetge",8337,sa328056,476595,03/24/1987,RP
4914,"Matt Moore",1890,sa390623,519043,06/18/1989,RP
4943,"Kyle Gibson",10123,sa500733,502043,10/23/1987,SP/RP
4953,"DJ LeMahieu",9874,sa500845,518934,07/13/1988,2B
4960,"Smailey Borges",,sa543868,587131,,Util
4970,"Brooks Raley",10061,sa501562,548384,06/29/1988,RP
4980,"Travis d'Arnaud",7739,sa389876,518595,02/10/1989,C
4988,"Yan Gomes",9627,sa501644,543228,07/19/1987,Util
5010,"Brad Hand",9111,sa454426,543272,03/20/1990,RP
5025,"Starling Marte",9241,sa503030,516782,10/09/1988,OF
5031,"Robbie Grossman",5254,sa454705,543257,09/16/1989,Util
5041,"Josh Harrison",8202,sa454741,543281,07/08/1987,Util
5053,"Justin Wilson",4301,sa454547,458677,08/18/1987,RP
5071,"Brandon Crawford",5343,sa454517,543063,01/21/1987,Util
5096,"Casey Kelly",9174,sa454391,543391,10/04/1989,SP/RP
5098,"Jose Iglesias",10231,sa519724,578428,01/05/1990,2B/SS/3B
5201,"Giancarlo Stanton",4949,sa390316,519317,11/08/1989,OF
5227,"Tommy Milone",7608,sa454596,543548,02/16/1987,RP
5289,"Bryan Shaw",8110,sa455883,543766,11/08/1987,RP
5324,"Austin Romine",5491,sa390355,519222,11/22/1988,Util
5418,"Josh Donaldson",5038,sa389798,518626,12/08/1985,Util
5560,"Raul Carrillo",,sa506795,585132,,Util
5589,"Jay Jackson",7432,sa455049,543351,10/27/1987,RP
5591,"Lance Lynn",2520,sa454404,458681,05/12/1987,RP
5594,"Rich Hill",4806,sa202788,448179,03/11/1980,SP/RP
5644,"Aroldis Chapman",10233,sa523977,547973,02/28/1988,RP
